"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","block","jitterX","jitterY","start","parA"
"true","fullscreen","0","9182","0.0-0.0","55a2fa33fdf99b073cd94947","64e50b81e019272f8535c9c0","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","9613","0.0-1.0","55a2fa33fdf99b073cd94947","64e50b81e019272f8535c9c0","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","21145","0.0-2.0","55a2fa33fdf99b073cd94947","64e50b81e019272f8535c9c0","","","","","11529","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","36563","0.0-3.0","55a2fa33fdf99b073cd94947","64e50b81e019272f8535c9c0","","","","","15403",""," ","key"," ","16.793694989106754","960","250","","","","","","","",""
"","psychophysics","4","39665","0.0-4.0","55a2fa33fdf99b073cd94947","64e50b81e019272f8535c9c0","","","","","3070",""," ","key"," ","16.66657297297297","500","250","inst","","","","","","",""
"","psychophysics","5","42762","0.0-5.0","55a2fa33fdf99b073cd94947","64e50b81e019272f8535c9c0","","","","","3093",""," ","key"," ","16.666670270270245","500","250","sample0","","","","","","",""
"","psychophysics","6","46754","0.0-6.0","55a2fa33fdf99b073cd94947","64e50b81e019272f8535c9c0","","","","","3987",""," ","key"," ","16.66663865546217","500","250","sample1","","","","","","",""
"","psychophysics","7","62305","0.0-7.0","55a2fa33fdf99b073cd94947","64e50b81e019272f8535c9c0","","","","","15548",""," ","key"," ","16.66650965665236","500","250","sample2","100","","","","","",""
"","psychophysics","8","67106","0.0-8.0","55a2fa33fdf99b073cd94947","64e50b81e019272f8535c9c0","","","","","4797",""," ","key"," ","16.66670034843206","500","250","sample3","100","","","","","",""
"","psychophysics","9","77842","0.0-9.0","55a2fa33fdf99b073cd94947","64e50b81e019272f8535c9c0","","","","","10732",""," ","key"," ","16.66655209953345","500","250","sample4","100","","","","","",""
"","psychophysics","10","82970","0.0-10.0","55a2fa33fdf99b073cd94947","64e50b81e019272f8535c9c0","","","","","5118",""," ","key"," ","16.666609120521187","500","250","sample5","","","","","","",""
"","psychophysics","11","93089","0.0-11.0","55a2fa33fdf99b073cd94947","64e50b81e019272f8535c9c0","","","","","10115",""," ","key"," ","16.66651980198021","500","250","sample6","502","","","","","",""
"","psychophysics","12","98218","0.0-12.0","55a2fa33fdf99b073cd94947","64e50b81e019272f8535c9c0","","","","","5126",""," ","key"," ","16.666511400651487","500","250","inst","","","","","","",""
"","psychophysics","13","100418","0.0-13.0","55a2fa33fdf99b073cd94947","64e50b81e019272f8535c9c0","","","","","2197",""," ","key"," ","16.666320610687027","500","250","inst","","","","","","",""
"","psychophysics","14","103962","0.0-14.0","55a2fa33fdf99b073cd94947","64e50b81e019272f8535c9c0","","","","","3541",""," ","key"," ","16.66670283018868","500","250","inst","","","","","","",""
"","psychophysics","15","105905","0.0-15.0","55a2fa33fdf99b073cd94947","64e50b81e019272f8535c9c0","","","","","1941",""," ","key"," ","16.666034782608673","500","250","inst","","","","","","",""
"","psychophysics","16","108353","0.0-16.0","55a2fa33fdf99b073cd94947","64e50b81e019272f8535c9c0","","","","","2447",""," ","key"," ","16.666308219178","500","250","inst","","","","","","",""
