"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","block","jitterX","jitterY","start","parA"
"true","fullscreen","0","3327","0.0-0.0","55a5f19bfdf99b28b5340d00","64e50290df62995c3043a679","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3460","0.0-1.0","55a5f19bfdf99b28b5340d00","64e50290df62995c3043a679","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","18135","0.0-2.0","55a5f19bfdf99b28b5340d00","64e50290df62995c3043a679","","","","","14671","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","23843","0.0-3.0","55a5f19bfdf99b28b5340d00","64e50290df62995c3043a679","","","","","5678",""," ","key"," ","16.710447368421047","768","250","","","","","","","",""
"","psychophysics","4","28320","0.0-4.0","55a5f19bfdf99b28b5340d00","64e50290df62995c3043a679","","","","","4472",""," ","key"," ","16.66309363295881","500","250","inst","","","","","","",""
"","psychophysics","5","33333","0.0-5.0","55a5f19bfdf99b28b5340d00","64e50290df62995c3043a679","","","","","4988",""," ","key"," ","16.66237333333333","500","250","sample0","","","","","","",""
"","psychophysics","6","35899","0.0-6.0","55a5f19bfdf99b28b5340d00","64e50290df62995c3043a679","","","","","2563",""," ","key"," ","16.662078431372564","500","250","sample1","","","","","","",""
"","psychophysics","7","139488","0.0-7.0","55a5f19bfdf99b28b5340d00","64e50290df62995c3043a679","","","","","103576",""," ","key"," ","16.66227831402831","500","250","sample2","100","","","","","",""
"","psychophysics","8","152068","0.0-8.0","55a5f19bfdf99b28b5340d00","64e50290df62995c3043a679","","","","","12571",""," ","key"," ","16.662653846153813","500","250","sample3","100","","","","","",""
"","psychophysics","9","159908","0.0-9.0","55a5f19bfdf99b28b5340d00","64e50290df62995c3043a679","","","","","7824",""," ","key"," ","16.6625553191489","500","250","sample4","98","","","","","",""
"","psychophysics","10","173291","0.0-10.0","55a5f19bfdf99b28b5340d00","64e50290df62995c3043a679","","","","","13375",""," ","key"," ","16.66225685785537","500","250","sample5","","","","","","",""
"","psychophysics","11","186341","0.0-11.0","55a5f19bfdf99b28b5340d00","64e50290df62995c3043a679","","","","","13045",""," ","key"," ","16.66222506393864","500","250","sample6","502","","","","","",""
"","psychophysics","12","194968","0.0-12.0","55a5f19bfdf99b28b5340d00","64e50290df62995c3043a679","","","","","8624",""," ","key"," ","16.66234429400387","500","250","inst","","","","","","",""
"","psychophysics","13","1987316","0.0-13.0","55a5f19bfdf99b28b5340d00","64e50290df62995c3043a679","","","","","1792346",""," ","key"," ","16.662400819954073","500","250","inst","","","","","","",""
"","psychophysics","14","2008761","0.0-14.0","55a5f19bfdf99b28b5340d00","64e50290df62995c3043a679","","","","","21424",""," ","key"," ","19.11488314005351","500","250","inst","","","","","","",""
"","psychophysics","15","2010479","0.0-15.0","55a5f19bfdf99b28b5340d00","64e50290df62995c3043a679","","","","","1705",""," ","key"," ","16.66206862745286","500","250","inst","","","","","","",""
"","psychophysics","16","2011982","0.0-16.0","55a5f19bfdf99b28b5340d00","64e50290df62995c3043a679","","","","","1492",""," ","key"," ","16.66185555555599","500","250","inst","","","","","","",""
"","psychophysics","17","2015091","0.0-17.0","55a5f19bfdf99b28b5340d00","64e50290df62995c3043a679","","","","","3103",""," ","key"," ","16.661837837837535","500","250","instZol0","0","","","0","0","0",""
"","psychophysics","18","2036295","0.0-18.0","55a5f19bfdf99b28b5340d00","64e50290df62995c3043a679","","","","","21176",""," ","key"," ","16.66204952830196","500","250","instZol1","0.10000000000000003","","","0","0","-1.3",""
