"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","start","parA","version","block","jitterX","jitterY"
"true","fullscreen","0","7751","0.0-0.0","55b508f4fdf99b1c26c21c69","64e50c10068e51e8562a66d7","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","12041","0.0-1.0","55b508f4fdf99b1c26c21c69","64e50c10068e51e8562a66d7","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","18569","0.0-2.0","55b508f4fdf99b1c26c21c69","64e50c10068e51e8562a66d7","","","","","6525","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","23119","0.0-3.0","55b508f4fdf99b1c26c21c69","64e50c10068e51e8562a66d7","","","","","4487",""," ","key"," ","17.887637795275587","683","250","","","","","","","",""
"","psychophysics","4","26253","0.0-4.0","55b508f4fdf99b1c26c21c69","64e50c10068e51e8562a66d7","","","","","3131",""," ","key"," ","17.508876404494373","500","250","inst","","","","","","",""
"","psychophysics","5","30488","0.0-5.0","55b508f4fdf99b1c26c21c69","64e50c10068e51e8562a66d7","","","","","4229",""," ","key"," ","16.79856573705179","500","250","sample0","","","","","","",""
"","psychophysics","6","32497","0.0-6.0","55b508f4fdf99b1c26c21c69","64e50c10068e51e8562a66d7","","","","","2002",""," ","key"," ","16.66621848739501","500","250","sample1","","","","","","",""
"","psychophysics","7","59587","0.0-7.0","55b508f4fdf99b1c26c21c69","64e50c10068e51e8562a66d7","","","","","27077",""," ","key"," ","16.696905055487054","500","250","sample2","102","","","","","",""
"","psychophysics","8","68507","0.0-8.0","55b508f4fdf99b1c26c21c69","64e50c10068e51e8562a66d7","","","","","8916",""," ","key"," ","16.666104868913866","500","250","sample3","154","","","","","",""
"","psychophysics","9","89295","0.0-9.0","55b508f4fdf99b1c26c21c69","64e50c10068e51e8562a66d7","","","","","20770",""," ","key"," ","16.679469879518074","500","250","sample4","100","","","","","",""
"","psychophysics","10","97017","0.0-10.0","55b508f4fdf99b1c26c21c69","64e50c10068e51e8562a66d7","","","","","7701",""," ","key"," ","16.666090712742967","500","250","sample5","","","","","","",""
"","psychophysics","11","116265","0.0-11.0","55b508f4fdf99b1c26c21c69","64e50c10068e51e8562a66d7","","","","","19244",""," ","key"," ","16.666065857885616","500","250","sample6","498","","","","","",""
