"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","block","jitterX","jitterY","start","parA"
"true","fullscreen","0","3443","0.0-0.0","5808f958b648e600016375dd","64e50401a7cab5e0e20d486f","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3575","0.0-1.0","5808f958b648e600016375dd","64e50401a7cab5e0e20d486f","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","6294","0.0-2.0","5808f958b648e600016375dd","64e50401a7cab5e0e20d486f","","","","","2718","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","11299","0.0-3.0","5808f958b648e600016375dd","64e50401a7cab5e0e20d486f","","","","","4929",""," ","key"," ","16.821818181818177","640","250","","","","","","","",""
"","psychophysics","4","17547","0.0-4.0","5808f958b648e600016375dd","64e50401a7cab5e0e20d486f","","","","","6244",""," ","key"," ","16.66160427807487","500","250","inst","","","","","","",""
"","psychophysics","5","21500","0.0-5.0","5808f958b648e600016375dd","64e50401a7cab5e0e20d486f","","","","","3950",""," ","key"," ","16.661864406779664","500","250","sample0","","","","","","",""
"","psychophysics","6","24139","0.0-6.0","5808f958b648e600016375dd","64e50401a7cab5e0e20d486f","","","","","2637",""," ","key"," ","16.661898734177225","500","250","sample1","","","","","","",""
"","psychophysics","7","40010","0.0-7.0","5808f958b648e600016375dd","64e50401a7cab5e0e20d486f","","","","","15867",""," ","key"," ","16.66145110410095","500","250","sample2","100","","","","","",""
"","psychophysics","8","45035","0.0-8.0","5808f958b648e600016375dd","64e50401a7cab5e0e20d486f","","","","","5023",""," ","key"," ","17.23395189003437","500","250","sample3","98","","","","","",""
"","psychophysics","9","53290","0.0-9.0","5808f958b648e600016375dd","64e50401a7cab5e0e20d486f","","","","","8251",""," ","key"," ","16.661295546558705","500","250","sample4","100","","","","","",""
"","psychophysics","10","56532","0.0-10.0","5808f958b648e600016375dd","64e50401a7cab5e0e20d486f","","","","","3230",""," ","key"," ","16.66164948453605","500","250","sample5","","","","","","",""
"","psychophysics","11","62603","0.0-11.0","5808f958b648e600016375dd","64e50401a7cab5e0e20d486f","","","","","6070",""," ","key"," ","16.66115702479339","500","250","sample6","502","","","","","",""
"","psychophysics","12","66411","0.0-12.0","5808f958b648e600016375dd","64e50401a7cab5e0e20d486f","","","","","3807",""," ","key"," ","16.661491228070204","500","250","inst","","","","","","",""
"","psychophysics","13","71747","0.0-13.0","5808f958b648e600016375dd","64e50401a7cab5e0e20d486f","","","","","5334",""," ","key"," ","16.661567398119146","500","250","inst","","","","","","",""
