"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","block","start","jitterX","jitterY","parA"
"true","fullscreen","0","4804","0.0-0.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","4847","0.0-1.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","7759","0.0-2.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","2911","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","17434","0.0-3.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","9668",""," ","key"," ","16.66","768","250","","","","","","","",""
"","psychophysics","4","24990","0.0-4.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","7555",""," ","key"," ","16.664768211920528","500","250","inst","","","","","","",""
"","psychophysics","5","29184","0.0-5.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","4191",""," ","key"," ","16.664800000000003","500","250","sample0","","","","","","",""
"","psychophysics","6","32931","0.0-6.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","3745",""," ","key"," ","16.66473214285715","500","250","sample1","","","","","","",""
"","psychophysics","7","53436","0.0-7.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","20502",""," ","key"," ","16.666183889340925","500","250","sample2","102","","","","","",""
"","psychophysics","8","66195","0.0-8.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","12751",""," ","key"," ","16.664810457516342","500","250","sample3","100","","","","","",""
"","psychophysics","9","74209","0.0-9.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","7995",""," ","key"," ","16.66479166666665","500","250","sample4","102","","","","","",""
"","psychophysics","10","79252","0.0-10.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","5037",""," ","key"," ","16.664784053156165","500","250","sample5","","","","","","",""
"","psychophysics","11","91714","0.0-11.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","12452",""," ","key"," ","16.66677376171352","500","250","sample6","502","","","","","",""
"","psychophysics","12","98498","0.0-12.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","6772",""," ","key"," ","16.78888337468982","500","250","inst","","","","","","",""
"","psychophysics","13","106692","0.0-13.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","8184",""," ","key"," ","16.664806517311604","500","250","inst","","","","","","",""
"","psychophysics","14","112725","0.0-14.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","6030",""," ","key"," ","16.664764542936275","500","250","inst","","","","","","",""
"","psychophysics","15","115609","0.0-15.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","2879",""," ","key"," ","16.66476744186053","500","250","inst","","","","","","",""
"","psychophysics","16","117832","0.0-16.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","2220",""," ","key"," ","16.664848484848555","500","250","inst","","","","","","",""
"","psychophysics","17","129074","0.0-17.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","11230",""," ","key"," ","16.667418397626108","500","250","instPog0","340","2","","370","0","0","340"
"","psychophysics","18","140284","0.0-18.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","11194",""," ","key"," ","16.664791666666673","500","250","instPog1","344","2","","370","0","0","340"
"","psychophysics","19","150439","0.0-19.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","10145",""," ","key"," ","16.66480263157892","500","250","instPog2","332","2","","340","0","0","340"
"","psychophysics","20","153922","0.0-20.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","3480",""," ","key"," ","16.74531400966183","500","250","inst","","","","","","",""
"","psychophysics","21","160589","0.0-21.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","6662",""," ","key"," ","16.66481203007521","500","250","pog","317","2","0","287","0","0","336"
"","psychophysics","22","163065","0.0-22.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","2471",""," ","key"," ","16.675675675675677","500","250","pog","285","2","0","285","0","0","310"
"","psychophysics","23","171070","0.0-23.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","null","","null","key","null","16.664801670146144","500","250","pog","317","2","0","371","0","0","327"
"","psychophysics","24","176269","0.0-24.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","5195",""," ","key"," ","16.664823151125432","500","250","pog","328","2","0","306","0","0","348"
"","psychophysics","25","179993","0.0-25.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","3719",""," ","key"," ","16.664774774774717","500","250","pog","332","2","0","342","0","0","346"
"","psychophysics","26","184936","0.0-26.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","4929",""," ","key"," ","16.664797297297294","500","250","pog","343","2","0","389","0","0","362"
"","psychophysics","27","192003","0.0-27.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","7063",""," ","key"," ","16.664775413711542","500","250","pog","351","2","0","341","0","0","375"
"","psychophysics","28","193660","0.0-28.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","1654",""," ","key"," ","16.664693877551162","500","250","pog","306","2","0","306","0","0","324"
"","psychophysics","29","200933","0.0-29.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","7262",""," ","key"," ","16.668165137614697","500","250","pog","314","2","0","346","0","0","332"
"","psychophysics","30","206041","0.0-30.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","5103",""," ","key"," ","16.664786885245835","500","250","pog","352","2","0","374","0","0","365"
"","psychophysics","31","207185","0.0-31.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","1134",""," ","key"," ","16.665000000000017","500","250","pog","318","2","0","318","0","0","331"
"","psychophysics","32","214293","0.0-32.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","7103",""," ","key"," ","16.66480000000002","500","250","pog","301","2","0","387","0","0","316"
"","psychophysics","33","215465","0.0-33.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","1164",""," ","key"," ","16.664857142856842","500","250","pog","367","2","0","367","0","0","374"
"","psychophysics","34","220486","0.0-34.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","5017",""," ","key"," ","16.664800000000007","500","250","pog","306","2","0","374","0","0","319"
"","psychophysics","35","226699","0.0-35.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","6210",""," ","key"," ","16.664838709677436","500","250","pog","326","2","0","294","0","0","344"
"","psychophysics","36","231937","0.0-36.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","5234",""," ","key"," ","16.669392971245973","500","250","inst","","","","","","",""
"","psychophysics","37","235046","0.0-37.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","3105",""," ","key"," ","16.664838709677436","500","250","instPzPre","50","0","","50","","","50"
"","psychophysics","38","239217","0.0-38.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","4166",""," ","key"," ","16.66481927710835","500","250","instPz0","50","1","","50","","","50"
"","psychophysics","39","244935","0.0-39.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","5715",""," ","key"," ","16.66479532163747","500","250","instPz1","25","1","","25","","","50"
"","psychophysics","40","249028","0.0-40.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","4087",""," ","key"," ","16.664734693877495","500","250","instPz2","35","1","","35","","","20"
"","psychophysics","41","261136","0.0-41.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","12103",""," ","key"," ","16.687817679557984","500","250","instPz3","83","1","","100","","","30"
"","psychophysics","42","267071","0.0-42.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","5925",""," ","key"," ","16.66478873239445","500","250","instPz4","85","1","","100","","","30"
"","psychophysics","43","269119","0.0-43.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","2040",""," ","key"," ","16.664754098360465","500","250","inst","","","","","","",""
"","psychophysics","44","273204","0.0-44.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","4076",""," ","key"," ","16.67188524590141","500","250","pz","79","1","0","35","","","50"
"","psychophysics","45","276828","0.0-45.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","3615",""," ","key"," ","16.664792626727884","500","250","pz","79","1","0","41","","","48"
"","psychophysics","46","281365","0.0-46.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","4533",""," ","key"," ","16.664797047970385","500","250","pz","79","1","0","26","","","37"
"","psychophysics","47","285186","0.0-47.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","3817",""," ","key"," ","16.664824561403325","500","250","pz","89","1","0","44","","","57"
"","psychophysics","48","289362","0.0-48.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","4167",""," ","key"," ","16.664800000000046","500","250","pz","48","1","0","22","","","26"
"","psychophysics","49","295866","0.0-49.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","6499",""," ","key"," ","16.664832904884307","500","250","pz","68","1","0","20","","","46"
"","psychophysics","50","298977","0.0-50.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","3108",""," ","key"," ","16.66483870967728","500","250","pz","78","1","0","36","","","56"
"","psychophysics","51","302267","0.0-51.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","3284",""," ","key"," ","16.664795918367286","500","250","pz","90","1","0","27","","","50"
"","psychophysics","52","304949","0.0-52.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","2672",""," ","key"," ","16.875822784810158","500","250","pz","89","1","0","37","","","50"
"","psychophysics","53","306916","0.0-53.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","1949",""," ","key"," ","16.664786324786068","500","250","pz","86","1","0","53","","","34"
"","psychophysics","54","309964","0.0-54.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","3034",""," ","key"," ","16.664835164835164","500","250","pz","92","1","0","47","","","57"
"","psychophysics","55","313259","0.0-55.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","3290",""," ","key"," ","16.673401015228297","500","250","pz","95","1","0","27","","","47"
"","psychophysics","56","317710","0.0-56.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","4447",""," ","key"," ","16.664812030075066","500","250","pz","108","1","0","53","","","58"
"","psychophysics","57","321017","0.0-57.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","3302",""," ","key"," ","16.664771573603872","500","250","pz","90","1","0","45","","","46"
"","psychophysics","58","323675","0.0-58.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","2645",""," ","key"," ","16.664779874213544","500","250","pz","76","1","0","39","","","35"
"","psychophysics","59","324648","0.0-59.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","969",""," ","key"," ","16.962499999999377","500","250","inst","","","","","","",""
"","psychophysics","60","326296","0.0-60.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","1638",""," ","key"," ","16.664897959183413","500","250","instEB0","40","1","","40","0","0","40"
"","psychophysics","61","329027","0.0-61.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","2728",""," ","key"," ","16.664785276073534","500","250","instEB1","40","1","","40","0","0","30"
"","psychophysics","62","334894","0.0-62.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","5860",""," ","key"," ","16.664786324786398","500","250","instEB2","30","1","","30","0","0","40"
"","psychophysics","63","339557","0.0-63.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","4658",""," ","key"," ","16.664802867383447","500","250","instEB3","27","1","","27","0","0","45"
"","psychophysics","64","349641","0.0-64.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","10079",""," ","key"," ","16.664801324503276","500","250","instEB4","27","1","","40","0","0","30"
"","psychophysics","65","350790","0.0-65.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","1146",""," ","key"," ","16.9134328358202","500","250","inst","","","","","","",""
"","psychophysics","66","358797","0.0-66.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","null","","null","key","null","16.668392484342327","500","250","eb","47","1","","37","0","0","49"
"","psychophysics","67","359031","0.0-67.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","222",""," ","key"," ","16.66461538461646","500","250","eb","24","1","","24","0","0","28"
"","psychophysics","68","362701","0.0-68.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","3658",""," ","key"," ","16.664818181818223","500","250","eb","34","1","","46","0","0","37"
"","psychophysics","69","364675","0.0-69.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","1967",""," ","key"," ","16.664786324786565","500","250","eb","44","1","","44","0","0","50"
"","psychophysics","70","367501","0.0-70.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","2808",""," ","key"," ","16.664733727810457","500","250","eb","26","1","","40","0","0","27"
"","psychophysics","71","370520","0.0-71.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","3010",""," ","key"," ","16.664777777777637","500","250","eb","27","1","","53","0","0","29"
"","psychophysics","72","372743","0.0-72.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","2219",""," ","key"," ","16.66469696969734","500","250","eb","40","1","","33","0","0","47"
"","psychophysics","73","374102","0.0-73.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","1345",""," ","key"," ","16.66469135802429","500","250","eb","34","1","","34","0","0","39"
"","psychophysics","74","376261","0.0-74.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","2153",""," ","key"," ","16.664843749999818","500","250","eb","42","1","","50","0","0","38"
"","psychophysics","75","379021","0.0-75.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","2744",""," ","key"," ","16.664848484848203","500","250","eb","30","1","","40","0","0","29"
"","psychophysics","76","382112","0.0-76.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","3084",""," ","key"," ","16.664782608695692","500","250","eb","27","1","","25","0","0","28"
"","psychophysics","77","386913","0.0-77.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","4788",""," ","key"," ","16.664808362369296","500","250","eb","31","1","","49","0","0","35"
"","psychophysics","78","389470","0.0-78.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","2546",""," ","key"," ","16.66470588235302","500","250","eb","37","1","","50","0","0","39"
"","psychophysics","79","392110","0.0-79.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","2634",""," ","key"," ","16.66471337579646","500","250","eb","34","1","","53","0","0","35"
"","psychophysics","80","395009","0.0-80.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","2888",""," ","key"," ","16.664855491329586","500","250","eb","33","1","","38","0","0","32"
"","psychophysics","81","396085","0.0-81.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","1064",""," ","key"," ","16.956507936508086","500","250","inst","","","","","","",""
"","psychophysics","82","398046","0.0-82.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","1957",""," ","key"," ","16.66482758620736","500","250","instZol0","0","","","0","0","0",""
"","psychophysics","83","404315","0.0-83.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","6260",""," ","key"," ","16.66478723404261","500","250","instZol1","1.3","","","-1.3","0","0",""
"","psychophysics","84","407317","0.0-84.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","2995",""," ","key"," ","16.664804469273744","500","250","instZol2","-1.9","2","","2","0","0",""
"","psychophysics","85","410365","0.0-85.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","3045",""," ","key"," ","16.664835164835164","500","250","inst","","","","","","",""
"","psychophysics","86","418372","0.0-86.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","null","","null","key","null","16.664801670146144","500","250","zol","0.04000000000000001","2","0","-0.04","28","16",""
"","psychophysics","87","423072","0.0-87.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","4695",""," ","key"," ","16.66476868327398","500","250","zol","0.05999999999999983","2","0","0.64","23","14",""
"","psychophysics","88","424567","0.0-88.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","1492",""," ","key"," ","16.66471910112396","500","250","zol","0.57","2","0","-0.07","15","20",""
"","psychophysics","89","425984","0.0-89.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","1411",""," ","key"," ","16.66476190476221","500","250","zol","-0.08999999999999997","2","0","-0.71","-30","20",""
"","psychophysics","90","427025","0.0-90.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","1036",""," ","key"," ","16.664590163934083","500","250","zol","-1.06","2","0","0.46","23","-5",""
"","psychophysics","91","428467","0.0-91.0","588fc465a7e5300001199329","64e508cc391e968d7180fa21","","","","","1428",""," ","key"," ","16.664883720930153","500","250","zol","1.1500000000000001","2","0","-0.55","-8","-26",""
