"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","block","jitterX","jitterY","start","parA"
"true","fullscreen","0","2998","0.0-0.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3052","0.0-1.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","4373","0.0-2.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","1320","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","9923","0.0-3.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","5544",""," ","key"," ","16.667537537537534","960","250","","","","","","","",""
"","psychophysics","4","13850","0.0-4.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","3925",""," ","key"," ","16.667273504273503","500","250","inst","","","","","","",""
"","psychophysics","5","17250","0.0-5.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","3398",""," ","key"," ","16.667389162561573","500","250","sample0","","","","","","",""
"","psychophysics","6","20235","0.0-6.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","2983",""," ","key"," ","16.667853932584254","500","250","sample1","","","","","","",""
"","psychophysics","7","39858","0.0-7.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","19622",""," ","key"," ","16.667584536958366","500","250","sample2","100","","","","","",""
"","psychophysics","8","48434","0.0-8.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","8575",""," ","key"," ","16.66796296296295","500","250","sample3","100","","","","","",""
"","psychophysics","9","55930","0.0-9.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","7494",""," ","key"," ","16.667501113585743","500","250","sample4","100","","","","","",""
"","psychophysics","10","60034","0.0-10.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","4102",""," ","key"," ","16.667922448979574","500","250","sample5","","","","","","",""
"","psychophysics","11","68985","0.0-11.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","8950",""," ","key"," ","16.667580223880577","500","250","sample6","500","","","","","",""
"","psychophysics","12","77938","0.0-12.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","8950",""," ","key"," ","16.667766791044794","500","250","inst","","","","","","",""
"","psychophysics","13","84250","0.0-13.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","6311",""," ","key"," ","16.667904761904744","500","250","inst","","","","","","",""
"","psychophysics","14","88898","0.0-14.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","4647",""," ","key"," ","16.668053956834523","500","250","inst","","","","","","",""
"","psychophysics","15","92570","0.0-15.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","3671",""," ","key"," ","16.667607305936098","500","250","inst","","","","","","",""
"","psychophysics","16","94442","0.0-16.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","1871",""," ","key"," ","16.66715178571433","500","250","inst","","","","","","",""
"","psychophysics","17","99298","0.0-17.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","4854",""," ","key"," ","16.666827586206914","500","250","instZol0","0","","","0","0","0",""
"","psychophysics","18","123554","0.0-18.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","24254",""," ","key"," ","16.667634800550204","500","250","instZol1","-1.942890293094024e-16","","","0","0","-1.3",""
"","psychophysics","19","134842","0.0-19.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","11285",""," ","key"," ","16.667631656804758","500","250","instZol2","-2.2","2","","0","0","2",""
"","psychophysics","20","138810","0.0-20.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","3967",""," ","key"," ","16.66729113924045","500","250","inst","","","","","","",""
"","psychophysics","21","144876","0.0-21.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","6061",""," ","key"," ","16.667584022038525","500","250","zol","-1.6600000000000006","2","0","29","-19","0.66",""
"","psychophysics","22","150385","0.0-22.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","5503",""," ","key"," ","16.66770606060604","500","250","zol","-1.3100000000000003","2","0","-15","-8","-0.49",""
"","psychophysics","23","155265","0.0-23.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","4877",""," ","key"," ","16.66692808219174","500","250","zol","-1.6700000000000006","2","0","8","-10","0.67",""
"","psychophysics","24","160497","0.0-24.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","5229",""," ","key"," ","16.667265175718825","500","250","zol","-1.15","2","0","13","18","-0.55",""
"","psychophysics","25","167458","0.0-25.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","6957",""," ","key"," ","16.667144230769175","500","250","zol","-1.3900000000000001","2","0","21","-14","-0.31",""
"","psychophysics","26","172715","0.0-26.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","5254",""," ","key"," ","16.667460317460318","500","250","zol","-1.6900000000000004","2","0","25","-11","0.49",""
"","psychophysics","27","180050","0.0-27.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","7332",""," ","key"," ","16.66792938496581","500","250","zol","-1.7100000000000006","2","0","24","-2","0.01",""
"","psychophysics","28","186033","0.0-28.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","5981",""," ","key"," ","16.667248603351954","500","250","zol","-1.34","2","0","23","-24","-0.66",""
"","psychophysics","29","191994","0.0-29.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","5957",""," ","key"," ","16.667477528089897","500","250","zol","-1.5900000000000003","2","0","-27","28","0.19",""
"","psychophysics","30","198586","0.0-30.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","6589",""," ","key"," ","16.66798227848102","500","250","zol","-1.3400000000000003","2","0","25","-28","0.74",""
"","psychophysics","31","204442","0.0-31.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","5854",""," ","key"," ","16.668082857142853","500","250","zol","-0.92","2","0","-13","11","0.22",""
"","psychophysics","32","209866","0.0-32.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","5421",""," ","key"," ","16.66762769230767","500","250","zol","-1.4800000000000002","2","0","4","-1","0.28",""
"","psychophysics","33","214754","0.0-33.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","4885",""," ","key"," ","16.667613013698627","500","250","zol","-1.5500000000000003","2","0","19","30","-0.15",""
"","psychophysics","34","219809","0.0-34.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","5052",""," ","key"," ","16.66729801324505","500","250","zol","-0.9499999999999998","2","0","28","25","-0.15",""
"","psychophysics","35","223961","0.0-35.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","4149",""," ","key"," ","16.667512096774214","500","250","zol","-1.3900000000000001","2","0","15","8","0.29",""
"","psychophysics","36","226890","0.0-36.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","2927",""," ","key"," ","16.66851428571423","500","250","inst","","","","","","",""
"","psychophysics","37","229883","0.0-37.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","2990",""," ","key"," ","16.668056179775387","500","250","instBr0","0","","","0","0","0","300"
"","psychophysics","38","236995","0.0-38.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","7106",""," ","key"," ","16.66770657276995","500","250","instBr1","14","","","0","0","-40","300"
"","psychophysics","39","246835","0.0-39.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","9839",""," ","key"," ","16.66753728813556","500","250","instBr3","6","1","","0","0","40","300"
"","psychophysics","40","248587","0.0-40.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","1750",""," ","key"," ","16.666730769230735","500","250","inst","","","","","","",""
"","psychophysics","41","252075","0.0-41.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","3486",""," ","key"," ","16.666596153846164","500","250","br","-5","1","0","9","-29","2","227"
"","psychophysics","42","255835","0.0-42.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","3758",""," ","key"," ","16.668366071428473","500","250","br","-3","1","0","-3","15","-4","215"
"","psychophysics","43","260954","0.0-43.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","5117",""," ","key"," ","16.667980456025987","500","250","br","-8","1","0","-17","23","-26","203"
"","psychophysics","44","265187","0.0-44.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","4230",""," ","key"," ","16.66782213438736","500","250","br","-1","1","0","3","14","28","276"
"","psychophysics","45","269731","0.0-45.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","4542",""," ","key"," ","16.66832841328402","500","250","br","-7","1","0","-27","11","18","207"
"","psychophysics","46","274547","0.0-46.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","4814",""," ","key"," ","16.667493055555596","500","250","br","-4","1","0","18","-1","24","300"
"","psychophysics","47","278474","0.0-47.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","3926",""," ","key"," ","16.668357446808567","500","250","br","-5","1","0","-26","-29","16","234"
"","psychophysics","48","281347","0.0-48.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","2870",""," ","key"," ","16.666543859649078","500","250","br","-12","1","0","-3","28","-30","201"
"","psychophysics","49","284331","0.0-49.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","2982",""," ","key"," ","16.667174157303602","500","250","br","-4","1","0","-10","-16","26","242"
"","psychophysics","50","286819","0.0-50.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","2486",""," ","key"," ","16.66862162162166","500","250","br","-11","1","0","0","-24","1","240"
"","psychophysics","51","290403","0.0-51.0","5a6cfad8ab58b500015f56ef","64de82a8b073afa39cc01010","","","","","3582",""," ","key"," ","16.668864485981253","500","250","br","-8","1","0","-1","-6","26","284"
