"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","block","jitterX","jitterY","start","parA"
"true","fullscreen","0","2859","0.0-0.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2942","0.0-1.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","4541","0.0-2.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","1597","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","342412","0.0-3.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","337861",""," ","key"," ","16.665863463720218","683","250","","","","","","","",""
"","psychophysics","4","347116","0.0-4.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","4696",""," ","key"," ","16.665918439716275","500","250","inst","","","","","","",""
"","psychophysics","5","360678","0.0-5.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","13559",""," ","key"," ","16.666078720787205","500","250","sample0","","","","","","",""
"","psychophysics","6","362894","0.0-6.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","2213",""," ","key"," ","16.66580303030302","500","250","sample1","","","","","","",""
"","psychophysics","7","383328","0.0-7.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","20430",""," ","key"," ","16.66601632653061","500","250","sample2","100","","","","","",""
"","psychophysics","8","388932","0.0-8.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","5600",""," ","key"," ","16.665602985074667","500","250","sample3","106","","","","","",""
"","psychophysics","9","411117","0.0-9.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","22166",""," ","key"," ","16.665875187969927","500","250","sample4","102","","","","","",""
"","psychophysics","10","422626","0.0-10.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","11506",""," ","key"," ","16.6662188405797","500","250","sample5","","","","","","",""
"","psychophysics","11","430865","0.0-11.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","8237",""," ","key"," ","16.665470588235273","500","250","sample6","506","","","","","",""
"","psychophysics","12","436214","0.0-12.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","5346",""," ","key"," ","16.666400000000067","500","250","inst","","","","","","",""
"","psychophysics","13","444673","0.0-13.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","8457",""," ","key"," ","16.665885601577894","500","250","inst","","","","","","",""
"","psychophysics","14","483092","0.0-14.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","38417",""," ","key"," ","16.66586024305555","500","250","inst","","","","","","",""
"","psychophysics","15","486992","0.0-15.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","3898",""," ","key"," ","16.66616309012882","500","250","inst","","","","","","",""
"","psychophysics","16","489686","0.0-16.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","2692",""," ","key"," ","16.665260869564968","500","250","inst","","","","","","",""
"","psychophysics","17","498209","0.0-17.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","8519",""," ","key"," ","16.66603725490197","500","250","instBr0","0","","","0","0","0","300"
"","psychophysics","18","505266","0.0-18.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","7054",""," ","key"," ","16.666113744075773","500","250","instBr1","4","","","0","0","-40","300"
"","psychophysics","19","514674","0.0-19.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","9402",""," ","key"," ","16.666289007092217","500","250","instBr3","-15","1","","0","0","40","300"
"","psychophysics","20","518998","0.0-20.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","4322",""," ","key"," ","16.66693798449615","500","250","inst","","","","","","",""
"","psychophysics","21","523536","0.0-21.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","4530",""," ","key"," ","16.666102941176444","500","250","br","-21","1","0","-24","19","0","251"
"","psychophysics","22","526945","0.0-22.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","3407",""," ","key"," ","16.667044334975245","500","250","br","-17","1","0","-23","-16","-7","277"
"","psychophysics","23","532515","0.0-23.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","5566",""," ","key"," ","16.665813813813507","500","250","br","-22","1","0","4","7","10","257"
"","psychophysics","24","536231","0.0-24.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","3711",""," ","key"," ","16.666292792792863","500","250","br","-26","1","0","8","7","-27","266"
"","psychophysics","25","540076","0.0-25.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","3839",""," ","key"," ","16.666082608695245","500","250","br","-19","1","0","15","-24","26","209"
"","psychophysics","26","547300","0.0-26.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","7220",""," ","key"," ","16.665678983833587","500","250","br","-28","1","0","-14","-5","29","300"
"","psychophysics","27","551955","0.0-27.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","4652",""," ","key"," ","16.66617266187049","500","250","br","-15","1","0","-7","28","22","252"
"","psychophysics","28","559958","0.0-28.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","null","","null","key","null","16.6657995824636","500","250","br","-18","1","0","-4","10","28","224"
"","psychophysics","29","563285","0.0-29.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","3325",""," ","key"," ","16.665959798994745","500","250","br","-14","1","0","-14","19","10","276"
"","psychophysics","30","568616","0.0-30.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","5328",""," ","key"," ","16.66716614420063","500","250","br","-14","1","0","-21","5","-1","213"
"","psychophysics","31","571786","0.0-31.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","3167",""," ","key"," ","16.666100529100742","500","250","br","-25","1","0","-23","-16","-9","289"
"","psychophysics","32","575541","0.0-32.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","3752",""," ","key"," ","16.665906250000262","500","250","br","-11","1","0","-30","19","-26","219"
"","psychophysics","33","579859","0.0-33.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","4315",""," ","key"," ","16.666744186046582","500","250","br","-21","1","0","6","10","5","261"
"","psychophysics","34","582256","0.0-34.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","2394",""," ","key"," ","16.66665034965039","500","250","br","-15","1","0","4","10","-3","219"
"","psychophysics","35","586133","0.0-35.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","3874",""," ","key"," ","16.66578448275837","500","250","br","-18","1","0","-22","-13","-12","253"
"","psychophysics","36","588635","0.0-36.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","2500",""," ","key"," ","16.66627516778539","500","250","inst","","","","","","",""
"","psychophysics","37","598330","0.0-37.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","9692",""," ","key"," ","16.66566206896557","500","250","instPzPre","50","0","","","","50","50"
"","psychophysics","38","605082","0.0-38.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","6747",""," ","key"," ","16.66605925925944","500","250","instPz0","48","1","","","","50","50"
"","psychophysics","39","614141","0.0-39.0","5d38f983242a6f000156bbc1","64e50bb40e1045717e5ed59c","","","","","9056",""," ","key"," ","16.665894833948194","500","250","instPz1","52","1","","","","25","50"
