"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","block","jitterX","jitterY","start","parA"
"true","fullscreen","0","2629","0.0-0.0","5d859977611c9700152f11a1","64de8df5112845dad1e3a5cd","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2759","0.0-1.0","5d859977611c9700152f11a1","64de8df5112845dad1e3a5cd","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","4404","0.0-2.0","5d859977611c9700152f11a1","64de8df5112845dad1e3a5cd","","","","","1644","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","8431","0.0-3.0","5d859977611c9700152f11a1","64de8df5112845dad1e3a5cd","","","","","4022",""," ","key"," ","16.7368091286307","960","250","","","","","","","",""
"","psychophysics","4","10735","0.0-4.0","5d859977611c9700152f11a1","64de8df5112845dad1e3a5cd","","","","","2299",""," ","key"," ","16.667299270072995","500","250","inst","","","","","","",""
"","psychophysics","5","14503","0.0-5.0","5d859977611c9700152f11a1","64de8df5112845dad1e3a5cd","","","","","3765",""," ","key"," ","16.666946666666668","500","250","sample0","","","","","","",""
"","psychophysics","6","16495","0.0-6.0","5d859977611c9700152f11a1","64de8df5112845dad1e3a5cd","","","","","1988",""," ","key"," ","16.66708403361346","500","250","sample1","","","","","","",""
"","psychophysics","7","26383","0.0-7.0","5d859977611c9700152f11a1","64de8df5112845dad1e3a5cd","","","","","9884",""," ","key"," ","16.666940878378377","500","250","sample2","102","","","","","",""
"","psychophysics","8","32087","0.0-8.0","5d859977611c9700152f11a1","64de8df5112845dad1e3a5cd","","","","","5700",""," ","key"," ","16.666941348973605","500","250","sample3","98","","","","","",""
"","psychophysics","9","38511","0.0-9.0","5d859977611c9700152f11a1","64de8df5112845dad1e3a5cd","","","","","6419",""," ","key"," ","16.66681818181818","500","250","sample4","102","","","","","",""
"","psychophysics","10","44895","0.0-10.0","5d859977611c9700152f11a1","64de8df5112845dad1e3a5cd","","","","","6380",""," ","key"," ","16.666568062827228","500","250","sample5","","","","","","",""
"","psychophysics","11","57350","0.0-11.0","5d859977611c9700152f11a1","64de8df5112845dad1e3a5cd","","","","","12452",""," ","key"," ","16.666808310991954","500","250","sample6","502","","","","","",""
"","psychophysics","12","61207","0.0-12.0","5d859977611c9700152f11a1","64de8df5112845dad1e3a5cd","","","","","3853",""," ","key"," ","16.666686956521723","500","250","inst","","","","","","",""
