"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","block","jitterX","jitterY","start","parA"
"true","fullscreen","0","2661","0.0-0.0","5e833e342598d4053db08f1f","64e50fb92e6a550464c87c4e","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2780","0.0-1.0","5e833e342598d4053db08f1f","64e50fb92e6a550464c87c4e","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","4053","0.0-2.0","5e833e342598d4053db08f1f","64e50fb92e6a550464c87c4e","","","","","1271","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","12153","0.0-3.0","5e833e342598d4053db08f1f","64e50fb92e6a550464c87c4e","","","","","8092",""," ","key"," ","16.66460905349794","683","250","","","","","","","",""
"","psychophysics","4","33574","0.0-4.0","5e833e342598d4053db08f1f","64e50fb92e6a550464c87c4e","","","","","21418",""," ","key"," ","16.66692607003891","500","250","inst","","","","","","",""
"","psychophysics","5","37380","0.0-5.0","5e833e342598d4053db08f1f","64e50fb92e6a550464c87c4e","","","","","3804",""," ","key"," ","16.665198237885463","500","250","sample0","","","","","","",""
"","psychophysics","6","38935","0.0-6.0","5e833e342598d4053db08f1f","64e50fb92e6a550464c87c4e","","","","","1551",""," ","key"," ","16.66304347826087","500","250","sample1","","","","","","",""
"","psychophysics","7","47889","0.0-7.0","5e833e342598d4053db08f1f","64e50fb92e6a550464c87c4e","","","","","8937",""," ","key"," ","16.666044776119403","500","250","sample2","100","","","","","",""
"","psychophysics","8","51157","0.0-8.0","5e833e342598d4053db08f1f","64e50fb92e6a550464c87c4e","","","","","3260",""," ","key"," ","16.666666666666668","500","250","sample3","100","","","","","",""
"","psychophysics","9","57459","0.0-9.0","5e833e342598d4053db08f1f","64e50fb92e6a550464c87c4e","","","","","6288",""," ","key"," ","16.666666666666668","500","250","sample4","102","","","","","",""
"","psychophysics","10","60308","0.0-10.0","5e833e342598d4053db08f1f","64e50fb92e6a550464c87c4e","","","","","2847",""," ","key"," ","16.668639053254438","500","250","sample5","","","","","","",""
