"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","block","jitterX","jitterY","start","parA"
"true","fullscreen","0","14530","0.0-0.0","5eb070eb793af1113c01e244","64de8058210e70a94b84de2f","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","14970","0.0-1.0","5eb070eb793af1113c01e244","64de8058210e70a94b84de2f","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","16829","0.0-2.0","5eb070eb793af1113c01e244","64de8058210e70a94b84de2f","","","","","1858","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","29750","0.0-3.0","5eb070eb793af1113c01e244","64de8058210e70a94b84de2f","","","","","12915",""," ","key"," ","16.666374193548386","960","250","","","","","","","",""
"","psychophysics","4","33068","0.0-4.0","5eb070eb793af1113c01e244","64de8058210e70a94b84de2f","","","","","3316",""," ","key"," ","16.666666666666668","500","250","inst","","","","","","",""
"","psychophysics","5","35312","0.0-5.0","5eb070eb793af1113c01e244","64de8058210e70a94b84de2f","","","","","2242",""," ","key"," ","16.666766917293234","500","250","sample0","","","","","","",""
"","psychophysics","6","37722","0.0-6.0","5eb070eb793af1113c01e244","64de8058210e70a94b84de2f","","","","","2406",""," ","key"," ","16.666666666666668","500","250","sample1","","","","","","",""
"","psychophysics","7","49316","0.0-7.0","5eb070eb793af1113c01e244","64de8058210e70a94b84de2f","","","","","11592",""," ","key"," ","16.66658992805755","500","250","sample2","100","","","","","",""
"","psychophysics","8","57754","0.0-8.0","5eb070eb793af1113c01e244","64de8058210e70a94b84de2f","","","","","8437",""," ","key"," ","16.666653465346528","500","250","sample3","100","","","","","",""
"","psychophysics","9","68034","0.0-9.0","5eb070eb793af1113c01e244","64de8058210e70a94b84de2f","","","","","10279",""," ","key"," ","16.6666883116883","500","250","sample4","102","","","","","",""
"","psychophysics","10","71504","0.0-10.0","5eb070eb793af1113c01e244","64de8058210e70a94b84de2f","","","","","3469",""," ","key"," ","16.666666666666668","500","250","sample5","","","","","","",""
"","psychophysics","11","79736","0.0-11.0","5eb070eb793af1113c01e244","64de8058210e70a94b84de2f","","","","","8229",""," ","key"," ","16.666693711967532","500","250","sample6","500","","","","","",""
"","psychophysics","12","84858","0.0-12.0","5eb070eb793af1113c01e244","64de8058210e70a94b84de2f","","","","","5121",""," ","key"," ","16.666666666666668","500","250","inst","","","","","","",""
"","psychophysics","13","90131","0.0-13.0","5eb070eb793af1113c01e244","64de8058210e70a94b84de2f","","","","","5271",""," ","key"," ","16.666645569620265","500","250","inst","","","","","","",""
"","psychophysics","14","158906","0.0-14.0","5eb070eb793af1113c01e244","64de8058210e70a94b84de2f","","","","","68774",""," ","key"," ","16.666652121212124","500","250","inst","","","","","","",""
"","psychophysics","15","162084","0.0-15.0","5eb070eb793af1113c01e244","64de8058210e70a94b84de2f","","","","","3177",""," ","key"," ","16.666736842105227","500","250","inst","","","","","","",""
"","psychophysics","16","166881","0.0-16.0","5eb070eb793af1113c01e244","64de8058210e70a94b84de2f","","","","","4795",""," ","key"," ","16.66668989547037","500","250","inst","","","","","","",""
"","psychophysics","17","169968","0.0-17.0","5eb070eb793af1113c01e244","64de8058210e70a94b84de2f","","","","","3085",""," ","key"," ","16.666739130434745","500","250","instBr0","0","","","0","0","0","300"
"","psychophysics","18","177040","0.0-18.0","5eb070eb793af1113c01e244","64de8058210e70a94b84de2f","","","","","7070",""," ","key"," ","16.666666666666668","500","250","instBr1","-1","","","0","0","-40","300"
"","psychophysics","19","186008","0.0-19.0","5eb070eb793af1113c01e244","64de8058210e70a94b84de2f","","","","","8967",""," ","key"," ","16.666629422718774","500","250","instBr3","-24","1","","0","0","40","300"
"","psychophysics","20","188592","0.0-20.0","5eb070eb793af1113c01e244","64de8058210e70a94b84de2f","","","","","2583",""," ","key"," ","16.66662337662321","500","250","inst","","","","","","",""
"","psychophysics","21","193123","0.0-21.0","5eb070eb793af1113c01e244","64de8058210e70a94b84de2f","","","","","4530",""," ","key"," ","16.66664206642068","500","250","br","-23","1","0","18","-12","-15","223"
"","psychophysics","22","198392","0.0-22.0","5eb070eb793af1113c01e244","64de8058210e70a94b84de2f","","","","","5266",""," ","key"," ","16.666666666666668","500","250","br","-28","1","0","6","21","25","247"
"","psychophysics","23","202098","0.0-23.0","5eb070eb793af1113c01e244","64de8058210e70a94b84de2f","","","","","3705",""," ","key"," ","16.666666666666668","500","250","br","-28","1","0","8","-24","-5","256"
"","psychophysics","24","210650","0.0-24.0","5eb070eb793af1113c01e244","64de8058210e70a94b84de2f","","","","","8549",""," ","key"," ","16.666640625000014","500","250","br","-29","1","0","5","-22","18","290"
"","psychophysics","25","214551","0.0-25.0","5eb070eb793af1113c01e244","64de8058210e70a94b84de2f","","","","","3900",""," ","key"," ","16.66652360515029","500","250","br","-34","1","0","-4","-9","3","270"
"","psychophysics","26","217770","0.0-26.0","5eb070eb793af1113c01e244","64de8058210e70a94b84de2f","","","","","3217",""," ","key"," ","16.666666666666668","500","250","br","-27","1","0","-27","14","12","251"
