"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","block","start","jitterX","jitterY","parA"
"true","fullscreen","0","3543","0.0-0.0","5ee00907ed486334f7063e3a","64de7de254cb3c4b0a80e0fb","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3608","0.0-1.0","5ee00907ed486334f7063e3a","64de7de254cb3c4b0a80e0fb","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","8991","0.0-2.0","5ee00907ed486334f7063e3a","64de7de254cb3c4b0a80e0fb","","","","","5382","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","15274","0.0-3.0","5ee00907ed486334f7063e3a","64de7de254cb3c4b0a80e0fb","","","","","6278",""," ","key"," ","16.616243386243386","768","250","","","","","","","",""
"","psychophysics","4","21315","0.0-4.0","5ee00907ed486334f7063e3a","64de7de254cb3c4b0a80e0fb","","","","","6036",""," ","key"," ","16.62491712707182","500","250","inst","","","","","","",""
"","psychophysics","5","27158","0.0-5.0","5ee00907ed486334f7063e3a","64de7de254cb3c4b0a80e0fb","","","","","5838",""," ","key"," ","16.625542857142865","500","250","sample0","","","","","","",""
"","psychophysics","6","30143","0.0-6.0","5ee00907ed486334f7063e3a","64de7de254cb3c4b0a80e0fb","","","","","2976",""," ","key"," ","16.6250279329609","500","250","sample1","","","","","","",""
"","psychophysics","7","38459","0.0-7.0","5ee00907ed486334f7063e3a","64de7de254cb3c4b0a80e0fb","","","","","8311",""," ","key"," ","16.625250501002004","500","250","sample2","104","","","","","",""
"","psychophysics","8","43137","0.0-8.0","5ee00907ed486334f7063e3a","64de7de254cb3c4b0a80e0fb","","","","","4674",""," ","key"," ","16.625480427046245","500","250","sample3","98","","","","","",""
"","psychophysics","9","50405","0.0-9.0","5ee00907ed486334f7063e3a","64de7de254cb3c4b0a80e0fb","","","","","7263",""," ","key"," ","16.625045871559625","500","250","sample4","102","","","","","",""
"","psychophysics","10","53312","0.0-10.0","5ee00907ed486334f7063e3a","64de7de254cb3c4b0a80e0fb","","","","","2903",""," ","key"," ","16.625057471264338","500","250","sample5","","","","","","",""
"","psychophysics","11","59692","0.0-11.0","5ee00907ed486334f7063e3a","64de7de254cb3c4b0a80e0fb","","","","","6374",""," ","key"," ","16.625497382198958","500","250","sample6","496","","","","","",""
"","psychophysics","12","70807","0.0-12.0","5ee00907ed486334f7063e3a","64de7de254cb3c4b0a80e0fb","","","","","11102",""," ","key"," ","16.625329341317357","500","250","inst","","","","","","",""
"","psychophysics","13","74607","0.0-13.0","5ee00907ed486334f7063e3a","64de7de254cb3c4b0a80e0fb","","","","","3795",""," ","key"," ","16.62511013215863","500","250","inst","","","","","","",""
"","psychophysics","14","78802","0.0-14.0","5ee00907ed486334f7063e3a","64de7de254cb3c4b0a80e0fb","","","","","4185",""," ","key"," ","16.62507936507938","500","250","inst","","","","","","",""
"","psychophysics","15","80114","0.0-15.0","5ee00907ed486334f7063e3a","64de7de254cb3c4b0a80e0fb","","","","","1307",""," ","key"," ","16.625897435897524","500","250","inst","","","","","","",""
"","psychophysics","16","81462","0.0-16.0","5ee00907ed486334f7063e3a","64de7de254cb3c4b0a80e0fb","","","","","1346",""," ","key"," ","16.624499999999898","500","250","inst","","","","","","",""
"","psychophysics","17","90365","0.0-17.0","5ee00907ed486334f7063e3a","64de7de254cb3c4b0a80e0fb","","","","","8898",""," ","key"," ","16.625131086142307","500","250","instEB0","41","1","","40","0","0","40"
"","psychophysics","18","98181","0.0-18.0","5ee00907ed486334f7063e3a","64de7de254cb3c4b0a80e0fb","","","","","7806",""," ","key"," ","16.62507462686568","500","250","instEB1","34","1","","40","0","0","30"
"","psychophysics","19","107216","0.0-19.0","5ee00907ed486334f7063e3a","64de7de254cb3c4b0a80e0fb","","","","","9023",""," ","key"," ","16.6252670349908","500","250","instEB2","37","1","","30","0","0","40"
"","psychophysics","20","116613","0.0-20.0","5ee00907ed486334f7063e3a","64de7de254cb3c4b0a80e0fb","","","","","9392",""," ","key"," ","16.62521276595744","500","250","instEB3","43","1","","27","0","0","45"
"","psychophysics","21","122786","0.0-21.0","5ee00907ed486334f7063e3a","64de7de254cb3c4b0a80e0fb","","","","","6170",""," ","key"," ","16.625189189189207","500","250","instEB4","31","1","","40","0","0","30"
"","psychophysics","22","135550","0.0-22.0","5ee00907ed486334f7063e3a","64de7de254cb3c4b0a80e0fb","","","","","12755",""," ","key"," ","16.625319426336368","500","250","inst","","","","","","",""
"","psychophysics","23","140467","0.0-23.0","5ee00907ed486334f7063e3a","64de7de254cb3c4b0a80e0fb","","","","","4906",""," ","key"," ","16.625694915254194","500","250","eb","28","1","","44","0","0","28"
"","psychophysics","24","146226","0.0-24.0","5ee00907ed486334f7063e3a","64de7de254cb3c4b0a80e0fb","","","","","5754",""," ","key"," ","16.625449275362314","500","250","eb","27","1","","31","0","0","28"
"","psychophysics","25","152024","0.0-25.0","5ee00907ed486334f7063e3a","64de7de254cb3c4b0a80e0fb","","","","","5787",""," ","key"," ","16.625344827586193","500","250","eb","46","1","","38","0","0","54"
"","psychophysics","26","159832","0.0-26.0","5ee00907ed486334f7063e3a","64de7de254cb3c4b0a80e0fb","","","","","7802",""," ","key"," ","16.62507462686568","500","250","eb","41","1","","25","0","0","47"
"","psychophysics","27","165630","0.0-27.0","5ee00907ed486334f7063e3a","64de7de254cb3c4b0a80e0fb","","","","","5793",""," ","key"," ","16.62553314121037","500","250","eb","29","1","","45","0","0","31"
"","psychophysics","28","167154","0.0-28.0","5ee00907ed486334f7063e3a","64de7de254cb3c4b0a80e0fb","","","","","1512",""," ","key"," ","16.625494505494647","500","250","eb","31","1","","31","0","0","51"
"","psychophysics","29","174537","0.0-29.0","5ee00907ed486334f7063e3a","64de7de254cb3c4b0a80e0fb","","","","","7377",""," ","key"," ","16.625146726862308","500","250","eb","26","1","","51","0","0","29"
