"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","block","start","jitterX","jitterY","parA"
"true","fullscreen","0","3223","0.0-0.0","5f263a38f8e51635c1b87bcd","64e503ff68fdf17bf10f675d","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3491","0.0-1.0","5f263a38f8e51635c1b87bcd","64e503ff68fdf17bf10f675d","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","4865","0.0-2.0","5f263a38f8e51635c1b87bcd","64e503ff68fdf17bf10f675d","","","","","1372","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","12757","0.0-3.0","5f263a38f8e51635c1b87bcd","64e503ff68fdf17bf10f675d","","","","","7885",""," ","key"," ","33.334113924050634","720","250","","","","","","","",""
"","psychophysics","4","15298","0.0-4.0","5f263a38f8e51635c1b87bcd","64e503ff68fdf17bf10f675d","","","","","2537",""," ","key"," ","33.331999999999994","500","250","inst","","","","","","",""
"","psychophysics","5","24151","0.0-5.0","5f263a38f8e51635c1b87bcd","64e503ff68fdf17bf10f675d","","","","","8849",""," ","key"," ","33.333901515151524","500","250","sample0","","","","","","",""
"","psychophysics","6","25918","0.0-6.0","5f263a38f8e51635c1b87bcd","64e503ff68fdf17bf10f675d","","","","","1762",""," ","key"," ","33.33200000000006","500","250","sample1","","","","","","",""
"","psychophysics","7","41043","0.0-7.0","5f263a38f8e51635c1b87bcd","64e503ff68fdf17bf10f675d","","","","","15118",""," ","key"," ","33.33310816777041","500","250","sample2","102","","","","","",""
"","psychophysics","8","45676","0.0-8.0","5f263a38f8e51635c1b87bcd","64e503ff68fdf17bf10f675d","","","","","4629",""," ","key"," ","33.33563043478263","500","250","sample3","104","","","","","",""
"","psychophysics","9","53425","0.0-9.0","5f263a38f8e51635c1b87bcd","64e503ff68fdf17bf10f675d","","","","","7746",""," ","key"," ","33.33416379310347","500","250","sample4","102","","","","","",""
"","psychophysics","10","57103","0.0-10.0","5f263a38f8e51635c1b87bcd","64e503ff68fdf17bf10f675d","","","","","3675",""," ","key"," ","33.332000000000015","500","250","sample5","","","","","","",""
"","psychophysics","11","65145","0.0-11.0","5f263a38f8e51635c1b87bcd","64e503ff68fdf17bf10f675d","","","","","8039",""," ","key"," ","33.33409166666667","500","250","sample6","500","","","","","",""
"","psychophysics","12","68829","0.0-12.0","5f263a38f8e51635c1b87bcd","64e503ff68fdf17bf10f675d","","","","","3681",""," ","key"," ","33.332000000000036","500","250","inst","","","","","","",""
"","psychophysics","13","72476","0.0-13.0","5f263a38f8e51635c1b87bcd","64e503ff68fdf17bf10f675d","","","","","3645",""," ","key"," ","33.33572222222224","500","250","inst","","","","","","",""
"","psychophysics","14","79210","0.0-14.0","5f263a38f8e51635c1b87bcd","64e503ff68fdf17bf10f675d","","","","","6731",""," ","key"," ","33.331999999999944","500","250","inst","","","","","","",""
"","psychophysics","15","81555","0.0-15.0","5f263a38f8e51635c1b87bcd","64e503ff68fdf17bf10f675d","","","","","2343",""," ","key"," ","33.338800000000006","500","250","inst","","","","","","",""
"","psychophysics","16","83942","0.0-16.0","5f263a38f8e51635c1b87bcd","64e503ff68fdf17bf10f675d","","","","","2385",""," ","key"," ","33.33200000000007","500","250","inst","","","","","","",""
"","psychophysics","17","90901","0.0-17.0","5f263a38f8e51635c1b87bcd","64e503ff68fdf17bf10f675d","","","","","6956",""," ","key"," ","33.33199999999999","500","250","instPog0","340","2","","370","0","0","340"
"","psychophysics","18","100488","0.0-18.0","5f263a38f8e51635c1b87bcd","64e503ff68fdf17bf10f675d","","","","","9585",""," ","key"," ","33.33366202090592","500","250","instPog1","340","2","","370","0","0","340"
"","psychophysics","19","103556","0.0-19.0","5f263a38f8e51635c1b87bcd","64e503ff68fdf17bf10f675d","","","","","3065",""," ","key"," ","33.33723076923071","500","250","instPog2","330","2","","340","0","0","340"
