"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","block","jitterX","jitterY","start","parA"
"true","fullscreen","0","2891","0.0-0.0","5f4d3cb5fdda0b2c403fb801","64e506cc51f2940f68db9f28","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2944","0.0-1.0","5f4d3cb5fdda0b2c403fb801","64e506cc51f2940f68db9f28","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","5443","0.0-2.0","5f4d3cb5fdda0b2c403fb801","64e506cc51f2940f68db9f28","","","","","2499","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","12111","0.0-3.0","5f4d3cb5fdda0b2c403fb801","64e506cc51f2940f68db9f28","","","","","6661",""," ","key"," ","16.7484648241206","768","250","","","","","","","",""
"","psychophysics","4","19557","0.0-4.0","5f4d3cb5fdda0b2c403fb801","64e506cc51f2940f68db9f28","","","","","7442",""," ","key"," ","16.664486547085204","500","250","inst","","","","","","",""
"","psychophysics","5","23092","0.0-5.0","5f4d3cb5fdda0b2c403fb801","64e506cc51f2940f68db9f28","","","","","3533",""," ","key"," ","16.664355450236968","500","250","sample0","","","","","","",""
"","psychophysics","6","93453","0.0-6.0","5f4d3cb5fdda0b2c403fb801","64e506cc51f2940f68db9f28","","","","","70359",""," ","key"," ","16.67236288219957","500","250","sample1","","","","","","",""
"","psychophysics","7","481284","0.0-7.0","5f4d3cb5fdda0b2c403fb801","64e506cc51f2940f68db9f28","","","","","387831",""," ","key"," ","16.673114660361136","500","250","sample2","100","","","","","",""
"","psychophysics","8","501056","0.0-8.0","5f4d3cb5fdda0b2c403fb801","64e506cc51f2940f68db9f28","","","","","19769",""," ","key"," ","16.664540084388218","500","250","sample3","100","","","","","",""
"","psychophysics","9","524648","0.0-9.0","5f4d3cb5fdda0b2c403fb801","64e506cc51f2940f68db9f28","","","","","23587",""," ","key"," ","16.66466925795048","500","250","sample4","100","","","","","",""
"","psychophysics","10","529752","0.0-10.0","5f4d3cb5fdda0b2c403fb801","64e506cc51f2940f68db9f28","","","","","5102",""," ","key"," ","16.664659016393507","500","250","sample5","","","","","","",""
