"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","start","parA","version","block","jitterX","jitterY"
"true","fullscreen","0","1841","0.0-0.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","1869","0.0-1.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","2665","0.0-2.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","794","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","6227","0.0-3.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","3558",""," ","key"," ","8.353629976580796","960","250","","","","","","","",""
"","psychophysics","4","7953","0.0-4.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","1725",""," ","key"," ","8.33495145631068","500","250","inst","","","","","","",""
"","psychophysics","5","9211","0.0-5.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","1256",""," ","key"," ","8.333333333333334","500","250","sample0","","","","","","",""
"","psychophysics","6","10489","0.0-6.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","1277",""," ","key"," ","8.335526315789474","500","250","sample1","","","","","","",""
"","psychophysics","7","12811","0.0-7.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","2318",""," ","key"," ","8.33453237410072","500","250","sample2","88","","","","","",""
"","psychophysics","8","16952","0.0-8.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","4139",""," ","key"," ","8.334677419354838","500","250","sample3","96","","","","","",""
"","psychophysics","9","20654","0.0-9.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","3701",""," ","key"," ","8.334085778781038","500","250","sample4","96","","","","","",""
"","psychophysics","10","22083","0.0-10.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","1428",""," ","key"," ","8.33529411764706","500","250","sample5","","","","","","",""
"","psychophysics","11","25883","0.0-11.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","3798",""," ","key"," ","8.334065934065935","500","250","sample6","504","","","","","",""
"","psychophysics","12","28812","0.0-12.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","2927",""," ","key"," ","8.336182336182336","500","250","inst","","","","","","",""
"","psychophysics","13","30366","0.0-13.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","1553",""," ","key"," ","8.335135135135134","500","250","inst","","","","","","",""
"","psychophysics","14","31764","0.0-14.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","1397",""," ","key"," ","8.32934131736527","500","250","inst","","","","","","",""
"","psychophysics","15","33255","0.0-15.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","1491",""," ","key"," ","8.331460674157304","500","250","inst","","","","","","",""
"","psychophysics","16","34679","0.0-16.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","1423",""," ","key"," ","8.329411764705883","500","250","inst","","","","","","",""
"","psychophysics","17","37887","0.0-17.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","3208",""," ","key"," ","8.333333333333334","500","250","instPzPre","50","50","50","0","","",""
"","psychophysics","18","54509","0.0-18.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","16620",""," ","key"," ","8.334671349724035","500","250","instPz0","47","50","50","1","","",""
"","psychophysics","19","65393","0.0-19.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","10885",""," ","key"," ","8.334865900383141","500","250","instPz1","53","25","50","1","","",""
"","psychophysics","20","72272","0.0-20.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","6877",""," ","key"," ","8.33495145631068","500","250","instPz2","20","35","20","1","","",""
"","psychophysics","21","89958","0.0-21.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","17685",""," ","key"," ","8.346553352219075","500","250","instPz3","41","100","30","1","","",""
"","psychophysics","22","100717","0.0-22.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","10756",""," ","key"," ","8.334883720930232","500","250","instPz4","38","100","30","1","","",""
"","psychophysics","23","103352","0.0-23.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","2635",""," ","key"," ","8.336507936507937","500","250","inst","","","","","","",""
"","psychophysics","24","109611","0.0-24.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","6258",""," ","key"," ","8.334666666666667","500","250","pz","40","53","28","1","0","",""
"","psychophysics","25","113251","0.0-25.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","3638",""," ","key"," ","8.3348623853211","500","250","pz","46","56","27","1","0","",""
"","psychophysics","26","115111","0.0-26.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","1859",""," ","key"," ","8.333333333333334","500","250","pz","55","55","31","1","0","",""
"","psychophysics","27","119541","0.0-27.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","4430",""," ","key"," ","8.335216572504708","500","250","pz","50","35","32","1","0","",""
"","psychophysics","28","124711","0.0-28.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","5168",""," ","key"," ","8.334410339256866","500","250","pz","71","21","51","1","0","",""
"","psychophysics","29","127541","0.0-29.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","2828",""," ","key"," ","8.334319526627219","500","250","pz","49","36","29","1","0","",""
"","psychophysics","30","133155","0.0-30.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","5613",""," ","key"," ","8.334323922734027","500","250","pz","43","57","25","1","0","",""
"","psychophysics","31","139988","0.0-31.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","6832",""," ","key"," ","8.334554334554335","500","250","pz","79","41","53","1","0","",""
"","psychophysics","32","147002","0.0-32.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","7013",""," ","key"," ","8.334523809523809","500","250","pz","84","38","56","1","0","",""
"","psychophysics","33","151245","0.0-33.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","4240",""," ","key"," ","8.334645669291339","500","250","pz","88","23","53","1","0","",""
"","psychophysics","34","155176","0.0-34.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","3929",""," ","key"," ","8.333333333333334","500","250","pz","56","23","39","1","0","",""
"","psychophysics","35","159500","0.0-35.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","4324",""," ","key"," ","8.333976833976834","500","250","pz","49","23","34","1","0","",""
"","psychophysics","36","163130","0.0-36.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","3629",""," ","key"," ","8.334101382488479","500","250","pz","49","43","37","1","0","",""
"","psychophysics","37","167660","0.0-37.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","4528",""," ","key"," ","8.335174953959484","500","250","pz","36","32","27","1","0","",""
"","psychophysics","38","171058","0.0-38.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","3397",""," ","key"," ","8.334152334152334","500","250","pz","53","27","44","1","0","",""
"","psychophysics","39","172459","0.0-39.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","1401",""," ","key"," ","8.335329341317365","500","250","inst","","","","","","",""
"","psychophysics","40","174526","0.0-40.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","2065",""," ","key"," ","8.336032388663968","500","250","instEB0","40","40","40","1","","0","0"
"","psychophysics","41","184694","0.0-41.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","10165",""," ","key"," ","8.33470057424118","500","250","instEB1","31","40","30","1","","0","0"
"","psychophysics","42","191003","0.0-42.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","6308",""," ","key"," ","8.378989361702128","500","250","instEB2","35","30","40","1","","0","0"
"","psychophysics","43","205070","0.0-43.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","14065",""," ","key"," ","8.33511269276394","500","250","instEB3","41","27","45","1","","0","0"
"","psychophysics","44","213674","0.0-44.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","8602",""," ","key"," ","8.334302325581396","500","250","instEB4","25","40","30","1","","0","0"
"","psychophysics","45","215126","0.0-45.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","1451",""," ","key"," ","8.335260115606937","500","250","inst","","","","","","",""
"","psychophysics","46","220457","0.0-46.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","5329",""," ","key"," ","8.33385579937304","500","250","eb","43","34","47","1","","0","0"
"","psychophysics","47","224848","0.0-47.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","4388",""," ","key"," ","8.334600760456274","500","250","eb","30","54","36","1","","0","0"
"","psychophysics","48","229326","0.0-48.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","4475",""," ","key"," ","8.335195530726256","500","250","eb","39","43","44","1","","0","0"
"","psychophysics","49","232721","0.0-49.0","5f575dcee56fa81e090f3a5d","64de83488e1f7d292855f9fe","","","","","3393",""," ","key"," ","8.334975369458128","500","250","eb","37","48","39","1","","0","0"
