"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","block","jitterX","jitterY","start","parA"
"true","fullscreen","0","77075","0.0-0.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","77175","0.0-1.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","97644","0.0-2.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","20469","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","100501","0.0-3.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","2853",""," ","key"," ","6.060522292993649","960","250","","","","","","","",""
"","psychophysics","4","103966","0.0-4.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","3464",""," ","key"," ","6.060278458844123","500","250","inst","","","","","","",""
"","psychophysics","5","106142","0.0-5.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","2174",""," ","key"," ","6.060284916201103","500","250","sample0","","","","","","",""
"","psychophysics","6","107915","0.0-6.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","1772",""," ","key"," ","6.060223367697574","500","250","sample1","","","","","","",""
"","psychophysics","7","120284","0.0-7.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","12368",""," ","key"," ","6.060400980392154","500","250","sample2","102","","","","","",""
"","psychophysics","8","129522","0.0-8.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","9236",""," ","key"," ","6.0603532501641535","500","250","sample3","100","","","","","",""
"","psychophysics","9","143795","0.0-9.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","14272",""," ","key"," ","6.060435244161358","500","250","sample4","100","","","","","",""
"","psychophysics","10","152994","0.0-10.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","9198",""," ","key"," ","6.060400131839161","500","250","sample5","","","","","","",""
"","psychophysics","11","161170","0.0-11.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","8174",""," ","key"," ","6.060412462908002","500","250","sample6","500","","","","","",""
"","psychophysics","12","165020","0.0-12.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","3849",""," ","key"," ","6.060353312302832","500","250","inst","","","","","","",""
"","psychophysics","13","171475","0.0-13.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","6454",""," ","key"," ","6.060394736842114","500","250","inst","","","","","","",""
"","psychophysics","14","175309","0.0-14.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","3833",""," ","key"," ","6.060341772151896","500","250","inst","","","","","","",""
"","psychophysics","15","180683","0.0-15.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","5374",""," ","key"," ","6.060462146892645","500","250","inst","","","","","","",""
"","psychophysics","16","182112","0.0-16.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","1427",""," ","key"," ","6.060412765957509","500","250","inst","","","","","","",""
"","psychophysics","17","184411","0.0-17.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","2298",""," ","key"," ","6.060354497354532","500","250","instBr0","0","","","0","0","0","300"
"","psychophysics","18","196587","0.0-18.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","12175",""," ","key"," ","6.060401692384275","500","250","instBr1","9","","","0","0","-40","300"
"","psychophysics","19","209326","0.0-19.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","12738",""," ","key"," ","6.060428843407892","500","250","instBr3","-6","1","","0","0","40","300"
"","psychophysics","20","211566","0.0-20.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","2239",""," ","key"," ","6.060475543478273","500","250","inst","","","","","","",""
"","psychophysics","21","216719","0.0-21.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","5152",""," ","key"," ","6.060328621908141","500","250","br","-15","1","0","16","11","9","244"
"","psychophysics","22","222466","0.0-22.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","5745",""," ","key"," ","6.06047679324894","500","250","br","-5","1","0","-23","3","22","299"
"","psychophysics","23","227029","0.0-23.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","4562",""," ","key"," ","6.060288563829786","500","250","br","-11","1","0","-27","10","-30","249"
"","psychophysics","24","230248","0.0-24.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","3218",""," ","key"," ","6.060377358490566","500","250","br","-16","1","0","-8","12","-7","207"
"","psychophysics","25","234212","0.0-25.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","3963",""," ","key"," ","6.06039203675347","500","250","br","-22","1","0","13","19","-9","291"
"","psychophysics","26","239168","0.0-26.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","4955",""," ","key"," ","6.060397796817627","500","250","br","-14","1","0","-22","16","5","299"
"","psychophysics","27","242806","0.0-27.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","3637",""," ","key"," ","6.060412353923215","500","250","br","-12","1","0","-6","0","28","239"
"","psychophysics","28","246263","0.0-28.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","3456",""," ","key"," ","6.060481546572917","500","250","br","-11","1","0","-16","17","23","300"
"","psychophysics","29","250645","0.0-29.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","4381",""," ","key"," ","6.060518005540151","500","250","br","-14","1","0","-9","0","-20","225"
"","psychophysics","30","254926","0.0-30.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","4279",""," ","key"," ","6.060582152974516","500","250","br","-10","1","0","7","21","-6","271"
"","psychophysics","31","257232","0.0-31.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","2306",""," ","key"," ","6.060324538258531","500","250","br","-10","1","0","19","30","12","291"
"","psychophysics","32","261191","0.0-32.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","3957",""," ","key"," ","6.060352220520635","500","250","br","-4","1","0","-27","15","14","287"
"","psychophysics","33","263804","0.0-33.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","2612",""," ","key"," ","6.060462790697564","500","250","br","-5","1","0","22","-9","1","288"
"","psychophysics","34","265559","0.0-34.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","1754",""," ","key"," ","6.060413194444361","500","250","br","-6","1","0","20","-3","16","299"
"","psychophysics","35","268991","0.0-35.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","3430",""," ","key"," ","6.060379858657223","500","250","br","-3","1","0","-17","16","29","255"
"","psychophysics","36","269838","0.0-36.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","846",""," ","key"," ","6.0599492753626425","500","250","inst","","","","","","",""
"","psychophysics","37","271361","0.0-37.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","1521",""," ","key"," ","6.0605418326693075","500","250","instEB0","75","1","","0","0","75","75"
"","psychophysics","38","278066","0.0-38.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","6704",""," ","key"," ","6.060459728506805","500","250","instEB1","71","1","","0","0","80","70"
"","psychophysics","39","285882","0.0-39.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","7814",""," ","key"," ","6.084006230529596","500","250","instEB2","69","1","","0","0","80","65"
"","psychophysics","40","292162","0.0-40.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","6279",""," ","key"," ","6.078063953488349","500","250","instEB3","82","1","","0","0","65","80"
"","psychophysics","41","300689","0.0-41.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","8526",""," ","key"," ","6.060467994310128","500","250","instEB4","63","1","","0","0","70","65"
"","psychophysics","42","302528","0.0-42.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","1838",""," ","key"," ","6.0607715231788175","500","250","inst","","","","","","",""
"","psychophysics","43","306236","0.0-43.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","3705",""," ","key"," ","6.060577741407586","500","250","eb","59","1","0","0","0","62","66"
"","psychophysics","44","309888","0.0-44.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","3652",""," ","key"," ","6.060401993355519","500","250","eb","68","1","0","0","0","65","69"
"","psychophysics","45","312068","0.0-45.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","2178",""," ","key"," ","6.060133704735345","500","250","eb","79","1","0","0","0","77","77"
"","psychophysics","46","315316","0.0-46.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","3247",""," ","key"," ","6.071763602251407","500","250","eb","77","1","0","0","0","75","76"
"","psychophysics","47","317134","0.0-47.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","1816",""," ","key"," ","6.060612040133656","500","250","eb","84","1","0","0","0","79","85"
"","psychophysics","48","320280","0.0-48.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","3144",""," ","key"," ","6.060416184971042","500","250","eb","76","1","0","0","0","74","79"
"","psychophysics","49","326653","0.0-49.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","6372",""," ","key"," ","6.060466666666658","500","250","eb","81","1","0","0","0","64","85"
"","psychophysics","50","330069","0.0-50.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","3415",""," ","key"," ","6.060362344582588","500","250","eb","74","1","0","0","0","79","74"
"","psychophysics","51","333132","0.0-51.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","3062",""," ","key"," ","6.060501984127018","500","250","eb","70","1","0","0","0","88","69"
"","psychophysics","52","336000","0.0-52.0","60628138bcaf1a1ee218738e","64dd6aa96285d568ffcde3d1","","","","","2866",""," ","key"," ","6.060552966101707","500","250","eb","82","1","0","0","0","69","87"
