"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","block","start","jitterX","jitterY","parA"
"true","fullscreen","0","9464","0.0-0.0","60fcd5602ff7c8f0866ecd0c","64e509e5c98a57cb2900cf53","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","9740","0.0-1.0","60fcd5602ff7c8f0866ecd0c","64e509e5c98a57cb2900cf53","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","12751","0.0-2.0","60fcd5602ff7c8f0866ecd0c","64e509e5c98a57cb2900cf53","","","","","3010","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","16035","0.0-3.0","60fcd5602ff7c8f0866ecd0c","64e509e5c98a57cb2900cf53","","","","","3281",""," ","key"," ","4.258332036316471","853.3333333333334","250","","","","","","","",""
"","psychophysics","4","18555","0.0-4.0","60fcd5602ff7c8f0866ecd0c","64e509e5c98a57cb2900cf53","","","","","2519",""," ","key"," ","4.669168831168832","500","250","inst","","","","","","",""
"","psychophysics","5","22392","0.0-5.0","60fcd5602ff7c8f0866ecd0c","64e509e5c98a57cb2900cf53","","","","","3835",""," ","key"," ","4.792704630788484","500","250","sample0","","","","","","",""
"","psychophysics","6","24507","0.0-6.0","60fcd5602ff7c8f0866ecd0c","64e509e5c98a57cb2900cf53","","","","","2114",""," ","key"," ","4.652825991189423","500","250","sample1","","","","","","",""
"","psychophysics","7","36075","0.0-7.0","60fcd5602ff7c8f0866ecd0c","64e509e5c98a57cb2900cf53","","","","","11567",""," ","key"," ","4.724000817995912","500","250","sample2","100","","","","","",""
"","psychophysics","8","42050","0.0-8.0","60fcd5602ff7c8f0866ecd0c","64e509e5c98a57cb2900cf53","","","","","5974",""," ","key"," ","4.548035795887284","500","250","sample3","98","","","","","",""
"","psychophysics","9","48402","0.0-9.0","60fcd5602ff7c8f0866ecd0c","64e509e5c98a57cb2900cf53","","","","","6351",""," ","key"," ","4.735944734876774","500","250","sample4","100","","","","","",""
"","psychophysics","10","57514","0.0-10.0","60fcd5602ff7c8f0866ecd0c","64e509e5c98a57cb2900cf53","","","","","9111",""," ","key"," ","4.661647209421403","500","250","sample5","","","","","","",""
"","psychophysics","11","64929","0.0-11.0","60fcd5602ff7c8f0866ecd0c","64e509e5c98a57cb2900cf53","","","","","7414",""," ","key"," ","4.7765248226950305","500","250","sample6","502","","","","","",""
"","psychophysics","12","69787","0.0-12.0","60fcd5602ff7c8f0866ecd0c","64e509e5c98a57cb2900cf53","","","","","4856",""," ","key"," ","4.722128404669259","500","250","inst","","","","","","",""
"","psychophysics","13","73923","0.0-13.0","60fcd5602ff7c8f0866ecd0c","64e509e5c98a57cb2900cf53","","","","","4134",""," ","key"," ","4.756655926352129","500","250","inst","","","","","","",""
"","psychophysics","14","76447","0.0-14.0","60fcd5602ff7c8f0866ecd0c","64e509e5c98a57cb2900cf53","","","","","2524",""," ","key"," ","4.756183018867928","500","250","inst","","","","","","",""
"","psychophysics","15","78280","0.0-15.0","60fcd5602ff7c8f0866ecd0c","64e509e5c98a57cb2900cf53","","","","","1832",""," ","key"," ","4.689938303341899","500","250","inst","","","","","","",""
"","psychophysics","16","79428","0.0-16.0","60fcd5602ff7c8f0866ecd0c","64e509e5c98a57cb2900cf53","","","","","1147",""," ","key"," ","4.6405243902439155","500","250","inst","","","","","","",""
"","psychophysics","17","86210","0.0-17.0","60fcd5602ff7c8f0866ecd0c","64e509e5c98a57cb2900cf53","","","","","6781",""," ","key"," ","4.621266530334016","500","250","instPog0","340","2","","370","0","0","340"
