"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","block","jitterX","jitterY","start","parA"
"true","fullscreen","0","5912","0.0-0.0","60fe06feb5a616377ef806da","64e506be92ac81e31c1b4742","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","6010","0.0-1.0","60fe06feb5a616377ef806da","64e506be92ac81e31c1b4742","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","8899","0.0-2.0","60fe06feb5a616377ef806da","64e506be92ac81e31c1b4742","","","","","2888","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","16983","0.0-3.0","60fe06feb5a616377ef806da","64e506be92ac81e31c1b4742","","","","","8078",""," ","key"," ","16.675433884297515","683","250","","","","","","","",""
"","psychophysics","4","20093","0.0-4.0","60fe06feb5a616377ef806da","64e506be92ac81e31c1b4742","","","","","3105",""," ","key"," ","16.641295698924726","500","250","inst","","","","","","",""
"","psychophysics","5","42458","0.0-5.0","60fe06feb5a616377ef806da","64e506be92ac81e31c1b4742","","","","","22360",""," ","key"," ","16.64095606850335","500","250","sample0","","","","","","",""
"","psychophysics","6","44165","0.0-6.0","60fe06feb5a616377ef806da","64e506be92ac81e31c1b4742","","","","","1703",""," ","key"," ","16.64077227722773","500","250","sample1","","","","","","",""
"","psychophysics","7","64296","0.0-7.0","60fe06feb5a616377ef806da","64e506be92ac81e31c1b4742","","","","","20116",""," ","key"," ","16.64108933002482","500","250","sample2","100","","","","","",""
"","psychophysics","8","79719","0.0-8.0","60fe06feb5a616377ef806da","64e506be92ac81e31c1b4742","","","","","15419",""," ","key"," ","16.640817494600437","500","250","sample3","100","","","","","",""
"","psychophysics","9","93967","0.0-9.0","60fe06feb5a616377ef806da","64e506be92ac81e31c1b4742","","","","","14243",""," ","key"," ","16.641098245614028","500","250","sample4","100","","","","","",""
"","psychophysics","10","97759","0.0-10.0","60fe06feb5a616377ef806da","64e506be92ac81e31c1b4742","","","","","3788",""," ","key"," ","16.640806167400896","500","250","sample5","","","","","","",""
"","psychophysics","11","105875","0.0-11.0","60fe06feb5a616377ef806da","64e506be92ac81e31c1b4742","","","","","8115",""," ","key"," ","16.641197125256685","500","250","sample6","502","","","","","",""
"","psychophysics","12","110923","0.0-12.0","60fe06feb5a616377ef806da","64e506be92ac81e31c1b4742","","","","","5046",""," ","key"," ","16.64220529801328","500","250","inst","","","","","","",""
"","psychophysics","13","115423","0.0-13.0","60fe06feb5a616377ef806da","64e506be92ac81e31c1b4742","","","","","4495",""," ","key"," ","16.641843866171012","500","250","inst","","","","","","",""
"","psychophysics","14","119966","0.0-14.0","60fe06feb5a616377ef806da","64e506be92ac81e31c1b4742","","","","","4532",""," ","key"," ","16.64154044117651","500","250","inst","","","","","","",""
"","psychophysics","15","121958","0.0-15.0","60fe06feb5a616377ef806da","64e506be92ac81e31c1b4742","","","","","1982",""," ","key"," ","16.64059663865546","500","250","inst","","","","","","",""
