"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","block","jitterX","jitterY","start","parA"
"true","fullscreen","0","3022","0.0-0.0","60fe11983fc341ca024436ac","64e50ee2a93acd66a4507664","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3174","0.0-1.0","60fe11983fc341ca024436ac","64e50ee2a93acd66a4507664","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","5812","0.0-2.0","60fe11983fc341ca024436ac","64e50ee2a93acd66a4507664","","","","","2635","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","9424","0.0-3.0","60fe11983fc341ca024436ac","64e50ee2a93acd66a4507664","","","","","3597",""," ","key"," ","16.74358333333333","768","250","","","","","","","",""
"","psychophysics","4","11752","0.0-4.0","60fe11983fc341ca024436ac","64e50ee2a93acd66a4507664","","","","","2312",""," ","key"," ","16.667863309352523","500","250","inst","","","","","","",""
"","psychophysics","5","13890","0.0-5.0","60fe11983fc341ca024436ac","64e50ee2a93acd66a4507664","","","","","2135",""," ","key"," ","16.66580314960629","500","250","sample0","","","","","","",""
"","psychophysics","6","15966","0.0-6.0","60fe11983fc341ca024436ac","64e50ee2a93acd66a4507664","","","","","2067",""," ","key"," ","16.671096774193536","500","250","sample1","","","","","","",""
"","psychophysics","7","28533","0.0-7.0","60fe11983fc341ca024436ac","64e50ee2a93acd66a4507664","","","","","12561",""," ","key"," ","16.667344414893616","500","250","sample2","104","","","","","",""
"","psychophysics","8","36372","0.0-8.0","60fe11983fc341ca024436ac","64e50ee2a93acd66a4507664","","","","","7831",""," ","key"," ","16.664991489361707","500","250","sample3","98","","","","","",""
"","psychophysics","9","45468","0.0-9.0","60fe11983fc341ca024436ac","64e50ee2a93acd66a4507664","","","","","9092",""," ","key"," ","16.666908256880742","500","250","sample4","102","","","","","",""
"","psychophysics","10","48984","0.0-10.0","60fe11983fc341ca024436ac","64e50ee2a93acd66a4507664","","","","","3513",""," ","key"," ","16.66999523809524","500","250","sample5","","","","","","",""
"","psychophysics","11","55389","0.0-11.0","60fe11983fc341ca024436ac","64e50ee2a93acd66a4507664","","","","","6403",""," ","key"," ","16.66677284595299","500","250","sample6","496","","","","","",""
"","psychophysics","12","58642","0.0-12.0","60fe11983fc341ca024436ac","64e50ee2a93acd66a4507664","","","","","3250",""," ","key"," ","16.667118556701006","500","250","inst","","","","","","",""
"","psychophysics","13","62581","0.0-13.0","60fe11983fc341ca024436ac","64e50ee2a93acd66a4507664","","","","","3936",""," ","key"," ","16.668510638297867","500","250","inst","","","","","","",""
"","psychophysics","14","65547","0.0-14.0","60fe11983fc341ca024436ac","64e50ee2a93acd66a4507664","","","","","2955",""," ","key"," ","16.667564971751453","500","250","inst","","","","","","",""
"","psychophysics","15","67589","0.0-15.0","60fe11983fc341ca024436ac","64e50ee2a93acd66a4507664","","","","","2036",""," ","key"," ","16.67017213114765","500","250","inst","","","","","","",""
"","psychophysics","16","69365","0.0-16.0","60fe11983fc341ca024436ac","64e50ee2a93acd66a4507664","","","","","1773",""," ","key"," ","16.670476190476272","500","250","inst","","","","","","",""
"","psychophysics","17","71261","0.0-17.0","60fe11983fc341ca024436ac","64e50ee2a93acd66a4507664","","","","","1890",""," ","key"," ","16.66305309734503","500","250","instZol0","0","","","0","0","0",""
"","psychophysics","18","77334","0.0-18.0","60fe11983fc341ca024436ac","64e50ee2a93acd66a4507664","","","","","6069",""," ","key"," ","16.668491758241775","500","250","instZol1","0.4","","","0","0","-1.3",""
"","psychophysics","19","90652","0.0-19.0","60fe11983fc341ca024436ac","64e50ee2a93acd66a4507664","","","","","13312",""," ","key"," ","16.667837092731823","500","250","instZol2","2.0000000000000013","1","","0","0","2",""
"","psychophysics","20","92609","0.0-20.0","60fe11983fc341ca024436ac","64e50ee2a93acd66a4507664","","","","","1955",""," ","key"," ","16.664767241379288","500","250","inst","","","","","","",""
"","psychophysics","21","97094","0.0-21.0","60fe11983fc341ca024436ac","64e50ee2a93acd66a4507664","","","","","4467",""," ","key"," ","16.668753731343266","500","250","zol","1.24","1","0","-8","28","0.66",""
"","psychophysics","22","104652","0.0-22.0","60fe11983fc341ca024436ac","64e50ee2a93acd66a4507664","","","","","7548",""," ","key"," ","16.66746357615895","500","250","zol","0.86","1","0","-10","11","0.44",""
"","psychophysics","23","112658","0.0-23.0","60fe11983fc341ca024436ac","64e50ee2a93acd66a4507664","","","","","null","","null","key","null","16.667645093945712","500","250","zol","1.7300000000000006","1","0","-29","5","-0.13",""
"","psychophysics","24","117545","0.0-24.0","60fe11983fc341ca024436ac","64e50ee2a93acd66a4507664","","","","","4882",""," ","key"," ","16.667856164383547","500","250","zol","2.230000000000001","1","0","-25","29","-0.53",""
