"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","block","start","jitterX","jitterY","parA"
"true","fullscreen","0","2881","0.0-0.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3427","0.0-1.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","4842","0.0-2.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","1414","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","12174","0.0-3.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","7317",""," ","key"," ","6.064968569065343","960","250","","","","","","","",""
"","psychophysics","4","35446","0.0-4.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","23269",""," ","key"," ","8.569255248618784","500","250","inst","","","","","","",""
"","psychophysics","5","41105","0.0-5.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","5658",""," ","key"," ","6.060346195069668","500","250","sample0","","","","","","",""
"","psychophysics","6","43102","0.0-6.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","1996",""," ","key"," ","6.060289634146346","500","250","sample1","","","","","","",""
"","psychophysics","7","59676","0.0-7.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","16570",""," ","key"," ","6.0625250640322","500","250","sample2","100","","","","","",""
"","psychophysics","8","69100","0.0-8.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","9420",""," ","key"," ","6.060314671814671","500","250","sample3","100","","","","","",""
"","psychophysics","9","77836","0.0-9.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","8733",""," ","key"," ","6.060306037473975","500","250","sample4","100","","","","","",""
"","psychophysics","10","84743","0.0-10.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","6904",""," ","key"," ","6.060308435852368","500","250","sample5","","","","","","",""
"","psychophysics","11","95327","0.0-11.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","10581",""," ","key"," ","6.06030813287514","500","250","sample6","498","","","","","",""
"","psychophysics","12","99874","0.0-12.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","4545",""," ","key"," ","6.060309746328445","500","250","inst","","","","","","",""
"","psychophysics","13","107228","0.0-13.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","7353",""," ","key"," ","6.060310799670244","500","250","inst","","","","","","",""
"","psychophysics","14","112284","0.0-14.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","5054",""," ","key"," ","6.060272509003613","500","250","inst","","","","","","",""
"","psychophysics","15","115296","0.0-15.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","3010",""," ","key"," ","6.060310483870947","500","250","inst","","","","","","",""
"","psychophysics","16","117496","0.0-16.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","2199",""," ","key"," ","6.060331491712698","500","250","inst","","","","","","",""
"","psychophysics","17","138992","0.0-17.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","21493",""," ","key"," ","6.060305696559507","500","250","instPog0","160","1","","190","0","0","160"
"","psychophysics","18","147653","0.0-18.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","8659",""," ","key"," ","6.060318627450966","500","250","instPog1","164","1","","190","0","0","160"
"","psychophysics","19","158031","0.0-19.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","10376",""," ","key"," ","6.0638555555555556","500","250","instPog2","180","1","","160","0","0","160"
"","psychophysics","20","160426","0.0-20.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","2393",""," ","key"," ","6.060298734177214","500","250","inst","","","","","","",""
"","psychophysics","21","168211","0.0-21.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","7782",""," ","key"," ","6.074528951486692","500","250","pog","166","1","0","206","0","0","160"
"","psychophysics","22","174095","0.0-22.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","5879",""," ","key"," ","6.079083591331252","500","250","pog","161","1","0","145","0","0","144"
"","psychophysics","23","181801","0.0-23.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","7703",""," ","key"," ","6.060309992132187","500","250","pog","212","1","0","130","0","0","199"
"","psychophysics","24","188080","0.0-24.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","6276",""," ","key"," ","6.060307246376817","500","250","pog","130","1","0","178","0","0","121"
"","psychophysics","25","191858","0.0-25.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","3776",""," ","key"," ","6.060295819935716","500","250","pog","201","1","0","147","0","0","196"
"","psychophysics","26","194625","0.0-26.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","2763",""," ","key"," ","6.060331140350874","500","250","pog","199","1","0","199","0","0","194"
"","psychophysics","27","198038","0.0-27.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","3410",""," ","key"," ","6.060293594306066","500","250","pog","135","1","0","159","0","0","133"
"","psychophysics","28","202425","0.0-28.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","4385",""," ","key"," ","6.060312586445367","500","250","pog","130","1","0","188","0","0","127"
"","psychophysics","29","205756","0.0-29.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","3330",""," ","key"," ","6.060240437158496","500","250","pog","171","1","0","121","0","0","157"
"","psychophysics","30","209007","0.0-30.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","3249",""," ","key"," ","6.060317757009381","500","250","pog","202","1","0","176","0","0","188"
"","psychophysics","31","211877","0.0-31.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","2868",""," ","key"," ","6.060310782240958","500","250","pog","212","1","0","212","0","0","196"
"","psychophysics","32","219882","0.0-32.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","null","","null","key","null","6.155314857582745","500","250","pog","143","1","0","129","0","0","140"
"","psychophysics","33","221976","0.0-33.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","2093",""," ","key"," ","7.199793103448284","500","250","pog","148","1","0","146","0","0","145"
"","psychophysics","34","224594","0.0-34.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","2615",""," ","key"," ","7.362580281690183","500","250","pog","202","1","0","200","0","0","188"
"","psychophysics","35","227981","0.0-35.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","3385",""," ","key"," ","6.406520833333354","500","250","pog","165","1","0","143","0","0","157"
"","psychophysics","36","230025","0.0-36.0","61140514150f4cdab3ba1f21","64dd6cd407b6d08f4c6f7395","","","","","2042",""," ","key"," ","6.0594404761904155","500","250","inst","","","","","","",""
