"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","block","jitterX","jitterY","start","parA"
"true","fullscreen","0","3428","0.0-0.0","615d051e2366aeb051acb734","64de7e866562d2aaefd4167f","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3526","0.0-1.0","615d051e2366aeb051acb734","64de7e866562d2aaefd4167f","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","5269","0.0-2.0","615d051e2366aeb051acb734","64de7e866562d2aaefd4167f","","","","","1740","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","9646","0.0-3.0","615d051e2366aeb051acb734","64de7e866562d2aaefd4167f","","","","","4370",""," ","key"," ","8.333000000000002","864","250","","","","","","","",""
"","psychophysics","4","12684","0.0-4.0","615d051e2366aeb051acb734","64de7e866562d2aaefd4167f","","","","","3033",""," ","key"," ","8.333000000000004","500","250","inst","","","","","","",""
"","psychophysics","5","16195","0.0-5.0","615d051e2366aeb051acb734","64de7e866562d2aaefd4167f","","","","","3509",""," ","key"," ","8.333952380952386","500","250","sample0","","","","","","",""
"","psychophysics","6","17953","0.0-6.0","615d051e2366aeb051acb734","64de7e866562d2aaefd4167f","","","","","1755",""," ","key"," ","8.333000000000002","500","250","sample1","","","","","","",""
"","psychophysics","7","28670","0.0-7.0","615d051e2366aeb051acb734","64de7e866562d2aaefd4167f","","","","","10715",""," ","key"," ","8.333312062256809","500","250","sample2","128","","","","","",""
"","psychophysics","8","30088","0.0-8.0","615d051e2366aeb051acb734","64de7e866562d2aaefd4167f","","","","","1414",""," ","key"," ","8.33300000000001","500","250","sample3","70","","","","","",""
"","psychophysics","9","32871","0.0-9.0","615d051e2366aeb051acb734","64de7e866562d2aaefd4167f","","","","","2778",""," ","key"," ","8.333000000000006","500","250","sample4","130","","","","","",""
"","psychophysics","10","80233","0.0-10.0","615d051e2366aeb051acb734","64de7e866562d2aaefd4167f","","","","","47359",""," ","key"," ","8.333364308342134","500","250","sample5","","","","","","",""
"","psychophysics","11","81127","0.0-11.0","615d051e2366aeb051acb734","64de7e866562d2aaefd4167f","","","","","891",""," ","key"," ","8.332999999999956","500","250","sample6","450","","","","","",""
"","psychophysics","12","88524","0.0-12.0","615d051e2366aeb051acb734","64de7e866562d2aaefd4167f","","","","","7393",""," ","key"," ","8.333492671927852","500","250","inst","","","","","","",""
"","psychophysics","13","95597","0.0-13.0","615d051e2366aeb051acb734","64de7e866562d2aaefd4167f","","","","","7071",""," ","key"," ","8.333472877358494","500","250","inst","","","","","","",""
"","psychophysics","14","820811","0.0-14.0","615d051e2366aeb051acb734","64de7e866562d2aaefd4167f","","","","","668602",""," ","key"," ","8.566653576096147","500","250","inst","","","","","","",""
"","psychophysics","15","823165","0.0-15.0","615d051e2366aeb051acb734","64de7e866562d2aaefd4167f","","","","","2353",""," ","key"," ","8.332999999999911","500","250","inst","","","","","","",""
"","psychophysics","16","827387","0.0-16.0","615d051e2366aeb051acb734","64de7e866562d2aaefd4167f","","","","","4220",""," ","key"," ","8.332999999999812","500","250","inst","","","","","","",""
"","psychophysics","17","830485","0.0-17.0","615d051e2366aeb051acb734","64de7e866562d2aaefd4167f","","","","","3095",""," ","key"," ","8.334080862533426","500","250","instBr0","0","","","0","0","0","300"
"","psychophysics","18","839666","0.0-18.0","615d051e2366aeb051acb734","64de7e866562d2aaefd4167f","","","","","9179",""," ","key"," ","8.333394187102563","500","250","instBr1","-1","","","0","0","-40","300"
"","psychophysics","19","847468","0.0-19.0","615d051e2366aeb051acb734","64de7e866562d2aaefd4167f","","","","","7799",""," ","key"," ","8.33299999999998","500","250","instBr3","-20","1","","0","0","40","300"
"","psychophysics","20","850618","0.0-20.0","615d051e2366aeb051acb734","64de7e866562d2aaefd4167f","","","","","3148",""," ","key"," ","8.334061007957537","500","250","inst","","","","","","",""
"","psychophysics","21","853435","0.0-21.0","615d051e2366aeb051acb734","64de7e866562d2aaefd4167f","","","","","2814",""," ","key"," ","8.333000000000059","500","250","br","-24","1","0","-15","12","-28","252"
"","psychophysics","22","855217","0.0-22.0","615d051e2366aeb051acb734","64de7e866562d2aaefd4167f","","","","","1779",""," ","key"," ","8.333000000000018","500","250","br","-19","1","0","-20","-23","-17","214"
