"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","block","jitterX","jitterY","start","parA"
"true","fullscreen","0","3440","0.0-0.0","62d4abc05c64e581f78b1ade","64de83a5bb4c26154eb83b5d","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3517","0.0-1.0","62d4abc05c64e581f78b1ade","64de83a5bb4c26154eb83b5d","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","5212","0.0-2.0","62d4abc05c64e581f78b1ade","64de83a5bb4c26154eb83b5d","","","","","1693","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","9993","0.0-3.0","62d4abc05c64e581f78b1ade","64de83a5bb4c26154eb83b5d","","","","","4763",""," ","key"," ","16.66763763066202","683","250","","","","","","","",""
"","psychophysics","4","12892","0.0-4.0","62d4abc05c64e581f78b1ade","64de83a5bb4c26154eb83b5d","","","","","2897",""," ","key"," ","16.666000000000004","500","250","inst","","","","","","",""
"","psychophysics","5","17364","0.0-5.0","62d4abc05c64e581f78b1ade","64de83a5bb4c26154eb83b5d","","","","","4469",""," ","key"," ","16.667501872659177","500","250","sample0","","","","","","",""
"","psychophysics","6","23953","0.0-6.0","62d4abc05c64e581f78b1ade","64de83a5bb4c26154eb83b5d","","","","","6586",""," ","key"," ","16.665999999999997","500","250","sample1","","","","","","",""
"","psychophysics","7","29275","0.0-7.0","62d4abc05c64e581f78b1ade","64de83a5bb4c26154eb83b5d","","","","","5316",""," ","key"," ","16.667125391849524","500","250","sample2","130","","","","","",""
"","psychophysics","8","43557","0.0-8.0","62d4abc05c64e581f78b1ade","64de83a5bb4c26154eb83b5d","","","","","14280",""," ","key"," ","16.666550233644863","500","250","sample3","100","","","","","",""
"","psychophysics","9","53829","0.0-9.0","62d4abc05c64e581f78b1ade","64de83a5bb4c26154eb83b5d","","","","","10269",""," ","key"," ","16.66665528455285","500","250","sample4","100","","","","","",""
"","psychophysics","10","61969","0.0-10.0","62d4abc05c64e581f78b1ade","64de83a5bb4c26154eb83b5d","","","","","8137",""," ","key"," ","16.6667864476386","500","250","sample5","","","","","","",""
