"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","block","jitterX","jitterY","start","parA"
"true","fullscreen","0","187982","0.0-0.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","188471","0.0-1.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","190477","0.0-2.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","2005","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","194122","0.0-3.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","3590",""," ","key"," ","16.819907407407435","840","250","","","","","","","",""
"","psychophysics","4","198946","0.0-4.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","4821",""," ","key"," ","16.667404844290672","500","250","inst","","","","","","",""
"","psychophysics","5","201546","0.0-5.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","2597",""," ","key"," ","16.670967741935485","500","250","sample0","","","","","","",""
"","psychophysics","6","203654","0.0-6.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","2107",""," ","key"," ","16.665439999999943","500","250","sample1","","","","","","",""
"","psychophysics","7","216742","0.0-7.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","13086",""," ","key"," ","16.66737244897959","500","250","sample2","104","","","","","",""
"","psychophysics","8","220313","0.0-8.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","3565",""," ","key"," ","16.667850467289778","500","250","sample3","94","","","","","",""
"","psychophysics","9","230671","0.0-9.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","10355",""," ","key"," ","16.665709677419386","500","250","sample4","100","","","","","",""
"","psychophysics","10","233301","0.0-10.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","2628",""," ","key"," ","16.671464968152947","500","250","sample5","","","","","","",""
"","psychophysics","11","240309","0.0-11.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","7006",""," ","key"," ","16.66595238095234","500","250","sample6","500","","","","","",""
"","psychophysics","12","243651","0.0-12.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","3340",""," ","key"," ","16.671256281407118","500","250","inst","","","","","","",""
"","psychophysics","13","246765","0.0-13.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","3111",""," ","key"," ","16.671935483870868","500","250","inst","","","","","","",""
"","psychophysics","14","250141","0.0-14.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","3375",""," ","key"," ","16.666268656716337","500","250","inst","","","","","","",""
"","psychophysics","15","252481","0.0-15.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","2335",""," ","key"," ","16.66571428571416","500","250","inst","","","","","","",""
"","psychophysics","16","253379","0.0-16.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","897",""," ","key"," ","16.664150943396447","500","250","inst","","","","","","",""
"","psychophysics","17","255378","0.0-17.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","1998",""," ","key"," ","16.661344537815225","500","250","instBr0","0","","","0","0","0","300"
"","psychophysics","18","263585","0.0-18.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","8204",""," ","key"," ","16.665254582484753","500","250","instBr1","-3","","","0","0","-40","300"
"","psychophysics","19","275569","0.0-19.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","11982",""," ","key"," ","16.666100278551465","500","250","instBr3","26","2","","0","0","40","300"
"","psychophysics","20","278083","0.0-20.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","2512",""," ","key"," ","16.887702702702732","500","250","inst","","","","","","",""
"","psychophysics","21","285975","0.0-21.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","7887",""," ","key"," ","16.66754237288139","500","250","br","20","2","0","-19","-28","21","204"
"","psychophysics","22","290645","0.0-22.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","4662",""," ","key"," ","16.666071428571428","500","250","br","22","2","0","6","-8","20","260"
"","psychophysics","23","297015","0.0-23.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","6367",""," ","key"," ","16.668608923884644","500","250","br","19","2","0","-30","-7","9","223"
"","psychophysics","24","305017","0.0-24.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","null","","null","key","null","16.664676409185812","500","250","br","17","2","0","-18","28","-21","206"
"","psychophysics","25","310794","0.0-25.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","5775",""," ","key"," ","16.66554913294806","500","250","br","16","2","0","-12","-30","-19","265"
"","psychophysics","26","316353","0.0-26.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","5556",""," ","key"," ","16.66783132530112","500","250","br","17","2","0","-17","-29","-22","277"
"","psychophysics","27","322317","0.0-27.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","5961",""," ","key"," ","16.66845938375354","500","250","br","13","2","0","7","2","-28","228"
"","psychophysics","28","326513","0.0-28.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","4194",""," ","key"," ","16.665498007968043","500","250","br","16","2","0","9","4","-4","255"
"","psychophysics","29","334520","0.0-29.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","null","","null","key","null","16.66747390396666","500","250","br","19","2","0","16","-10","-25","282"
"","psychophysics","30","342523","0.0-30.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","null","","null","key","null","16.667139874739036","500","250","br","19","2","0","-5","6","-21","267"
"","psychophysics","31","350529","0.0-31.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","null","","null","key","null","16.666555323590874","500","250","br","17","2","0","-29","-18","-24","224"
"","psychophysics","32","358532","0.0-32.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","null","","null","key","null","16.658916666666723","500","250","br","21","2","0","2","8","-22","289"
"","psychophysics","33","366428","0.0-33.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","7890",""," ","key"," ","16.667991543340303","500","250","br","15","2","0","20","19","-26","253"
"","psychophysics","34","372232","0.0-34.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","5802",""," ","key"," ","16.66622478386165","500","250","br","24","2","0","15","25","-5","262"
"","psychophysics","35","377773","0.0-35.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","5539",""," ","key"," ","16.667009063444194","500","250","br","24","2","0","-16","6","-11","290"
"","psychophysics","36","380064","0.0-36.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","2286",""," ","key"," ","16.668613138686386","500","250","inst","","","","","","",""
"","psychophysics","37","383113","0.0-37.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","3046",""," ","key"," ","16.66329670329687","500","250","instZol0","0","","","0","0","0",""
"","psychophysics","38","393327","0.0-38.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","10211",""," ","key"," ","16.66526143790852","500","250","instZol1","-0.1000000000000002","","","0","0","-1.3",""
"","psychophysics","39","400733","0.0-39.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","7404",""," ","key"," ","16.70452488687775","500","250","instZol2","1.8000000000000014","1","","0","0","2",""
"","psychophysics","40","870405","0.0-40.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","469670",""," ","key"," ","16.671746831848356","500","250","inst","","","","","","",""
"","psychophysics","41","878414","0.0-41.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","null","","null","key","null","16.666471816283906","500","250","zol","1.5400000000000005","1","0","-10","-9","0.16",""
"","psychophysics","42","878492","0.0-42.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","75",""," ","key"," ","16.554999999993015","500","250","zol","0.3","1","0","17","-18","-0.3",""
"","psychophysics","43","886500","0.0-43.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","null","","null","key","null","16.73828092243169","500","250","zol","1.5800000000000003","1","0","-25","-4","-0.38",""
"","psychophysics","44","894508","0.0-44.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","null","","null","key","null","16.801764705882384","500","250","zol","1.6000000000000003","1","0","14","-24","0.5",""
"","psychophysics","45","897828","0.0-45.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","3316",""," ","key"," ","16.655757575757413","500","250","zol","1.4600000000000004","1","0","6","0","-0.66",""
"","psychophysics","46","905835","0.0-46.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","null","","null","key","null","16.667974947807856","500","250","zol","1.6800000000000004","1","0","-3","-18","-0.58",""
"","psychophysics","47","911344","0.0-47.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","5500",""," ","key"," ","16.6688484848484","500","250","zol","1.2","1","0","-18","-5","-0.2",""
"","psychophysics","48","915236","0.0-48.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","3889",""," ","key"," ","16.594615384615444","500","250","zol","0.9099999999999999","1","0","-22","-5","0.59",""
"","psychophysics","49","918161","0.0-49.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","2922",""," ","key"," ","16.671149425287517","500","250","zol","0.7699999999999999","1","0","3","24","0.53",""
"","psychophysics","50","922215","0.0-50.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","4053",""," ","key"," ","16.66892561983473","500","250","zol","1.11","1","0","19","1","0.39",""
"","psychophysics","51","927115","0.0-51.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","4898",""," ","key"," ","16.667235494880547","500","250","zol","1.29","1","0","-1","-19","-0.29",""
"","psychophysics","52","930862","0.0-52.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","3746",""," ","key"," ","16.67026785714292","500","250","zol","1.25","1","0","-28","-5","-0.25",""
"","psychophysics","53","936771","0.0-53.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","5906",""," ","key"," ","16.80854700854714","500","250","zol","1.2400000000000002","1","0","16","-13","-0.04",""
"","psychophysics","54","944130","0.0-54.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","7355",""," ","key"," ","16.66713636363645","500","250","zol","1.7000000000000004","1","0","-24","22","0.4",""
"","psychophysics","55","950828","0.0-55.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","6697",""," ","key"," ","16.66688279301756","500","250","zol","1.3900000000000003","1","0","-5","29","0.41",""
"","psychophysics","56","952103","0.0-56.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","1273",""," ","key"," ","16.662368421052204","500","250","inst","","","","","","",""
"","psychophysics","57","955052","0.0-57.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","2947",""," ","key"," ","16.660568181818235","500","250","instPzPre","50","0","","","","50","50"
"","psychophysics","58","957554","0.0-58.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","2500",""," ","key"," ","16.660134228187825","500","250","instPz0","50","1","","","","50","50"
"","psychophysics","59","966573","0.0-59.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","9018",""," ","key"," ","16.66785185185188","500","250","instPz1","47","1","","","","25","50"
"","psychophysics","60","973573","0.0-60.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","6997",""," ","key"," ","16.665775656324495","500","250","instPz2","23","1","","","","35","20"
"","psychophysics","61","988117","0.0-61.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","14540",""," ","key"," ","16.666521239953983","500","250","instPz3","42","1","","","","100","30"
"","psychophysics","62","1000544","0.0-62.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","12420",""," ","key"," ","16.667302013422837","500","250","instPz4","45","1","","","","100","30"
"","psychophysics","63","1128156","0.0-63.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","127609",""," ","key"," ","16.666491640543384","500","250","inst","","","","","","",""
"","psychophysics","64","1136189","0.0-64.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","null","","null","key","null","16.667624999999923","500","250","pz","84","1","0","","","23","55"
"","psychophysics","65","1144190","0.0-65.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","null","","null","key","null","16.658333333333335","500","250","pz","54","1","0","","","45","36"
"","psychophysics","66","1150486","0.0-66.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","6295",""," ","key"," ","16.666153846153573","500","250","pz","48","1","0","","","49","35"
"","psychophysics","67","1154838","0.0-67.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","4350",""," ","key"," ","16.66892307692279","500","250","pz","62","1","0","","","49","46"
"","psychophysics","68","1160554","0.0-68.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","5712",""," ","key"," ","16.665087719298135","500","250","pz","47","1","0","","","20","39"
"","psychophysics","69","1167039","0.0-69.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","6483",""," ","key"," ","16.665567010309253","500","250","pz","44","1","0","","","20","35"
"","psychophysics","70","1174163","0.0-70.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","7120",""," ","key"," ","16.66647887323926","500","250","pz","66","1","0","","","32","50"
"","psychophysics","71","1178436","0.0-71.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","4270",""," ","key"," ","16.668593749999673","500","250","pz","44","1","0","","","43","34"
"","psychophysics","72","1186441","0.0-72.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","null","","null","key","null","16.66747390396654","500","250","pz","57","1","0","","","32","46"
"","psychophysics","73","1191986","0.0-73.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","5543",""," ","key"," ","16.658674698795686","500","250","pz","54","1","0","","","42","44"
"","psychophysics","74","1197555","0.0-74.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","5566",""," ","key"," ","16.666666666666668","500","250","pz","57","1","0","","","33","49"
"","psychophysics","75","1205557","0.0-75.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","null","","null","key","null","16.665594989561235","500","250","pz","56","1","0","","","33","48"
"","psychophysics","76","1213562","0.0-76.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","null","","null","key","null","16.737148846959915","500","250","pz","31","1","0","","","38","21"
"","psychophysics","77","1217487","0.0-77.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","3923",""," ","key"," ","16.666553191488926","500","250","pz","44","1","0","","","35","38"
"","psychophysics","78","1222625","0.0-78.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","5133",""," ","key"," ","16.668143322475935","500","250","pz","66","1","0","","","55","60"
"","psychophysics","79","1224032","0.0-79.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","1406",""," ","key"," ","16.669156626503668","500","250","inst","","","","","","",""
"","psychophysics","80","1226060","0.0-80.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","2021",""," ","key"," ","16.6654545454547","500","250","instEB0","40","1","","0","0","40","40"
"","psychophysics","81","1237615","0.0-81.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","11554",""," ","key"," ","16.66656069364163","500","250","instEB1","30","1","","0","0","40","30"
"","psychophysics","82","1246411","0.0-82.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","8790",""," ","key"," ","16.667893738140382","500","250","instEB2","34","1","","0","0","30","40"
"","psychophysics","83","1258079","0.0-83.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","11666",""," ","key"," ","16.666552217453397","500","250","instEB3","38","1","","0","0","27","45"
"","psychophysics","84","1264627","0.0-84.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","6542",""," ","key"," ","16.669030612244327","500","250","instEB4","26","1","","0","0","40","30"
"","psychophysics","85","1303149","0.0-85.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","38519",""," ","key"," ","16.665962786672452","500","250","inst","","","","","","",""
"","psychophysics","86","1308870","0.0-86.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","5718",""," ","key"," ","16.66631578947336","500","250","eb","36","1","","0","0","51","50"
"","psychophysics","87","1313095","0.0-87.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","4221",""," ","key"," ","16.668015873016206","500","250","eb","22","1","","0","0","31","25"
"","psychophysics","88","1318887","0.0-88.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","5786",""," ","key"," ","16.66910662824256","500","250","eb","28","1","","0","0","47","36"
"","psychophysics","89","1324706","0.0-89.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","5816",""," ","key"," ","16.667873563218844","500","250","eb","39","1","","0","0","53","50"
"","psychophysics","90","1332096","0.0-90.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","7390",""," ","key"," ","16.66787330316784","500","250","eb","26","1","","0","0","45","32"
"","psychophysics","91","1340099","0.0-91.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","null","","null","key","null","16.668458333333547","500","250","eb","33","1","","0","0","41","41"
"","psychophysics","92","1347009","0.0-92.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","6907",""," ","key"," ","16.667409200968837","500","250","eb","40","1","","0","0","40","51"
"","psychophysics","93","1354175","0.0-93.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","7161",""," ","key"," ","16.669044289044333","500","250","eb","34","1","","0","0","45","41"
"","psychophysics","94","1360233","0.0-94.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","6056",""," ","key"," ","16.710331491713067","500","250","eb","39","1","","0","0","24","51"
"","psychophysics","95","1362989","0.0-95.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","2753",""," ","key"," ","16.66646341463301","500","250","eb","28","1","","0","0","28","33"
"","psychophysics","96","1370719","0.0-96.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","7728",""," ","key"," ","16.664967602592053","500","250","eb","33","1","","0","0","47","40"
"","psychophysics","97","1375563","0.0-97.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","4840",""," ","key"," ","16.66429065743938","500","250","eb","33","1","","0","0","30","43"
"","psychophysics","98","1380938","0.0-98.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","5370",""," ","key"," ","16.667763975154614","500","250","eb","24","1","","0","0","48","25"
"","psychophysics","99","1385800","0.0-99.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","4860",""," ","key"," ","16.66364261168423","500","250","eb","38","1","","0","0","30","52"
"","psychophysics","100","1392735","0.0-100.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","6930",""," ","key"," ","16.66419277108409","500","250","eb","37","1","","0","0","30","49"
"","psychophysics","101","1394914","0.0-101.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","2175",""," ","key"," ","16.66123076923048","500","250","inst","","","","","","",""
"","psychophysics","102","1401879","0.0-102.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","6966",""," ","key"," ","16.666474820144266","500","250","instPog0","340","2","","0","0","370","340"
"","psychophysics","103","1410840","0.0-103.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","8961",""," ","key"," ","16.697495327102647","500","250","instPog1","348","2","","0","0","370","340"
"","psychophysics","104","1424236","0.0-104.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","13392",""," ","key"," ","16.666127023661154","500","250","instPog2","330","2","","0","0","340","340"
"","psychophysics","105","1425112","0.0-105.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","872",""," ","key"," ","16.66346153846154","500","250","inst","","","","","","",""
"","psychophysics","106","1433112","0.0-106.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","null","","null","key","null","16.665469728601273","500","250","pog","333","2","0","0","0","327","365"
"","psychophysics","107","1441123","0.0-107.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","null","","null","key","null","16.666416666666432","500","250","pog","311","2","0","0","0","325","334"
"","psychophysics","108","1448249","0.0-108.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","7119",""," ","key"," ","16.702305882352896","500","250","pog","289","2","0","0","0","305","312"
"","psychophysics","109","1455242","0.0-109.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","6989",""," ","key"," ","16.66692124105054","500","250","pog","283","2","0","0","0","393","311"
"","psychophysics","110","1460875","0.0-110.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","5631",""," ","key"," ","16.664094955489062","500","250","pog","296","2","0","0","0","384","322"
"","psychophysics","111","1464879","0.0-111.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","4002",""," ","key"," ","16.662092050209164","500","250","pog","284","2","0","0","0","310","308"
"","psychophysics","112","1470091","0.0-112.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","5212",""," ","key"," ","16.663846153846514","500","250","pog","349","2","0","0","0","355","369"
"","psychophysics","113","1478097","0.0-113.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","null","","null","key","null","16.665260960333853","500","250","pog","307","2","0","0","0","283","339"
"","psychophysics","114","1478098","0.0-114.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","0",""," ","key"," ","NaN","500","250","pog","294","2","0","0","0","294","357"
"","psychophysics","115","1483440","0.0-115.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","5340",""," ","key"," ","16.66443749999962","500","250","pog","269","2","0","0","0","323","301"
"","psychophysics","116","1486860","0.0-116.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","3419",""," ","key"," ","16.667450980391745","500","250","pog","319","2","0","0","0","333","352"
"","psychophysics","117","1493930","0.0-117.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","7069",""," ","key"," ","16.66505910165445","500","250","pog","312","2","0","0","0","388","340"
"","psychophysics","118","1499409","0.0-118.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","5476",""," ","key"," ","16.66396341463423","500","250","pog","272","2","0","0","0","286","301"
"","psychophysics","119","1503651","0.0-119.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","4241",""," ","key"," ","16.72904761904751","500","250","pog","300","2","0","0","0","304","328"
"","psychophysics","120","1509523","0.0-120.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","5866",""," ","key"," ","16.664602272727777","500","250","pog","321","2","0","0","0","301","358"
"","psychophysics","121","1511574","0.0-121.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","2048",""," ","key"," ","16.66770491803248","500","250","inst","","","","","","",""
"","psychophysics","122","1517638","0.0-122.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","6064",""," ","key"," ","16.66589531680433","500","250","instZol1","-0.1000000000000002","","","0","0","-1.3",""
"","psychophysics","123","1531660","0.0-123.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","14019",""," ","key"," ","16.78731414868119","500","250","instZol2","-2.900000000000001","2","","0","0","2",""
"","psychophysics","124","1597033","0.0-124.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","65371",""," ","key"," ","16.674804797142084","500","250","inst","","","","","","",""
"","psychophysics","125","1605039","0.0-125.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","null","","null","key","null","16.665416666666957","500","250","zol","-1.0599999999999998","2","1","2","13","-0.74",""
"","psychophysics","126","1613043","0.0-126.0","6310ceffa120ca2c1fbe1d92","64de83bce5a062c7e55c7140","","","","","null","","null","key","null","16.665177453027372","500","250","zol","-1.9600000000000006","2","1","-2","0","0.36",""
