"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","block","jitterX","jitterY","start","parA"
"true","fullscreen","0","3741","0.0-0.0","631c07ce7e0c76f62a1bd822","64de660e700513704b84dde9","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3776","0.0-1.0","631c07ce7e0c76f62a1bd822","64de660e700513704b84dde9","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","5052","0.0-2.0","631c07ce7e0c76f62a1bd822","64de660e700513704b84dde9","","","","","1275","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","9584","0.0-3.0","631c07ce7e0c76f62a1bd822","64de660e700513704b84dde9","","","","","4528",""," ","key"," ","6.945007656967841","960","250","","","","","","","",""
"","psychophysics","4","15331","0.0-4.0","631c07ce7e0c76f62a1bd822","64de660e700513704b84dde9","","","","","5746",""," ","key"," ","6.945466101694917","500","250","inst","","","","","","",""
"","psychophysics","5","18677","0.0-5.0","631c07ce7e0c76f62a1bd822","64de660e700513704b84dde9","","","","","3345",""," ","key"," ","6.945588357588361","500","250","sample0","","","","","","",""
"","psychophysics","6","20945","0.0-6.0","631c07ce7e0c76f62a1bd822","64de660e700513704b84dde9","","","","","2267",""," ","key"," ","6.9456399999999965","500","250","sample1","","","","","","",""
"","psychophysics","7","36447","0.0-7.0","631c07ce7e0c76f62a1bd822","64de660e700513704b84dde9","","","","","15500",""," ","key"," ","6.951570403587443","500","250","sample2","100","","","","","",""
"","psychophysics","8","43251","0.0-8.0","631c07ce7e0c76f62a1bd822","64de660e700513704b84dde9","","","","","6804",""," ","key"," ","6.945333333333333","500","250","sample3","100","","","","","",""
"","psychophysics","9","66883","0.0-9.0","631c07ce7e0c76f62a1bd822","64de660e700513704b84dde9","","","","","23629",""," ","key"," ","6.9453212815990595","500","250","sample4","102","","","","","",""
"","psychophysics","10","70784","0.0-10.0","631c07ce7e0c76f62a1bd822","64de660e700513704b84dde9","","","","","3899",""," ","key"," ","6.9451265597147955","500","250","sample5","","","","","","",""
"","psychophysics","11","81050","0.0-11.0","631c07ce7e0c76f62a1bd822","64de660e700513704b84dde9","","","","","10265",""," ","key"," ","6.9452951929587","500","250","sample6","498","","","","","",""
"","psychophysics","12","91291","0.0-12.0","631c07ce7e0c76f62a1bd822","64de660e700513704b84dde9","","","","","10240",""," ","key"," ","6.945266123557371","500","250","inst","","","","","","",""
"","psychophysics","13","94801","0.0-13.0","631c07ce7e0c76f62a1bd822","64de660e700513704b84dde9","","","","","3509",""," ","key"," ","6.945279207920781","500","250","inst","","","","","","",""
"","psychophysics","14","99702","0.0-14.0","631c07ce7e0c76f62a1bd822","64de660e700513704b84dde9","","","","","4901",""," ","key"," ","6.945318181818183","500","250","inst","","","","","","",""
"","psychophysics","15","101019","0.0-15.0","631c07ce7e0c76f62a1bd822","64de660e700513704b84dde9","","","","","1316",""," ","key"," ","6.9459947089947365","500","250","inst","","","","","","",""
