"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","block","start","jitterX","jitterY","parA"
"true","fullscreen","0","3057","0.0-0.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3212","0.0-1.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","5813","0.0-2.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","2599","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","26686","0.0-3.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","20852",""," ","key"," ","18.765089028776977","687.7611744507412","249.67163468342014","","","","","","","",""
"","psychophysics","4","29780","0.0-4.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","3069",""," ","key"," ","17.42442613636364","499.7014783118667","249.67163468342014","inst","","","","","","",""
"","psychophysics","5","32991","0.0-5.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","3184",""," ","key"," ","17.679629834254158","499.7014783118667","249.67163468342014","sample0","","","","","","",""
"","psychophysics","6","34536","0.0-6.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","1531",""," ","key"," ","16.849901098901103","499.7014783118667","249.67163468342014","sample1","","","","","","",""
"","psychophysics","7","49117","0.0-7.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","14565",""," ","key"," ","16.82075057736721","499.7014783118667","249.67163468342014","sample2","100","","","","","",""
"","psychophysics","8","52197","0.0-8.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","3056",""," ","key"," ","17.132256983240218","499.7014783118667","249.67163468342014","sample3","100","","","","","",""
"","psychophysics","9","56686","0.0-9.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","4466",""," ","key"," ","16.918916666666686","499.7014783118667","249.67163468342014","sample4","100","","","","","",""
"","psychophysics","10","59331","0.0-10.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","2629",""," ","key"," ","16.667487341772173","499.7014783118667","249.67163468342014","sample5","","","","","","",""
"","psychophysics","11","62598","0.0-11.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","3253",""," ","key"," ","16.92709375","499.7014783118667","249.67163468342014","sample6","450","","","","","",""
"","psychophysics","12","67044","0.0-12.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","4425",""," ","key"," ","16.793000000000024","499.7014783118667","249.67163468342014","inst","","","","","","",""
"","psychophysics","13","70666","0.0-13.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","3609",""," ","key"," ","16.666745370370336","499.7014783118667","249.67163468342014","inst","","","","","","",""
"","psychophysics","14","74192","0.0-14.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","3512",""," ","key"," ","16.825622009569415","499.7014783118667","249.67163468342014","inst","","","","","","",""
"","psychophysics","15","75643","0.0-15.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","1436",""," ","key"," ","16.667534883720883","499.7014783118667","249.67163468342014","inst","","","","","","",""
"","psychophysics","16","77162","0.0-16.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","1508",""," ","key"," ","16.84806741573037","499.7014783118667","249.67163468342014","inst","","","","","","",""
"","psychophysics","17","83486","0.0-17.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","6310",""," ","key"," ","17.116413043478293","499.7014783118667","249.67163468342014","instPog0","160","1","","190","0","0","160"
"","psychophysics","18","85485","0.0-18.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","1988",""," ","key"," ","17.430307017543797","499.7014783118667","249.67163468342014","instPog1","192","1","","190","0","0","160"
"","psychophysics","19","92545","0.0-19.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","7047",""," ","key"," ","16.947278846153843","499.7014783118667","249.67163468342014","instPog2","184","1","","160","0","0","160"
"","psychophysics","20","94093","0.0-20.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","1535",""," ","key"," ","16.673195652173845","499.7014783118667","249.67163468342014","inst","","","","","","",""
"","psychophysics","21","98494","0.0-21.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","4386",""," ","key"," ","16.793195402298814","499.7014783118667","249.67163468342014","pog","171","1","0","155","0","0","145"
"","psychophysics","22","103263","0.0-22.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","4750",""," ","key"," ","17.0861438848921","499.7014783118667","249.67163468342014","pog","212","1","0","142","0","0","173"
"","psychophysics","23","106648","0.0-23.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","3372",""," ","key"," ","17.089304568527886","499.7014783118667","249.67163468342014","pog","187","1","0","219","0","0","139"
"","psychophysics","24","112870","0.0-24.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","6208",""," ","key"," ","16.802254742547404","499.7014783118667","249.67163468342014","pog","206","1","0","204","0","0","173"
"","psychophysics","25","120882","0.0-25.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","null","","null","key","null","16.985203821656025","499.7014783118667","249.67163468342014","pog","180","1","0","220","0","0","142"
"","psychophysics","26","120957","0.0-26.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","61",""," ","key"," ","16.66649999999936","499.7014783118667","249.67163468342014","pog","179","1","0","179","0","0","168"
"","psychophysics","27","127443","0.0-27.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","6473",""," ","key"," ","16.88377864583333","499.7014783118667","249.67163468342014","pog","245","1","0","113","0","0","190"
"","psychophysics","28","129360","0.0-28.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","1902",""," ","key"," ","16.666754385964865","499.7014783118667","249.67163468342014","pog","158","1","0","154","0","0","129"
"","psychophysics","29","130378","0.0-29.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","1006",""," ","key"," ","16.666800000000027","499.7014783118667","249.67163468342014","pog","194","1","0","194","0","0","161"
"","psychophysics","30","132525","0.0-30.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","2134",""," ","key"," ","16.666843749999998","499.7014783118667","249.67163468342014","pog","165","1","0","159","0","0","142"
"","psychophysics","31","140290","0.0-31.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","7753",""," ","key"," ","17.03305054945055","499.7014783118667","249.67163468342014","pog","180","1","0","100","0","0","168"
"","psychophysics","32","144836","0.0-32.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","4536",""," ","key"," ","16.980026315789495","499.7014783118667","249.67163468342014","pog","193","1","0","211","0","0","169"
"","psychophysics","33","148626","0.0-33.0","63b724532ff8f6701c3fd84c","64e50e34daa343bbddf8df9e","","","","","3779",""," ","key"," ","17.04221621621623","499.7014783118667","249.67163468342014","pog","216","1","0","136","0","0","187"
