"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","block","start","jitterX","jitterY","parA"
"true","fullscreen","0","3833","0.0-0.0","63d16430ec396edab1fe4a32","64de835b4911346a0131b292","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3940","0.0-1.0","63d16430ec396edab1fe4a32","64de835b4911346a0131b292","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","21544","0.0-2.0","63d16430ec396edab1fe4a32","64de835b4911346a0131b292","","","","","17603","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","25571","0.0-3.0","63d16430ec396edab1fe4a32","64de835b4911346a0131b292","","","","","4021",""," ","key"," ","17.914732142857133","872.2727083667255","249.99999458139604","","","","","","","",""
"","psychophysics","4","29574","0.0-4.0","63d16430ec396edab1fe4a32","64de835b4911346a0131b292","","","","","3998",""," ","key"," ","17.805665178571417","499.9999891627921","249.99999458139604","inst","","","","","","",""
"","psychophysics","5","32642","0.0-5.0","63d16430ec396edab1fe4a32","64de835b4911346a0131b292","","","","","3066",""," ","key"," ","17.758854651162796","499.9999891627921","249.99999458139604","sample0","","","","","","",""
"","psychophysics","6","34804","0.0-6.0","63d16430ec396edab1fe4a32","64de835b4911346a0131b292","","","","","2161",""," ","key"," ","17.754999999999967","499.9999891627921","249.99999458139604","sample1","","","","","","",""
"","psychophysics","7","46748","0.0-7.0","63d16430ec396edab1fe4a32","64de835b4911346a0131b292","","","","","11942",""," ","key"," ","17.726613670133727","499.9999891627921","249.99999458139604","sample2","100","","","","","",""
"","psychophysics","8","51269","0.0-8.0","63d16430ec396edab1fe4a32","64de835b4911346a0131b292","","","","","4518",""," ","key"," ","17.702700787401564","499.9999891627921","249.99999458139604","sample3","82","","","","","",""
"","psychophysics","9","62982","0.0-9.0","63d16430ec396edab1fe4a32","64de835b4911346a0131b292","","","","","11711",""," ","key"," ","17.70863636363636","499.9999891627921","249.99999458139604","sample4","100","","","","","",""
"","psychophysics","10","66302","0.0-10.0","63d16430ec396edab1fe4a32","64de835b4911346a0131b292","","","","","3316",""," ","key"," ","17.702026737967927","499.9999891627921","249.99999458139604","sample5","","","","","","",""
"","psychophysics","11","73862","0.0-11.0","63d16430ec396edab1fe4a32","64de835b4911346a0131b292","","","","","7558",""," ","key"," ","17.710208920187824","499.9999891627921","249.99999458139604","sample6","500","","","","","",""
"","psychophysics","12","80439","0.0-12.0","63d16430ec396edab1fe4a32","64de835b4911346a0131b292","","","","","6575",""," ","key"," ","17.728800000000007","499.9999891627921","249.99999458139604","inst","","","","","","",""
"","psychophysics","13","86521","0.0-13.0","63d16430ec396edab1fe4a32","64de835b4911346a0131b292","","","","","6080",""," ","key"," ","17.7186783625731","499.9999891627921","249.99999458139604","inst","","","","","","",""
"","psychophysics","14","91282","0.0-14.0","63d16430ec396edab1fe4a32","64de835b4911346a0131b292","","","","","4761",""," ","key"," ","17.717802238805966","499.9999891627921","249.99999458139604","inst","","","","","","",""
