"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","block","jitterX","jitterY","start","parA"
"true","fullscreen","0","9978","0.0-0.0","63d79f4700b0f6f94da70790","64de660df419ef0e7bbe25e8","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","10265","0.0-1.0","63d79f4700b0f6f94da70790","64de660df419ef0e7bbe25e8","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","11875","0.0-2.0","63d79f4700b0f6f94da70790","64de660df419ef0e7bbe25e8","","","","","1610","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","16176","0.0-3.0","63d79f4700b0f6f94da70790","64de660df419ef0e7bbe25e8","","","","","4296",""," ","key"," ","4.21585980392157","960","250","","","","","","","",""
"","psychophysics","4","22369","0.0-4.0","63d79f4700b0f6f94da70790","64de660df419ef0e7bbe25e8","","","","","6189",""," ","key"," ","4.204794836956523","500","250","inst","","","","","","",""
"","psychophysics","5","29846","0.0-5.0","63d79f4700b0f6f94da70790","64de660df419ef0e7bbe25e8","","","","","7474",""," ","key"," ","4.20600393922341","500","250","sample0","","","","","","",""
"","psychophysics","6","36415","0.0-6.0","63d79f4700b0f6f94da70790","64de660df419ef0e7bbe25e8","","","","","6566",""," ","key"," ","4.20286299615877","500","250","sample1","","","","","","",""
"","psychophysics","7","54667","0.0-7.0","63d79f4700b0f6f94da70790","64de660df419ef0e7bbe25e8","","","","","18251",""," ","key"," ","4.19960253164557","500","250","sample2","100","","","","","",""
"","psychophysics","8","66488","0.0-8.0","63d79f4700b0f6f94da70790","64de660df419ef0e7bbe25e8","","","","","11818",""," ","key"," ","4.188578872740163","500","250","sample3","98","","","","","",""
"","psychophysics","9","72801","0.0-9.0","63d79f4700b0f6f94da70790","64de660df419ef0e7bbe25e8","","","","","6310",""," ","key"," ","4.209807204803205","500","250","sample4","98","","","","","",""
"","psychophysics","10","81117","0.0-10.0","63d79f4700b0f6f94da70790","64de660df419ef0e7bbe25e8","","","","","8315",""," ","key"," ","4.193881937436927","500","250","sample5","","","","","","",""
"","psychophysics","11","86783","0.0-11.0","63d79f4700b0f6f94da70790","64de660df419ef0e7bbe25e8","","","","","5664",""," ","key"," ","4.223724626865681","500","250","sample6","498","","","","","",""
"","psychophysics","12","95181","0.0-12.0","63d79f4700b0f6f94da70790","64de660df419ef0e7bbe25e8","","","","","8396",""," ","key"," ","4.187454364089778","500","250","inst","","","","","","",""
"","psychophysics","13","101742","0.0-13.0","63d79f4700b0f6f94da70790","64de660df419ef0e7bbe25e8","","","","","6560",""," ","key"," ","4.1974859154929565","500","250","inst","","","","","","",""
"","psychophysics","14","107218","0.0-14.0","63d79f4700b0f6f94da70790","64de660df419ef0e7bbe25e8","","","","","5474",""," ","key"," ","4.206096079938515","500","250","inst","","","","","","",""
"","psychophysics","15","109182","0.0-15.0","63d79f4700b0f6f94da70790","64de660df419ef0e7bbe25e8","","","","","1962",""," ","key"," ","4.206570815450649","500","250","inst","","","","","","",""
"","psychophysics","16","111035","0.0-16.0","63d79f4700b0f6f94da70790","64de660df419ef0e7bbe25e8","","","","","1851",""," ","key"," ","4.208783599088811","500","250","inst","","","","","","",""
"","psychophysics","17","114555","0.0-17.0","63d79f4700b0f6f94da70790","64de660df419ef0e7bbe25e8","","","","","3518",""," ","key"," ","4.236108433734941","500","250","instBr0","0","","","0","0","0","300"
"","psychophysics","18","124166","0.0-18.0","63d79f4700b0f6f94da70790","64de660df419ef0e7bbe25e8","","","","","9609",""," ","key"," ","4.20551050788091","500","250","instBr1","8","","","0","0","-40","300"
"","psychophysics","19","130916","0.0-19.0","63d79f4700b0f6f94da70790","64de660df419ef0e7bbe25e8","","","","","6748",""," ","key"," ","4.199352209085241","500","250","instBr3","1","1","","0","0","40","300"
"","psychophysics","20","135043","0.0-20.0","63d79f4700b0f6f94da70790","64de660df419ef0e7bbe25e8","","","","","4125",""," ","key"," ","4.22646406570842","500","250","inst","","","","","","",""
"","psychophysics","21","138181","0.0-21.0","63d79f4700b0f6f94da70790","64de660df419ef0e7bbe25e8","","","","","3131",""," ","key"," ","4.182338215712366","500","250","br","-2","1","0","-30","-14","30","273"
"","psychophysics","22","140331","0.0-22.0","63d79f4700b0f6f94da70790","64de660df419ef0e7bbe25e8","","","","","2148",""," ","key"," ","4.203539215686261","500","250","br","-11","1","0","28","18","-11","209"
