"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","start","parA","version","block","jitterX","jitterY"
"true","fullscreen","0","3205","0.0-0.0","63d7e0cbacf1e02164fc2e9a","64e50e36546c0051f3d6eb01","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3305","0.0-1.0","63d7e0cbacf1e02164fc2e9a","64e50e36546c0051f3d6eb01","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","4884","0.0-2.0","63d7e0cbacf1e02164fc2e9a","64e50e36546c0051f3d6eb01","","","","","1573","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","11036","0.0-3.0","63d7e0cbacf1e02164fc2e9a","64e50e36546c0051f3d6eb01","","","","","6112",""," ","key"," ","16.73592391304348","683","250","","","","","","","",""
"","psychophysics","4","17490","0.0-4.0","63d7e0cbacf1e02164fc2e9a","64e50e36546c0051f3d6eb01","","","","","6449",""," ","key"," ","16.688450777202068","500","250","inst","","","","","","",""
"","psychophysics","5","21769","0.0-5.0","63d7e0cbacf1e02164fc2e9a","64e50e36546c0051f3d6eb01","","","","","4274",""," ","key"," ","16.645999999999987","500","250","sample0","","","","","","",""
"","psychophysics","6","25447","0.0-6.0","63d7e0cbacf1e02164fc2e9a","64e50e36546c0051f3d6eb01","","","","","3674",""," ","key"," ","16.721214611872146","500","250","sample1","","","","","","",""
"","psychophysics","7","54841","0.0-7.0","63d7e0cbacf1e02164fc2e9a","64e50e36546c0051f3d6eb01","","","","","29387",""," ","key"," ","16.645545042492916","500","250","sample2","100","","","","","",""
"","psychophysics","8","67497","0.0-8.0","63d7e0cbacf1e02164fc2e9a","64e50e36546c0051f3d6eb01","","","","","12648",""," ","key"," ","16.64532674571806","500","250","sample3","100","","","","","",""
"","psychophysics","9","81226","0.0-9.0","63d7e0cbacf1e02164fc2e9a","64e50e36546c0051f3d6eb01","","","","","13717",""," ","key"," ","16.645503640776703","500","250","sample4","102","","","","","",""
"","psychophysics","10","85552","0.0-10.0","63d7e0cbacf1e02164fc2e9a","64e50e36546c0051f3d6eb01","","","","","4318",""," ","key"," ","16.644787644787645","500","250","sample5","","","","","","",""
"","psychophysics","11","94237","0.0-11.0","63d7e0cbacf1e02164fc2e9a","64e50e36546c0051f3d6eb01","","","","","8680",""," ","key"," ","16.64571730769231","500","250","sample6","502","","","","","",""
"","psychophysics","12","99186","0.0-12.0","63d7e0cbacf1e02164fc2e9a","64e50e36546c0051f3d6eb01","","","","","4937",""," ","key"," ","16.645774410774404","500","250","inst","","","","","","",""
"","psychophysics","13","105211","0.0-13.0","63d7e0cbacf1e02164fc2e9a","64e50e36546c0051f3d6eb01","","","","","6019",""," ","key"," ","16.645282548476455","500","250","inst","","","","","","",""
"","psychophysics","14","107340","0.0-14.0","63d7e0cbacf1e02164fc2e9a","64e50e36546c0051f3d6eb01","","","","","2126",""," ","key"," ","16.646141732283446","500","250","inst","","","","","","",""
"","psychophysics","15","111302","0.0-15.0","63d7e0cbacf1e02164fc2e9a","64e50e36546c0051f3d6eb01","","","","","3956",""," ","key"," ","16.64547881355932","500","250","inst","","","","","","",""
"","psychophysics","16","112779","0.0-16.0","63d7e0cbacf1e02164fc2e9a","64e50e36546c0051f3d6eb01","","","","","1469",""," ","key"," ","16.64584090909094","500","250","inst","","","","","","",""
