"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","start","parA","version","block","jitterX","jitterY"
"true","fullscreen","0","4793","0.0-0.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","4900","0.0-1.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","12133","0.0-2.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","7232","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","22281","0.0-3.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","10144",""," ","key"," ","16.680518092105263","1280","250","","","","","","","",""
"","psychophysics","4","28437","0.0-4.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","6155",""," ","key"," ","16.680502717391303","500","250","inst","","","","","","",""
"","psychophysics","5","37860","0.0-5.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","9421",""," ","key"," ","16.68053723404256","500","250","sample0","","","","","","",""
"","psychophysics","6","46499","0.0-6.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","8639",""," ","key"," ","16.680508704061904","500","250","sample1","","","","","","",""
"","psychophysics","7","73872","0.0-7.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","27370",""," ","key"," ","16.69067846247712","500","250","sample2","100","","","","","",""
"","psychophysics","8","88886","0.0-8.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","15013",""," ","key"," ","16.68049388209121","500","250","sample3","100","","","","","",""
"","psychophysics","9","103180","0.0-9.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","14294",""," ","key"," ","16.699978947368425","500","250","sample4","100","","","","","",""
"","psychophysics","10","117187","0.0-10.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","14005",""," ","key"," ","16.70038424821003","500","250","sample5","","","","","","",""
"","psychophysics","11","142679","0.0-11.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","25492",""," ","key"," ","16.6914252948886","500","250","sample6","500","","","","","",""
"","psychophysics","12","159109","0.0-12.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","16430",""," ","key"," ","16.680508130081297","500","250","inst","","","","","","",""
"","psychophysics","13","165060","0.0-13.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","5950",""," ","key"," ","16.680547752808973","500","250","inst","","","","","","",""
"","psychophysics","14","170868","0.0-14.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","5807",""," ","key"," ","16.680628242074885","500","250","inst","","","","","","",""
"","psychophysics","15","175111","0.0-15.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","4243",""," ","key"," ","16.680531496063033","500","250","inst","","","","","","",""
"","psychophysics","16","179677","0.0-16.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","4563",""," ","key"," ","16.680397058823527","500","250","inst","","","","","","",""
"","psychophysics","17","188314","0.0-17.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","8637",""," ","key"," ","16.680471953578344","500","250","instPzPre","50","50","50","0","","",""
"","psychophysics","18","198464","0.0-18.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","10149",""," ","key"," ","16.68053618421053","500","250","instPz0","49","50","50","2","","",""
"","psychophysics","19","215041","0.0-19.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","16576",""," ","key"," ","16.6804616935484","500","250","instPz1","47","25","50","2","","",""
"","psychophysics","20","224890","0.0-20.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","9848",""," ","key"," ","16.737260204081668","500","250","instPz2","35","20","35","2","","",""
"","psychophysics","21","239699","0.0-21.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","14808",""," ","key"," ","16.68056257046225","500","250","instPz3","86","30","100","2","","",""
"","psychophysics","22","255099","0.0-22.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","15399",""," ","key"," ","16.680472885032547","500","250","instPz4","86","30","100","2","","",""
"","psychophysics","23","259029","0.0-23.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","3929",""," ","key"," ","16.68038461538458","500","250","inst","","","","","","",""
"","psychophysics","24","267031","0.0-24.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","null","","null","key","null","16.680561586638834","500","250","pz","39","20","48","2","0","",""
"","psychophysics","25","275032","0.0-25.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","null","","null","key","null","16.71541422594141","500","250","pz","18","27","24","2","0","",""
"","psychophysics","26","283033","0.0-26.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","null","","null","key","null","16.680317327766247","500","250","pz","28","50","38","2","0","",""
"","psychophysics","27","286806","0.0-27.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","3772",""," ","key"," ","16.680626666666683","500","250","pz","40","37","48","2","0","",""
"","psychophysics","28","294808","0.0-28.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","null","","null","key","null","16.680378661087907","500","250","pz","25","59","33","2","0","",""
"","psychophysics","29","299329","0.0-29.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","4520",""," ","key"," ","16.68044814814822","500","250","pz","16","52","23","2","0","",""
"","psychophysics","30","307331","0.0-30.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","null","","null","key","null","16.680450939457174","500","250","pz","41","24","57","2","0","",""
"","psychophysics","31","311772","0.0-31.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","4441",""," ","key"," ","16.680622641509398","500","250","pz","20","36","28","2","0","",""
"","psychophysics","32","319774","0.0-32.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","null","","null","key","null","16.680620041753638","500","250","pz","35","58","43","2","0","",""
"","psychophysics","33","327775","0.0-33.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","null","","null","key","null","16.715389121338923","500","250","pz","16","44","30","2","0","",""
"","psychophysics","34","335777","0.0-34.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","null","","null","key","null","16.715392033543033","500","250","pz","35","56","46","2","0","",""
"","psychophysics","35","343778","0.0-35.0","63d80a392c05f6a765d9e63a","64de7c4933b62fbd9bc01060","","","","","null","","null","key","null","16.680459290187898","500","250","pz","42","46","55","2","0","",""
