"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","block","jitterX","jitterY","start","parA"
"true","fullscreen","0","3315","0.0-0.0","63e548d24319702eba4fc949","64de814dcbcf155a79f44d20","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3488","0.0-1.0","63e548d24319702eba4fc949","64de814dcbcf155a79f44d20","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","4750","0.0-2.0","63e548d24319702eba4fc949","64de814dcbcf155a79f44d20","","","","","1262","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","8911","0.0-3.0","63e548d24319702eba4fc949","64de814dcbcf155a79f44d20","","","","","4156",""," ","key"," ","16.664815261044176","768","250","","","","","","","",""
"","psychophysics","4","12596","0.0-4.0","63e548d24319702eba4fc949","64de814dcbcf155a79f44d20","","","","","3673",""," ","key"," ","16.66482272727272","500","250","inst","","","","","","",""
"","psychophysics","5","15684","0.0-5.0","63e548d24319702eba4fc949","64de814dcbcf155a79f44d20","","","","","3080",""," ","key"," ","16.66426486486486","500","250","sample0","","","","","","",""
"","psychophysics","6","17838","0.0-6.0","63e548d24319702eba4fc949","64de814dcbcf155a79f44d20","","","","","2152",""," ","key"," ","16.664960937500013","500","250","sample1","","","","","","",""
"","psychophysics","7","31796","0.0-7.0","63e548d24319702eba4fc949","64de814dcbcf155a79f44d20","","","","","13956",""," ","key"," ","16.664244922341698","500","250","sample2","102","","","","","",""
"","psychophysics","8","36902","0.0-8.0","63e548d24319702eba4fc949","64de814dcbcf155a79f44d20","","","","","5104",""," ","key"," ","16.664957377049173","500","250","sample3","102","","","","","",""
"","psychophysics","9","45598","0.0-9.0","63e548d24319702eba4fc949","64de814dcbcf155a79f44d20","","","","","8694",""," ","key"," ","16.66411900191939","500","250","sample4","102","","","","","",""
"","psychophysics","10","53276","0.0-10.0","63e548d24319702eba4fc949","64de814dcbcf155a79f44d20","","","","","7678",""," ","key"," ","16.664606521739124","500","250","sample5","","","","","","",""
"","psychophysics","11","64629","0.0-11.0","63e548d24319702eba4fc949","64de814dcbcf155a79f44d20","","","","","11351",""," ","key"," ","16.664349999999992","500","250","sample6","500","","","","","",""
"","psychophysics","12","68714","0.0-12.0","63e548d24319702eba4fc949","64de814dcbcf155a79f44d20","","","","","4083",""," ","key"," ","16.665016393442606","500","250","inst","","","","","","",""
"","psychophysics","13","73190","0.0-13.0","63e548d24319702eba4fc949","64de814dcbcf155a79f44d20","","","","","4474",""," ","key"," ","16.664604477611945","500","250","inst","","","","","","",""
"","psychophysics","14","75078","0.0-14.0","63e548d24319702eba4fc949","64de814dcbcf155a79f44d20","","","","","1886",""," ","key"," ","16.666696428571413","500","250","inst","","","","","","",""
"","psychophysics","15","77280","0.0-15.0","63e548d24319702eba4fc949","64de814dcbcf155a79f44d20","","","","","2200",""," ","key"," ","16.666358778625995","500","250","inst","","","","","","",""
"","psychophysics","16","78582","0.0-16.0","63e548d24319702eba4fc949","64de814dcbcf155a79f44d20","","","","","1300",""," ","key"," ","16.663324675324688","500","250","inst","","","","","","",""
"","psychophysics","17","81125","0.0-17.0","63e548d24319702eba4fc949","64de814dcbcf155a79f44d20","","","","","2540",""," ","key"," ","16.665756578947413","500","250","instZol0","0","","","0","0","0",""
"","psychophysics","18","95202","0.0-18.0","63e548d24319702eba4fc949","64de814dcbcf155a79f44d20","","","","","14075",""," ","key"," ","16.664633886255924","500","250","instZol1","2.7755575615628914e-17","","","0","0","-1.3",""
"","psychophysics","19","119460","0.0-19.0","63e548d24319702eba4fc949","64de814dcbcf155a79f44d20","","","","","24258",""," ","key"," ","16.664650859106537","500","250","instZol2","-1.6999999999999997","2","","0","0","2",""
"","psychophysics","20","121130","0.0-20.0","63e548d24319702eba4fc949","64de814dcbcf155a79f44d20","","","","","1667",""," ","key"," ","16.662383838383846","500","250","inst","","","","","","",""
"","psychophysics","21","127524","0.0-21.0","63e548d24319702eba4fc949","64de814dcbcf155a79f44d20","","","","","6386",""," ","key"," ","16.6644554973822","500","250","zol","-1.03","2","0","1","29","-0.27",""
"","psychophysics","22","135532","0.0-22.0","63e548d24319702eba4fc949","64de814dcbcf155a79f44d20","","","","","null","","null","key","null","16.665170833333345","500","250","zol","-1.7100000000000006","2","0","27","7","0.71",""
"","psychophysics","23","142001","0.0-23.0","63e548d24319702eba4fc949","64de814dcbcf155a79f44d20","","","","","6465",""," ","key"," ","16.664475452196314","500","250","zol","-1.4300000000000004","2","0","0","-5","0.43",""
