"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","start","parA","version","block","jitterX","jitterY"
"true","fullscreen","0","3242","0.0-0.0","63ed1772082869f738465566","64de85663a6aef4485274acd","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3481","0.0-1.0","63ed1772082869f738465566","64de85663a6aef4485274acd","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","4797","0.0-2.0","63ed1772082869f738465566","64de85663a6aef4485274acd","","","","","1315","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","10122","0.0-3.0","63ed1772082869f738465566","64de85663a6aef4485274acd","","","","","5319",""," ","key"," ","16.650846394984328","768","250","","","","","","","",""
"","psychophysics","4","12584","0.0-4.0","63ed1772082869f738465566","64de85663a6aef4485274acd","","","","","2454",""," ","key"," ","16.665578231292518","500","250","inst","","","","","","",""
"","psychophysics","5","15798","0.0-5.0","63ed1772082869f738465566","64de85663a6aef4485274acd","","","","","3209",""," ","key"," ","16.665624999999995","500","250","sample0","","","","","","",""
"","psychophysics","6","18127","0.0-6.0","63ed1772082869f738465566","64de85663a6aef4485274acd","","","","","2325",""," ","key"," ","16.66561151079137","500","250","sample1","","","","","","",""
"","psychophysics","7","30310","0.0-7.0","63ed1772082869f738465566","64de85663a6aef4485274acd","","","","","12179",""," ","key"," ","16.66564383561644","500","250","sample2","100","","","","","",""
"","psychophysics","8","44769","0.0-8.0","63ed1772082869f738465566","64de85663a6aef4485274acd","","","","","14456",""," ","key"," ","16.66565819861432","500","250","sample3","102","","","","","",""
"","psychophysics","9","51896","0.0-9.0","63ed1772082869f738465566","64de85663a6aef4485274acd","","","","","7123",""," ","key"," ","16.6656206088993","500","250","sample4","100","","","","","",""
"","psychophysics","10","55236","0.0-10.0","63ed1772082869f738465566","64de85663a6aef4485274acd","","","","","3337",""," ","key"," ","16.665628140703515","500","250","sample5","","","","","","",""
"","psychophysics","11","61671","0.0-11.0","63ed1772082869f738465566","64de85663a6aef4485274acd","","","","","6425",""," ","key"," ","16.665662337662354","500","250","sample6","500","","","","","",""
"","psychophysics","12","68947","0.0-12.0","63ed1772082869f738465566","64de85663a6aef4485274acd","","","","","7268",""," ","key"," ","16.665642201834864","500","250","inst","","","","","","",""
"","psychophysics","13","74667","0.0-13.0","63ed1772082869f738465566","64de85663a6aef4485274acd","","","","","5717",""," ","key"," ","16.665672514619892","500","250","inst","","","","","","",""
"","psychophysics","14","79825","0.0-14.0","63ed1772082869f738465566","64de85663a6aef4485274acd","","","","","5154",""," ","key"," ","16.66563106796119","500","250","inst","","","","","","",""
"","psychophysics","15","81940","0.0-15.0","63ed1772082869f738465566","64de85663a6aef4485274acd","","","","","2112",""," ","key"," ","16.66555555555556","500","250","inst","","","","","","",""
"","psychophysics","16","84300","0.0-16.0","63ed1772082869f738465566","64de85663a6aef4485274acd","","","","","2356",""," ","key"," ","16.665714285714266","500","250","inst","","","","","","",""
"","psychophysics","17","93017","0.0-17.0","63ed1772082869f738465566","64de85663a6aef4485274acd","","","","","8714",""," ","key"," ","16.66563218390803","500","250","instPzPre","50","50","50","0","","",""
"","psychophysics","18","104389","0.0-18.0","63ed1772082869f738465566","64de85663a6aef4485274acd","","","","","11368",""," ","key"," ","16.665630498533734","500","250","instPz0","48","50","50","2","","",""
"","psychophysics","19","115129","0.0-19.0","63ed1772082869f738465566","64de85663a6aef4485274acd","","","","","10737",""," ","key"," ","16.665660964230177","500","250","instPz1","50","25","50","2","","",""
"","psychophysics","20","121782","0.0-20.0","63ed1772082869f738465566","64de85663a6aef4485274acd","","","","","6649",""," ","key"," ","16.665628140703515","500","250","instPz2","35","20","35","2","","",""
"","psychophysics","21","135896","0.0-21.0","63ed1772082869f738465566","64de85663a6aef4485274acd","","","","","14093",""," ","key"," ","16.705118483412335","500","250","instPz3","85","30","100","2","","",""
"","psychophysics","22","148775","0.0-22.0","63ed1772082869f738465566","64de85663a6aef4485274acd","","","","","12875",""," ","key"," ","16.665647668393788","500","250","instPz4","87","30","100","2","","",""
"","psychophysics","23","175053","0.0-23.0","63ed1772082869f738465566","64de85663a6aef4485274acd","","","","","26275",""," ","key"," ","16.665634517766502","500","250","inst","","","","","","",""
"","psychophysics","24","181731","0.0-24.0","63ed1772082869f738465566","64de85663a6aef4485274acd","","","","","6675",""," ","key"," ","16.66566416040102","500","250","pz","39","27","48","2","0","",""
"","psychophysics","25","186850","0.0-25.0","63ed1772082869f738465566","64de85663a6aef4485274acd","","","","","5111",""," ","key"," ","16.665667752443046","500","250","pz","36","31","42","2","0","",""
"","psychophysics","26","193732","0.0-26.0","63ed1772082869f738465566","64de85663a6aef4485274acd","","","","","6878",""," ","key"," ","16.665631067961215","500","250","pz","30","33","35","2","0","",""
"","psychophysics","27","201973","0.0-27.0","63ed1772082869f738465566","64de85663a6aef4485274acd","","","","","null","","null","key","null","16.66645030425963","500","250","pz","38","43","48","2","0","",""
"","psychophysics","28","208724","0.0-28.0","63ed1772082869f738465566","64de85663a6aef4485274acd","","","","","6748",""," ","key"," ","16.665544554455458","500","250","pz","35","56","40","2","0","",""
