"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","block","start","jitterX","jitterY","parA"
"true","fullscreen","0","8414","0.0-0.0","63ed41743848042f0261bc1f","64e5092c3458d27b08355dcf","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","8747","0.0-1.0","63ed41743848042f0261bc1f","64e5092c3458d27b08355dcf","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","18287","0.0-2.0","63ed41743848042f0261bc1f","64e5092c3458d27b08355dcf","","","","","9536","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","29689","0.0-3.0","63ed41743848042f0261bc1f","64e5092c3458d27b08355dcf","","","","","11386",""," ","key"," ","16.667695461200587","768","250","","","","","","","",""
"","psychophysics","4","42954","0.0-4.0","63ed41743848042f0261bc1f","64e5092c3458d27b08355dcf","","","","","13248",""," ","key"," ","16.666021383647795","500","250","inst","","","","","","",""
"","psychophysics","5","48664","0.0-5.0","63ed41743848042f0261bc1f","64e5092c3458d27b08355dcf","","","","","5680",""," ","key"," ","16.65928362573099","500","250","sample0","","","","","","",""
"","psychophysics","6","60423","0.0-6.0","63ed41743848042f0261bc1f","64e5092c3458d27b08355dcf","","","","","11742",""," ","key"," ","16.66767613636364","500","250","sample1","","","","","","",""
"","psychophysics","7","86578","0.0-7.0","63ed41743848042f0261bc1f","64e5092c3458d27b08355dcf","","","","","26131",""," ","key"," ","16.667621414913963","500","250","sample2","84","","","","","",""
"","psychophysics","8","92398","0.0-8.0","63ed41743848042f0261bc1f","64e5092c3458d27b08355dcf","","","","","5803",""," ","key"," ","16.668310344827585","500","250","sample3","90","","","","","",""
"","psychophysics","9","120587","0.0-9.0","63ed41743848042f0261bc1f","64e5092c3458d27b08355dcf","","","","","28167",""," ","key"," ","16.66741065088757","500","250","sample4","100","","","","","",""
"","psychophysics","10","172871","0.0-10.0","63ed41743848042f0261bc1f","64e5092c3458d27b08355dcf","","","","","52271",""," ","key"," ","16.6676881377551","500","250","sample5","","","","","","",""
"","psychophysics","11","188600","0.0-11.0","63ed41743848042f0261bc1f","64e5092c3458d27b08355dcf","","","","","15712",""," ","key"," ","16.6705567338282","500","250","sample6","500","","","","","",""
"","psychophysics","12","195349","0.0-12.0","63ed41743848042f0261bc1f","64e5092c3458d27b08355dcf","","","","","6743",""," ","key"," ","16.66804455445548","500","250","inst","","","","","","",""
"","psychophysics","13","199130","0.0-13.0","63ed41743848042f0261bc1f","64e5092c3458d27b08355dcf","","","","","3776",""," ","key"," ","16.668293333333246","500","250","inst","","","","","","",""
"","psychophysics","14","205117","0.0-14.0","63ed41743848042f0261bc1f","64e5092c3458d27b08355dcf","","","","","5975",""," ","key"," ","16.668247910863546","500","250","inst","","","","","","",""
"","psychophysics","15","209133","0.0-15.0","63ed41743848042f0261bc1f","64e5092c3458d27b08355dcf","","","","","4009",""," ","key"," ","16.667295833333387","500","250","inst","","","","","","",""
"","psychophysics","16","213133","0.0-16.0","63ed41743848042f0261bc1f","64e5092c3458d27b08355dcf","","","","","3994",""," ","key"," ","16.669100418410075","500","250","inst","","","","","","",""
"","psychophysics","17","243367","0.0-17.0","63ed41743848042f0261bc1f","64e5092c3458d27b08355dcf","","","","","30229",""," ","key"," ","16.66755212355212","500","250","instPog0","340","2","","370","0","0","340"
"","psychophysics","18","273238","0.0-18.0","63ed41743848042f0261bc1f","64e5092c3458d27b08355dcf","","","","","29865",""," ","key"," ","16.66764991624792","500","250","instPog1","340","2","","370","0","0","340"
"","psychophysics","19","288221","0.0-19.0","63ed41743848042f0261bc1f","64e5092c3458d27b08355dcf","","","","","14935",""," ","key"," ","16.667695991091332","500","250","instPog2","332","2","","340","0","0","340"
"","psychophysics","20","292424","0.0-20.0","63ed41743848042f0261bc1f","64e5092c3458d27b08355dcf","","","","","4197",""," ","key"," ","16.66916334661363","500","250","inst","","","","","","",""
"","psychophysics","21","300437","0.0-21.0","63ed41743848042f0261bc1f","64e5092c3458d27b08355dcf","","","","","null","","null","key","null","16.668156250000052","500","250","pog","335","2","0","325","0","0","360"
"","psychophysics","22","308452","0.0-22.0","63ed41743848042f0261bc1f","64e5092c3458d27b08355dcf","","","","","null","","null","key","null","16.667608333333312","500","250","pog","318","2","0","354","0","0","333"
