"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","block","start","jitterX","jitterY","parA"
"true","fullscreen","0","12452","0.0-0.0","64010a38650fe3a1a2de05a9","64de82c6c6704420c06094e7","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","13343","0.0-1.0","64010a38650fe3a1a2de05a9","64de82c6c6704420c06094e7","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","18652","0.0-2.0","64010a38650fe3a1a2de05a9","64de82c6c6704420c06094e7","","","","","5307","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","23594","0.0-3.0","64010a38650fe3a1a2de05a9","64de82c6c6704420c06094e7","","","","","4937",""," ","key"," ","6.944410112359553","960","250","","","","","","","",""
"","psychophysics","4","27802","0.0-4.0","64010a38650fe3a1a2de05a9","64de82c6c6704420c06094e7","","","","","4207",""," ","key"," ","6.944482644628099","500","250","inst","","","","","","",""
"","psychophysics","5","34058","0.0-5.0","64010a38650fe3a1a2de05a9","64de82c6c6704420c06094e7","","","","","6254",""," ","key"," ","6.944433333333339","500","250","sample0","","","","","","",""
"","psychophysics","6","38378","0.0-6.0","64010a38650fe3a1a2de05a9","64de82c6c6704420c06094e7","","","","","4318",""," ","key"," ","6.944396135265702","500","250","sample1","","","","","","",""
"","psychophysics","7","49474","0.0-7.0","64010a38650fe3a1a2de05a9","64de82c6c6704420c06094e7","","","","","11095",""," ","key"," ","6.944393237319972","500","250","sample2","102","","","","","",""
"","psychophysics","8","53386","0.0-8.0","64010a38650fe3a1a2de05a9","64de82c6c6704420c06094e7","","","","","3911",""," ","key"," ","6.944494661921703","500","250","sample3","102","","","","","",""
"","psychophysics","9","73442","0.0-9.0","64010a38650fe3a1a2de05a9","64de82c6c6704420c06094e7","","","","","20055",""," ","key"," ","6.949252686308491","500","250","sample4","100","","","","","",""
"","psychophysics","10","79780","0.0-10.0","64010a38650fe3a1a2de05a9","64de82c6c6704420c06094e7","","","","","6335",""," ","key"," ","6.959619361936188","500","250","sample5","","","","","","",""
"","psychophysics","11","86050","0.0-11.0","64010a38650fe3a1a2de05a9","64de82c6c6704420c06094e7","","","","","6267",""," ","key"," ","6.974482758620703","500","250","sample6","500","","","","","",""
"","psychophysics","12","92266","0.0-12.0","64010a38650fe3a1a2de05a9","64de82c6c6704420c06094e7","","","","","6215",""," ","key"," ","6.944436241610739","500","250","inst","","","","","","",""
"","psychophysics","13","98099","0.0-13.0","64010a38650fe3a1a2de05a9","64de82c6c6704420c06094e7","","","","","5832",""," ","key"," ","6.944376638855792","500","250","inst","","","","","","",""
"","psychophysics","14","103090","0.0-14.0","64010a38650fe3a1a2de05a9","64de82c6c6704420c06094e7","","","","","4990",""," ","key"," ","6.944444909344493","500","250","inst","","","","","","",""
"","psychophysics","15","114355","0.0-15.0","64010a38650fe3a1a2de05a9","64de82c6c6704420c06094e7","","","","","11258",""," ","key"," ","6.948704320987653","500","250","inst","","","","","","",""
"","psychophysics","16","115690","0.0-16.0","64010a38650fe3a1a2de05a9","64de82c6c6704420c06094e7","","","","","1333",""," ","key"," ","6.944421874999989","500","250","inst","","","","","","",""
"","psychophysics","17","119163","0.0-17.0","64010a38650fe3a1a2de05a9","64de82c6c6704420c06094e7","","","","","3470",""," ","key"," ","6.944300601202416","500","250","instEB0","40","2","","40","0","0","40"
"","psychophysics","18","122619","0.0-18.0","64010a38650fe3a1a2de05a9","64de82c6c6704420c06094e7","","","","","3454",""," ","key"," ","7.001050709939141","500","250","instEB1","43","2","","30","0","0","40"
"","psychophysics","19","131330","0.0-19.0","64010a38650fe3a1a2de05a9","64de82c6c6704420c06094e7","","","","","8708",""," ","key"," ","6.972232371794876","500","250","instEB2","35","2","","40","0","0","30"
"","psychophysics","20","139724","0.0-20.0","64010a38650fe3a1a2de05a9","64de82c6c6704420c06094e7","","","","","8392",""," ","key"," ","6.944420878210437","500","250","instEB3","36","2","","45","0","0","27"
"","psychophysics","21","146802","0.0-21.0","64010a38650fe3a1a2de05a9","64de82c6c6704420c06094e7","","","","","7075",""," ","key"," ","6.943942100098143","500","250","instEB4","46","2","","30","0","0","40"
"","psychophysics","22","149883","0.0-22.0","64010a38650fe3a1a2de05a9","64de82c6c6704420c06094e7","","","","","3080",""," ","key"," ","6.944400452488727","500","250","inst","","","","","","",""
"","psychophysics","23","153723","0.0-23.0","64010a38650fe3a1a2de05a9","64de82c6c6704420c06094e7","","","","","3831",""," ","key"," ","6.944440217391315","500","250","eb","59","2","","37","0","0","51"
