"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","block","jitterX","jitterY","start","parA"
"true","fullscreen","0","6367","0.0-0.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","6532","0.0-1.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","9815","0.0-2.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","3281","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","19424","0.0-3.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","9604",""," ","key"," ","16.66656","768","250","","","","","","","",""
"","psychophysics","4","24679","0.0-4.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","5254",""," ","key"," ","16.666573248407644","500","250","inst","","","","","","",""
"","psychophysics","5","30127","0.0-5.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","5441",""," ","key"," ","16.666613496932513","500","250","sample0","","","","","","",""
"","psychophysics","6","34919","0.0-6.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","4791",""," ","key"," ","16.666540069686405","500","250","sample1","","","","","","",""
"","psychophysics","7","54751","0.0-7.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","19830",""," ","key"," ","16.66654751892346","500","250","sample2","100","","","","","",""
"","psychophysics","8","59575","0.0-8.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","4818",""," ","key"," ","16.666541666666667","500","250","sample3","86","","","","","",""
"","psychophysics","9","73763","0.0-9.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","14182",""," ","key"," ","16.66653764705883","500","250","sample4","100","","","","","",""
"","psychophysics","10","78006","0.0-10.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","4239",""," ","key"," ","16.66651968503938","500","250","sample5","","","","","","",""
"","psychophysics","11","92334","0.0-11.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","14326",""," ","key"," ","16.66656228172294","500","250","sample6","500","","","","","",""
"","psychophysics","12","112454","0.0-12.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","20119",""," ","key"," ","16.66653150912106","500","250","inst","","","","","","",""
"","psychophysics","13","118358","0.0-13.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","5902",""," ","key"," ","16.666538243626064","500","250","inst","","","","","","",""
"","psychophysics","14","124782","0.0-14.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","6423",""," ","key"," ","16.666545454545442","500","250","inst","","","","","","",""
"","psychophysics","15","127581","0.0-15.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","2798",""," ","key"," ","16.66655688622756","500","250","inst","","","","","","",""
"","psychophysics","16","129685","0.0-16.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","2102",""," ","key"," ","16.666511999999987","500","250","inst","","","","","","",""
"","psychophysics","17","135742","0.0-17.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","6055",""," ","key"," ","16.666560773480658","500","250","instZol0","0","","","0","0","0",""
"","psychophysics","18","155053","0.0-18.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","19310",""," ","key"," ","16.66654145077721","500","250","instZol1","-0.19999999999999998","","","0","0","-1.3",""
"","psychophysics","19","171693","0.0-19.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","16637",""," ","key"," ","16.666545636910733","500","250","instZol2","-1.2999999999999994","2","","0","0","2",""
"","psychophysics","20","174933","0.0-20.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","3236",""," ","key"," ","16.666530927835055","500","250","inst","","","","","","",""
"","psychophysics","21","179133","0.0-21.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","4195",""," ","key"," ","16.66652589641438","500","250","zol","-1.1500000000000001","2","0","-12","16","-0.15",""
"","psychophysics","22","183885","0.0-22.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","4749",""," ","key"," ","16.666535211267615","500","250","zol","-1.0799999999999998","2","0","7","-4","0.38",""
"","psychophysics","23","191133","0.0-23.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","7245",""," ","key"," ","16.66652764976962","500","250","zol","-0.8299999999999998","2","0","-30","-25","-0.67",""
"","psychophysics","24","196709","0.0-24.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","5573",""," ","key"," ","16.66652252252249","500","250","zol","-1.2100000000000002","2","0","-9","-24","0.31",""
"","psychophysics","25","203493","0.0-25.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","6779",""," ","key"," ","16.666529556650257","500","250","zol","-1.02","2","0","2","-13","-0.58",""
"","psychophysics","26","211495","0.0-26.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","null","","null","key","null","16.666562500000023","500","250","zol","-1.1600000000000001","2","0","25","19","0.66",""
"","psychophysics","27","219498","0.0-27.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","null","","null","key","null","16.666588726513513","500","250","zol","-1.8000000000000005","2","0","21","-23","0.5",""
"","psychophysics","28","224997","0.0-28.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","5496",""," ","key"," ","16.666537993920965","500","250","zol","-0.8200000000000001","2","0","25","4","0.52",""
"","psychophysics","29","230020","0.0-29.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","5021",""," ","key"," ","16.66649000000005","500","250","zol","-1.4100000000000004","2","0","8","12","-0.09",""
"","psychophysics","30","233756","0.0-30.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","3733",""," ","key"," ","16.66655156950674","500","250","zol","-0.6099999999999999","2","0","-13","14","0.41",""
"","psychophysics","31","237716","0.0-31.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","3957",""," ","key"," ","16.666578059071696","500","250","zol","-1.2","2","0","19","2","0.6",""
"","psychophysics","32","241868","0.0-32.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","4149",""," ","key"," ","16.66654032258063","500","250","zol","-1.5700000000000003","2","0","21","16","0.37",""
"","psychophysics","33","246476","0.0-33.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","4605",""," ","key"," ","16.66653454545462","500","250","zol","-0.41999999999999993","2","0","-17","-29","-0.68",""
"","psychophysics","34","249468","0.0-34.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","2984",""," ","key"," ","16.66657541899447","500","250","zol","-0.83","2","0","-9","-18","0.03",""
"","psychophysics","35","252068","0.0-35.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","2597",""," ","key"," ","16.66654838709679","500","250","zol","-1.0799999999999998","2","0","10","-25","-0.22",""
"","psychophysics","36","254972","0.0-36.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","2903",""," ","key"," ","16.66653757225426","500","250","inst","","","","","","",""
"","psychophysics","37","257700","0.0-37.0","6483fded206bc517c6ad6d0c","64e50ed44906550b1e9c54de","","","","","2727",""," ","key"," ","16.66649693251531","500","250","instPzPre","50","0","","","","50","50"
