"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","len","start","x","y","trial_type","trial_index","time_elapsed","internal_node_id","resp","pid","sid"
"7257","key"," "," ","16.796898148148145","500","250","214","28","10","-8","psychophysics","0","7274","0.0-0.0","-20","null","null"
"4472","key"," "," ","16.681573033707867","500","250","204","-33","14","7","psychophysics","1","11755","0.0-1.0","-21","null","null"
"3587","key"," "," ","16.6806511627907","500","250","164","-21","24","5","psychophysics","2","15354","0.0-2.0","-19","null","null"
"4246","key"," "," ","16.680708661417313","500","250","190","-12","14","14","psychophysics","3","19611","0.0-3.0","-15","null","null"
"5652","key"," "," ","16.679882005899703","500","250","154","-37","-11","19","psychophysics","4","25274","0.0-4.0","-15","null","null"
"5194","key"," "," ","16.682700964630225","500","250","172","-35","15","9","psychophysics","5","30474","0.0-5.0","-18","null","null"
"4969","key"," "," ","16.68101010101011","500","250","198","18","-23","13","psychophysics","6","35450","0.0-6.0","-12","null","null"
"3001","key"," "," ","16.675642458100572","500","250","164","21","-19","-1","psychophysics","7","38458","0.0-7.0","-13","null","null"
"3270","key"," "," ","16.678571428571427","500","250","182","-19","-21","-16","psychophysics","8","41737","0.0-8.0","-16","null","null"
"3337","key"," "," ","16.68190954773868","500","250","214","-30","27","6","psychophysics","9","45082","0.0-9.0","-16","null","null"
