"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","block","event","trial_type","trial_index","time_elapsed","internal_node_id","resp","target","pid","sid"
"19698","key"," "," ","16.685012701100764","720","200","no_feedback","trial","psychophysics","0","19713","0.0-0.0-0.0","61","53","1","1"
"9129","key"," "," ","16.711926605504587","720","200","no_feedback","trial","psychophysics","1","28846","0.0-0.0-0.1","31","27","1","1"
"10484","key"," "," ","16.708133971291865","720","200","no_feedback","trial","psychophysics","2","39334","0.0-0.0-0.2","77","61","1","1"
"12614","key"," "," ","16.71087533156499","720","200","no_feedback","trial","psychophysics","3","51950","0.0-0.0-0.3","75","62","1","1"
"11437.000000000007","key"," "," ","16.71156661786237","720","200","no_feedback","trial","psychophysics","4","63390","0.0-0.0-0.4","61","51","1","1"
"10792.999999999993","key"," "," ","16.711627906976744","720","200","no_feedback","trial","psychophysics","5","74187","0.0-0.0-0.5","51","42","1","1"
"8435","key"," "," ","16.71230158730159","720","200","no_feedback","trial","psychophysics","6","82625","0.0-0.0-0.6","48","42","1","1"
"20652","key"," "," ","16.71093117408907","720","200","no_feedback","trial","psychophysics","7","103281","0.0-0.0-0.7","80","66","1","1"
"6505","key"," "," ","16.712082262210796","720","200","no_feedback","trial","psychophysics","8","109789","0.0-0.0-0.8","24","20","1","1"
"5274","key"," "," ","16.713375796178344","720","200","no_feedback","trial","psychophysics","9","115065","0.0-0.0-0.9","34","30","1","1"
"5216","key"," "," ","16.708333333333332","720","200","feedback","trial","psychophysics","10","120284","0.0-1.0-0.0","38","34","1","1"
"7221","key"," "," ","16.751162790697673","720","250","feedback","feedback","psychophysics","11","127514","0.0-1.0-1.0","","","1","1"
"5696","key"," "," ","16.711764705882352","720","200","feedback","trial","psychophysics","12","133213","0.0-1.0-0.1","32","26","1","1"
"4533","key"," "," ","16.71217712177122","720","250","feedback","feedback","psychophysics","13","137749","0.0-1.0-1.1","","","1","1"
"6396","key"," "," ","16.712041884816752","720","200","feedback","trial","psychophysics","14","144148","0.0-1.0-0.2","52","42","1","1"
"1278","key"," "," ","16.706666666666667","720","250","feedback","feedback","psychophysics","15","145430","0.0-1.0-1.2","","","1","1"
"15590.99999999997","key"," "," ","16.71137339055794","720","200","feedback","trial","psychophysics","16","161039","0.0-1.0-0.3","69","59","1","1"
"1670","key"," "," ","16.707070707070706","720","250","feedback","feedback","psychophysics","17","162712","0.0-1.0-1.3","","","1","1"
"8506","key"," "," ","16.711198428290768","720","200","feedback","trial","psychophysics","18","171226","0.0-1.0-0.4","43","47","1","1"
"1503","key"," "," ","16.707865168539325","720","250","feedback","feedback","psychophysics","19","172733","0.0-1.0-1.4","","","1","1"
"7088","key"," "," ","16.71158392434988","720","200","feedback","trial","psychophysics","20","179826","0.0-1.0-0.5","40","44","1","1"
"2833.999999999971","key"," "," ","16.71005917159763","720","250","feedback","feedback","psychophysics","21","182663","0.0-1.0-1.5","","","1","1"
"13542","key"," "," ","16.711990111248454","720","200","feedback","trial","psychophysics","22","196210","0.0-1.0-0.6","67","60","1","1"
"1382","key"," "," ","16.686746987951807","720","250","feedback","feedback","psychophysics","23","197601","0.0-1.0-1.6","","","1","1"
"9699","key"," "," ","16.711571675302245","720","200","feedback","trial","psychophysics","24","207306","0.0-1.0-0.7","36","35","1","1"
"2465","key"," "," ","16.700680272108844","720","250","feedback","feedback","psychophysics","25","209780","0.0-1.0-1.7","","","1","1"
"14156","key"," "," ","16.70956316410862","720","200","feedback","trial","psychophysics","26","223944","0.0-1.0-0.8","44","47","1","1"
"1254","key"," "," ","16.72972972972973","720","250","feedback","feedback","psychophysics","27","225203","0.0-1.0-1.8","","","1","1"
"7247","key"," "," ","16.709006928406467","720","200","feedback","trial","psychophysics","28","232454","0.0-1.0-0.9","36","31","1","1"
"2040","key"," "," ","16.710743801652892","720","250","feedback","feedback","psychophysics","29","234497","0.0-1.0-1.9","","","1","1"
