"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","response_type","key_press","avg_frame_time","center_x","center_y","phase","guide","targ","resp"
"5153","Set You Browser to Full Screen Please.<br><br>","0","html-button-response","0","5155","0.0-0.0","2","11","","","","","","","","",""
"3485",""," ","psychophysics","1","8661","0.0-1.0","2","11","key"," ","16.67390476190476","500","250","","","",""
"3481",""," ","psychophysics","2","12151","0.0-2.0","2","11","key"," ","16.680865384615387","500","250","","","",""
"1848",""," ","psychophysics","3","14005","0.0-3.0","2","11","key"," ","16.681818181818183","500","250","","","",""
"6485",""," ","psychophysics","4","20502","0.0-4.0","2","11","key"," ","16.68123393316196","500","250","","","",""
"1691",""," ","psychophysics","5","22200","0.0-5.0","2","11","key"," ","16.6816","500","250","","","",""
"2795",""," ","psychophysics","6","25006","0.0-6.0","2","11","key"," ","16.68119047619047","500","250","","","",""
"3989",""," ","psychophysics","7","29002","0.0-7.0","2","11","key"," ","16.681092436974783","500","250","","","",""
"3679",""," ","psychophysics","8","32691","0.0-8.0","2","11","key"," ","16.680909090909104","500","250","","","",""
"65504",""," ","psychophysics","9","98209","0.0-9.0","2","11","key"," ","16.681171377641967","500","250","1","0","60","131"
"3656",""," ","psychophysics","10","101882","0.0-10.0","2","11","key"," ","16.681095890410976","500","250","1","5","21","29"
"7949",""," ","psychophysics","11","109843","0.0-11.0","2","11","key"," ","16.681176470588216","500","250","1","0","59","134"
"3746",""," ","psychophysics","12","113601","0.0-12.0","2","11","key"," ","16.6811555555556","500","250","1","5","58","74"
"8370",""," ","psychophysics","13","121978","0.0-13.0","2","11","key"," ","16.71456","500","250","1","0","46","107"
"4654",""," ","psychophysics","14","126640","0.0-14.0","2","11","key"," ","16.681079136690634","500","250","1","5","42","60"
"11191",""," ","psychophysics","15","137842","0.0-15.0","2","11","key"," ","16.756137724550886","500","250","1","0","56","116"
"3163",""," ","psychophysics","16","141012","0.0-16.0","2","11","key"," ","16.681164021163973","500","250","1","5","27","39"
"6078",""," ","psychophysics","17","147097","0.0-17.0","2","11","key"," ","16.68115384615385","500","250","1","0","56","124"
"6298",""," ","psychophysics","18","153402","0.0-18.0","2","11","key"," ","16.68116710875336","500","250","1","5","55","79"
"5457",""," ","psychophysics","19","158864","0.0-19.0","2","11","key"," ","16.681042944785332","500","250","1","0","34","73"
"2559",""," ","psychophysics","20","161433","0.0-20.0","2","11","key"," ","16.681045751634063","500","250","1","5","23","38"
"4951",""," ","psychophysics","21","166386","0.0-21.0","2","11","key"," ","16.681283783783698","500","250","1","0","36","95"
"5346",""," ","psychophysics","22","171735","0.0-22.0","2","11","key"," ","16.681374999999935","500","250","1","5","49","73"
"8317",""," ","psychophysics","23","180059","0.0-23.0","2","11","key"," ","16.68116465863454","500","250","1","0","29","63"
"3941",""," ","psychophysics","24","184007","0.0-24.0","2","11","key"," ","16.68102127659578","500","250","1","5","42","53"
"6934",""," ","psychophysics","25","190950","0.0-25.0","2","11","key"," ","16.681153846153812","500","250","1","0","37","110"
"4609",""," ","psychophysics","26","195566","0.0-26.0","2","11","key"," ","16.68130909090904","500","250","1","5","52","70"
"6672",""," ","psychophysics","27","202247","0.0-27.0","2","11","key"," ","16.681200000000025","500","250","1","0","54","114"
"4187",""," ","psychophysics","28","206442","0.0-28.0","2","11","key"," ","16.68103999999992","500","250","1","5","45","66"
"3695",""," ","psychophysics","29","210147","0.0-29.0","2","11","key"," ","16.681266968325783","500","250","","","",""
"4716",""," ","psychophysics","30","214872","0.0-30.0","2","11","key"," ","16.68120141342756","500","250","","","",""
"1688",""," ","psychophysics","31","216566","0.0-31.0","2","11","key"," ","16.682200000000012","500","250","","","",""
"6054",""," ","psychophysics","32","222630","0.0-32.0","2","11","key"," ","16.681432506887095","500","250","2","0","36","80"
"2171",""," ","psychophysics","33","224807","0.0-33.0","2","11","key"," ","16.68093023255811","500","250","","","",""
"5072",""," ","psychophysics","34","229888","0.0-34.0","2","11","key"," ","16.681118421052624","500","250","2","0","53","69"
"2713",""," ","psychophysics","35","232607","0.0-35.0","2","11","key"," ","16.68111111111109","500","250","","","",""
"3773",""," ","psychophysics","36","236391","0.0-36.0","2","11","key"," ","16.681061946902584","500","250","2","0","60","76"
"2878",""," ","psychophysics","37","239275","0.0-37.0","2","11","key"," ","16.681046511627986","500","250","","","",""
"3198",""," ","psychophysics","38","242479","0.0-38.0","2","11","key"," ","16.68094240837695","500","250","2","0","59","61"
"1328",""," ","psychophysics","39","243817","0.0-39.0","2","11","key"," ","16.681265822784898","500","250","","","",""
"2810",""," ","psychophysics","40","246635","0.0-40.0","2","11","key"," ","16.681309523809475","500","250","2","0","22","30"
"1036",""," ","psychophysics","41","247678","0.0-41.0","2","11","key"," ","16.68098360655751","500","250","","","",""
"3986",""," ","psychophysics","42","251674","0.0-42.0","2","11","key"," ","16.681004184100335","500","250","2","0","52","48"
"1255",""," ","psychophysics","43","252936","0.0-43.0","2","11","key"," ","16.681066666666496","500","250","","","",""
"2207",""," ","psychophysics","44","255151","0.0-44.0","2","11","key"," ","16.681374045801597","500","250","2","0","40","44"
"1050",""," ","psychophysics","45","256211","0.0-45.0","2","11","key"," ","16.680634920634994","500","250","","","",""
"4247",""," ","psychophysics","46","260464","0.0-46.0","2","11","key"," ","16.681102362204726","500","250","2","0","51","46"
"925",""," ","psychophysics","47","261396","0.0-47.0","2","11","key"," ","16.68145454545421","500","250","","","",""
"4226",""," ","psychophysics","48","265629","0.0-48.0","2","11","key"," ","16.681349206349022","500","250","2","0","43","51"
"844",""," ","psychophysics","49","266484","0.0-49.0","2","11","key"," ","16.681176470588053","500","250","","","",""
"3070",""," ","psychophysics","50","269563","0.0-50.0","2","11","key"," ","16.681092896174622","500","250","2","0","42","43"
"818",""," ","psychophysics","51","270390","0.0-51.0","2","11","key"," ","16.68163265306051","500","250","","","",""
"4271",""," ","psychophysics","52","274669","0.0-52.0","2","11","key"," ","16.681019607843265","500","250","2","0","38","40"
"884",""," ","psychophysics","53","275563","0.0-53.0","2","11","key"," ","16.681509433962177","500","250","","","",""
"4098",""," ","psychophysics","54","279672","0.0-54.0","2","11","key"," ","16.6809795918366","500","250","2","0","28","33"
"956",""," ","psychophysics","55","280637","0.0-55.0","2","11","key"," ","16.68140350877238","500","250","","","",""
"3013",""," ","psychophysics","56","283659","0.0-56.0","2","11","key"," ","16.68100000000009","500","250","2","0","27","34"
"858",""," ","psychophysics","57","284526","0.0-57.0","2","11","key"," ","16.680392156862972","500","250","","","",""
"2148",""," ","psychophysics","58","286682","0.0-58.0","2","11","key"," ","16.68139534883694","500","250","2","0","32","30"
"866",""," ","psychophysics","59","287553","0.0-59.0","2","11","key"," ","16.680784313726083","500","250","","","",""
"3308",""," ","psychophysics","60","290868","0.0-60.0","2","11","key"," ","16.680913705583826","500","250","2","0","56","47"
"1190",""," ","psychophysics","61","292068","0.0-61.0","2","11","key"," ","16.676056338028168","500","250","","","",""
"3783",""," ","psychophysics","62","295862","0.0-62.0","2","11","key"," ","16.68114537444932","500","250","","","",""
"3103",""," ","psychophysics","63","298971","0.0-63.0","2","11","key"," ","16.68118918918929","500","250","","","",""
"2617",""," ","psychophysics","64","301599","0.0-64.0","2","11","key"," ","16.681019108280523","500","250","3","5","44","35"
"4777",""," ","psychophysics","65","306387","0.0-65.0","2","11","key"," ","16.681188811188836","500","250","3","0","57","66"
"2302",""," ","psychophysics","66","308696","0.0-66.0","2","11","key"," ","16.681167883211728","500","250","3","5","47","34"
"2602",""," ","psychophysics","67","311309","0.0-67.0","2","11","key"," ","16.680897435897258","500","250","3","0","42","44"
"1573",""," ","psychophysics","68","312890","0.0-68.0","2","11","key"," ","16.680851063829788","500","250","3","5","21","20"
"3316",""," ","psychophysics","69","316213","0.0-69.0","2","11","key"," ","16.68101010101023","500","250","3","0","54","68"
"2303",""," ","psychophysics","70","318524","0.0-70.0","2","11","key"," ","16.680729927006944","500","250","3","5","41","36"
"2652",""," ","psychophysics","71","321187","0.0-71.0","2","11","key"," ","16.681257861635263","500","250","3","0","41","47"
"2172",""," ","psychophysics","72","323370","0.0-72.0","2","11","key"," ","16.680923076922774","500","250","3","5","56","46"
"3203",""," ","psychophysics","73","326580","0.0-73.0","2","11","key"," ","16.68104712041863","500","250","3","0","59","56"
"2081",""," ","psychophysics","74","328670","0.0-74.0","2","11","key"," ","16.68112000000011","500","250","3","5","21","21"
"4206",""," ","psychophysics","75","332883","0.0-75.0","2","11","key"," ","16.681035856573715","500","250","3","0","27","36"
"2348",""," ","psychophysics","76","335240","0.0-76.0","2","11","key"," ","16.680851063829788","500","250","3","5","41","29"
"3740",""," ","psychophysics","77","338988","0.0-77.0","2","11","key"," ","16.681076233183877","500","250","3","0","50","42"
"8023",""," ","psychophysics","78","347021","0.0-78.0","2","11","key"," ","16.680956340956296","500","250","3","5","53","32"
