partip,task,round,trial,width,hor,flip,start,bias,train,jit_x,jit_y,time
12345,1,1,0,230,false,true,3,21,false,-86,-11,6
12345,1,1,1,191,false,true,26,-26,false,-40,91,9
12345,1,1,2,195,false,true,27,-27,false,-24,-23,9
12345,1,1,3,214,false,false,3,3,false,-23,-63,10
12345,1,1,4,208,true,false,-32,-32,false,94,-54,10
12345,1,1,5,223,true,true,-7,7,false,87,73,10
12345,1,1,6,218,true,true,25,-25,false,72,-6,10
12345,1,1,7,154,true,false,-10,9,false,79,47,7
12345,1,1,8,185,false,false,29,29,false,-23,-77,10
12345,1,1,9,183,true,true,-17,17,false,10,3,9
12345,1,1,10,218,true,false,19,19,false,-23,67,9
12345,1,1,11,213,false,true,1,9,false,-31,-3,5
12345,1,1,12,228,false,true,-2,22,false,-93,68,6
12345,1,1,13,231,false,true,5,18,false,64,-46,8
12345,1,1,14,203,true,true,-9,9,false,-29,-99,10
12345,1,1,15,249,false,false,-14,-14,false,87,30,10
12345,1,1,16,155,true,true,-1,1,false,-84,-52,10
12345,1,1,17,200,false,true,-4,4,false,-58,29,10
12345,1,1,18,180,false,false,4,4,false,35,34,10
12345,1,1,19,196,true,false,15,15,false,61,-75,10
12345,1,1,20,183,true,true,-28,28,false,33,97,10
12345,1,1,21,156,true,false,26,26,false,-92,45,10
12345,1,1,22,154,true,false,-3,-3,false,-55,15,10
12345,1,1,23,172,false,false,-28,-28,false,-12,-12,10
12345,1,1,24,181,true,false,4,4,false,23,-85,10
12345,1,1,25,156,true,false,21,21,false,-15,-21,10
12345,1,1,26,172,true,true,14,-14,false,53,73,10
12345,1,1,27,169,true,true,-23,23,false,-24,-35,10
12345,1,1,28,190,false,false,10,10,false,60,46,10
12345,1,1,29,162,true,false,-18,-18,false,22,31,10
12345,1,1,30,226,false,true,-26,26,false,-81,28,10
12345,1,1,31,168,true,true,25,-25,false,-98,90,10
12345,1,1,32,156,false,false,-1,-1,false,-20,-25,10
12345,1,1,33,181,false,true,20,-20,false,-34,-16,10
12345,1,1,34,242,false,false,-17,-17,false,-82,65,10
12345,1,1,35,214,false,false,12,12,false,-77,27,10
12345,1,NaN,0,205,true,false,31,9,true,-43,70,NaN
12345,1,NaN,1,198,true,false,-13,9,true,95,-28,NaN
12345,1,NaN,2,222,true,false,24,24,true,-29,-62,NaN
12345,1,NaN,3,199,true,false,-29,8,true,64,47,NaN
12345,1,NaN,4,178,true,false,6,9,true,3,-43,NaN
12345,1,NaN,5,217,true,false,8,10,true,96,-1,NaN
12345,1,NaN,6,246,true,false,-9,2,true,-60,93,NaN
12345,1,NaN,7,224,true,false,22,22,true,-38,-34,NaN
12345,1,NaN,8,200,true,false,26,8,true,15,-42,NaN
12345,1,2,0,229,true,false,24,15,false,-28,-47,7
12345,1,2,1,198,true,false,-17,8,false,82,78,7
12345,1,2,2,194,false,false,28,7,false,-36,-52,6
12345,1,2,3,210,true,true,34,-7,false,-65,38,8
12345,1,2,4,185,false,true,-14,1,false,25,-26,8
12345,1,2,5,214,false,true,14,-7,false,26,-100,8
12345,1,2,6,217,false,true,-15,15,false,-1,10,8
12345,1,2,7,203,false,false,-5,15,false,30,-86,7
12345,1,2,8,236,false,false,-10,10,false,91,-36,9
12345,1,2,9,210,true,false,29,20,false,83,-18,8
12345,1,2,10,178,true,false,20,8,false,48,59,8
12345,1,2,11,212,false,true,-22,22,false,26,60,9
12345,1,2,12,239,true,true,30,9,false,-27,3,5
12345,1,2,13,175,true,false,15,6,false,-90,43,7
12345,1,2,14,155,false,true,21,9,false,-38,-86,8
12345,1,2,15,224,false,true,-20,20,false,30,-94,9
12345,1,2,16,246,true,false,-16,-3,false,39,95,9
12345,1,2,17,228,false,false,-26,-26,false,1,-66,10
12345,1,2,18,234,false,false,19,19,false,-86,-17,10
12345,1,2,19,175,true,true,-11,11,false,43,-58,10
12345,1,2,20,215,true,true,13,-13,false,19,48,10
12345,1,2,21,197,false,true,22,-22,false,100,90,10
