partip,task,round,trial,width,hor,flip,start,bias,train,jit_x,jit_y,time
Mcdonalds,1,1,0,163,false,true,5,15,false,-83,-32,13
Mcdonalds,1,1,1,240,false,false,19,20,false,66,-40,14
Mcdonalds,1,1,2,171,true,false,-6,24,false,98,-84,12
Mcdonalds,1,1,3,215,false,true,-5,23,false,28,58,13
Mcdonalds,1,1,4,155,true,true,-25,16,false,-15,-71,14
Mcdonalds,1,1,5,235,false,false,7,24,false,-50,-88,13
Mcdonalds,1,1,6,226,false,false,4,20,false,37,-45,13
Mcdonalds,1,1,7,162,true,true,-9,14,false,3,-51,14
Mcdonalds,1,1,8,154,false,false,-8,13,false,-76,92,13
Mcdonalds,1,1,9,188,false,false,22,23,false,-23,21,15
Mcdonalds,1,1,10,163,true,true,-2,11,false,-63,66,14
Mcdonalds,1,1,11,234,true,false,10,22,false,-97,-74,14
Mcdonalds,1,1,12,227,false,false,-19,18,false,60,-88,12
Mcdonalds,1,1,13,202,true,true,17,18,false,-85,9,12
Mcdonalds,1,1,14,173,true,false,11,20,false,-9,-64,14
Mcdonalds,1,1,15,246,true,false,-39,26,false,-82,82,9
Mcdonalds,1,1,16,190,true,false,26,22,false,31,3,14
Mcdonalds,1,1,17,235,false,true,-34,21,false,5,-25,13
Mcdonalds,1,1,18,205,false,true,19,13,false,-75,-41,12
Mcdonalds,1,1,19,153,false,true,15,12,false,79,30,12
Mcdonalds,1,1,20,212,true,true,28,21,false,26,35,10
Mcdonalds,1,1,21,245,false,false,-39,15,false,19,64,10
Mcdonalds,1,1,22,153,true,false,17,18,false,-88,-49,14
Mcdonalds,1,1,23,154,true,false,-20,12,false,22,-23,12
Mcdonalds,1,1,24,151,true,true,-17,19,false,-73,21,14
Mcdonalds,1,1,25,196,true,true,13,21,false,26,66,11
Mcdonalds,1,1,26,241,true,true,36,27,false,-1,22,9
Mcdonalds,1,1,27,201,false,true,-29,28,false,-7,-25,15
Mcdonalds,1,1,28,214,true,false,-5,-4,false,-4,-10,15
Mcdonalds,1,1,29,213,false,true,-8,8,false,-88,81,15
Mcdonalds,1,1,30,220,false,true,35,-33,false,1,-63,14
Mcdonalds,1,1,31,154,false,false,-13,4,false,23,-81,13
Mcdonalds,1,NaN,0,177,true,false,-15,4,true,-79,-99,NaN
Mcdonalds,1,NaN,1,172,true,false,-1,-1,true,70,-71,NaN
Mcdonalds,1,NaN,2,206,true,false,-2,-1,true,-42,23,NaN
Mcdonalds,1,NaN,3,168,true,false,-25,0,true,4,-25,NaN
Mcdonalds,1,NaN,4,217,true,false,-35,-3,true,-98,56,NaN
Mcdonalds,1,NaN,5,197,true,false,24,13,true,59,-48,NaN
Mcdonalds,1,NaN,6,218,true,false,15,5,true,-3,61,NaN
Mcdonalds,1,NaN,7,188,true,false,20,-1,true,62,14,NaN
Mcdonalds,1,NaN,8,235,true,false,-33,-1,true,12,-28,NaN
Mcdonalds,1,NaN,9,174,true,false,17,4,true,84,-68,NaN
Mcdonalds,1,NaN,10,181,true,false,-19,0,true,67,-89,NaN
Mcdonalds,1,NaN,11,242,true,false,-26,0,true,-58,-99,NaN
Mcdonalds,1,NaN,12,213,true,false,-31,-3,true,-63,-49,NaN
Mcdonalds,1,NaN,13,164,true,false,22,12,true,-71,-49,NaN
Mcdonalds,1,NaN,14,169,true,false,-16,-14,true,45,53,NaN
Mcdonalds,1,NaN,15,196,true,false,3,5,true,-76,-41,NaN
Mcdonalds,1,2,0,190,true,false,-4,-6,false,62,-54,13
Mcdonalds,1,2,1,221,true,true,21,-6,false,-73,9,8
Mcdonalds,1,2,2,167,false,true,-16,3,false,-49,5,12
Mcdonalds,1,2,3,242,false,false,-21,-2,false,-60,-83,12
Mcdonalds,1,2,4,247,true,false,-38,-7,false,71,-41,11
Mcdonalds,1,2,5,218,false,false,-13,-6,false,31,51,12
Mcdonalds,1,2,6,233,true,true,14,3,false,37,30,13
Mcdonalds,1,2,7,196,true,true,-1,0,false,2,100,14
Mcdonalds,1,2,8,247,false,true,-19,10,false,-82,-57,14
Mcdonalds,1,2,9,215,true,true,-30,-2,false,93,32,11
Mcdonalds,1,2,10,194,false,false,-15,-4,false,45,-60,14
Mcdonalds,1,2,11,206,true,false,-34,-9,false,-100,46,12
Mcdonalds,1,2,12,235,true,false,-15,-14,false,57,85,14
Mcdonalds,1,2,13,224,false,false,22,16,false,-15,18,13
Mcdonalds,1,2,14,154,false,true,-14,5,false,17,97,13
Mcdonalds,1,2,15,185,true,false,-12,-7,false,68,14,13
Mcdonalds,1,2,16,193,false,true,-29,9,false,-40,11,12
Mcdonalds,1,2,17,249,false,false,-38,-7,false,-13,92,12
Mcdonalds,1,2,18,234,true,false,-9,-1,false,-71,27,14
Mcdonalds,1,2,19,225,true,false,2,0,false,-32,60,14
Mcdonalds,1,2,20,178,false,true,29,-14,false,25,-38,13
Mcdonalds,1,2,21,166,false,true,-16,2,false,-88,-47,13
Mcdonalds,1,2,22,160,true,true,-26,10,false,87,-91,13
Mcdonalds,1,2,23,176,false,false,-24,-4,false,-17,-41,13
Mcdonalds,1,2,24,172,true,true,-26,20,false,64,-58,14
Mcdonalds,1,2,25,217,false,false,23,11,false,53,-38,13
Mcdonalds,1,2,26,151,false,true,18,0,false,-90,100,13
Mcdonalds,1,2,27,192,false,true,14,-12,false,42,26,14
Mcdonalds,1,2,28,228,false,false,-38,-15,false,85,-62,13
Mcdonalds,1,2,29,186,true,true,-2,2,false,-74,-70,15
Mcdonalds,1,2,30,231,true,true,11,-11,false,17,63,14
Mcdonalds,1,2,31,182,true,false,-1,1,false,-37,29,14
Mcdonalds,2,1,0,188,true,true,-4,29,false,-66,-11,11
Mcdonalds,2,1,1,234,false,false,36,34,false,0,-21,12
Mcdonalds,2,1,2,177,true,false,-2,-2,false,-64,10,15
Mcdonalds,2,1,3,247,false,false,-1,-1,false,-42,-91,15
Mcdonalds,2,1,4,163,false,true,16,-16,false,13,89,15
Mcdonalds,2,1,5,242,false,true,25,-11,false,-16,-39,13
Mcdonalds,2,1,6,154,true,false,17,18,false,1,99,14
Mcdonalds,2,1,7,206,true,false,9,9,false,-4,89,15
Mcdonalds,2,1,8,232,true,true,-32,32,false,-93,47,15
Mcdonalds,2,1,9,233,true,true,37,-37,false,-59,8,15
Mcdonalds,2,1,10,190,true,true,10,3,false,-38,45,13
Mcdonalds,2,1,11,238,false,false,-39,-20,false,82,73,13
Mcdonalds,2,1,12,178,true,true,-16,27,false,-20,-71,10
Mcdonalds,2,1,13,218,false,false,-10,-10,false,-5,20,15
Mcdonalds,2,1,14,228,false,true,11,-11,false,2,-7,15
Mcdonalds,2,1,15,211,false,true,-12,12,false,84,62,15
Mcdonalds,2,1,16,220,true,false,32,32,false,-21,-88,15
Mcdonalds,2,1,17,233,true,true,-12,12,false,-25,40,15
Mcdonalds,2,1,18,242,true,true,19,-19,false,-98,100,15
Mcdonalds,2,1,19,237,false,false,-18,-18,false,-2,47,15
Mcdonalds,2,1,20,157,true,true,14,-14,false,93,52,15
Mcdonalds,2,1,21,227,true,false,0,0,false,-92,-47,15
Mcdonalds,2,1,22,216,false,true,-24,24,false,-38,-58,15
Mcdonalds,2,1,23,236,false,true,-2,2,false,90,45,15
