partip,task,round,trial,width,hor,flip,start,bias,train,jit_x,jit_y,time
angela,1,1,0,180,false,false,5,18,false,-86,29,10
angela,1,1,1,202,true,true,12,16,false,5,15,8
angela,1,1,2,231,true,true,-11,17,false,-13,-23,11
angela,1,1,3,194,false,false,-19,12,false,56,61,9
angela,1,1,4,241,true,false,-14,19,false,45,-66,9
angela,1,1,5,225,false,false,1,17,false,-38,-44,9
angela,1,1,6,193,false,false,0,16,false,-92,85,11
angela,1,1,7,179,false,false,7,17,false,-71,-81,11
angela,1,1,8,246,true,true,33,18,false,-92,84,6
angela,1,1,9,219,true,true,33,8,false,-3,-74,9
angela,1,1,10,212,true,true,-12,13,false,7,-40,11
angela,1,1,11,205,false,false,-17,15,false,34,75,6
angela,1,1,12,155,true,true,1,16,false,34,-64,7
angela,1,1,13,182,true,false,-2,16,false,100,50,8
angela,1,1,14,190,false,false,16,17,false,8,8,12
angela,1,1,15,203,true,false,-31,14,false,-61,-91,7
angela,1,1,16,215,false,true,5,20,false,-57,23,8
angela,1,1,17,215,true,false,-7,18,false,37,61,9
angela,1,1,18,207,true,false,11,20,false,-41,60,10
angela,1,1,19,201,true,true,1,17,false,33,93,10
angela,1,1,20,225,true,true,-14,16,false,39,54,10
angela,1,1,21,169,false,true,3,12,false,82,88,9
angela,1,1,22,173,true,false,8,17,false,85,-64,11
angela,1,1,23,201,false,true,16,13,false,28,47,9
angela,1,1,24,180,true,false,-11,16,false,-94,-9,8
angela,1,1,25,225,true,false,-34,17,false,-62,-90,8
angela,1,1,26,169,false,true,-17,16,false,16,3,13
angela,1,1,27,201,false,true,-15,18,false,-3,-18,11
angela,1,1,28,181,false,false,7,18,false,71,92,8
angela,1,1,29,150,false,true,24,11,false,-52,51,8
angela,1,1,30,212,false,true,-25,18,false,96,60,5
angela,1,1,31,184,false,true,17,16,false,44,-49,8
angela,1,NaN,0,236,true,false,2,4,true,53,63,NaN
angela,1,NaN,1,231,true,false,-18,0,true,7,69,NaN
angela,1,NaN,2,224,true,false,-22,5,true,66,-100,NaN
angela,1,NaN,3,193,true,false,3,7,true,-38,-86,NaN
angela,1,NaN,4,198,true,false,-28,-5,true,34,71,NaN
angela,1,NaN,5,165,true,false,11,12,true,-84,-4,NaN
angela,1,NaN,6,224,true,false,7,3,true,-77,19,NaN
angela,1,NaN,7,192,true,false,-30,-14,true,43,-44,NaN
angela,1,NaN,8,236,true,false,-38,6,true,50,46,NaN
angela,1,NaN,9,183,true,false,-27,-1,true,-97,-86,NaN
angela,1,NaN,10,223,true,false,-24,-4,true,-61,-7,NaN
angela,1,NaN,11,223,true,false,33,4,true,-77,26,NaN
angela,1,NaN,12,223,true,false,-6,3,true,-34,-28,NaN
angela,1,NaN,13,246,true,false,-30,-7,true,-53,22,NaN
angela,1,NaN,14,179,true,false,26,4,true,-90,-94,NaN
angela,1,NaN,15,199,true,false,-28,-5,true,-97,-100,NaN
angela,1,2,0,198,true,false,-15,0,false,48,57,11
angela,1,2,1,218,false,false,20,20,false,-41,-73,14
angela,1,2,2,195,false,true,31,-5,false,9,-56,9
angela,1,2,3,209,true,true,4,7,false,-23,72,8
angela,1,2,4,240,false,false,4,13,false,26,-73,13
angela,1,2,5,226,true,true,-32,14,false,-18,-36,12
angela,1,2,6,166,true,true,-1,3,false,-87,68,13
angela,1,2,7,196,false,true,22,-5,false,48,-91,10
angela,1,2,8,247,false,false,16,16,false,-64,96,14
angela,1,2,9,164,false,true,-23,7,false,-15,-94,10
angela,1,2,10,242,false,false,-18,11,false,-69,-96,10
angela,1,2,11,241,false,true,15,5,false,-35,-78,9
angela,1,2,12,178,true,true,26,5,false,-4,3,9
angela,1,2,13,153,true,true,-20,11,false,-41,78,12
angela,1,2,14,163,true,true,-20,8,false,-22,19,11
angela,1,2,15,242,false,false,-17,8,false,24,4,8
angela,1,2,16,170,false,false,17,7,false,39,53,13
angela,1,2,17,152,true,false,5,7,false,26,2,14
angela,1,2,18,194,false,true,-7,7,false,63,-47,9
angela,1,2,19,190,false,false,-25,4,false,74,-66,9
angela,1,2,20,174,false,true,22,0,false,-28,-77,11
angela,1,2,21,157,true,false,6,9,false,-87,29,12
angela,1,2,22,201,true,false,-11,1,false,70,-21,11
angela,1,2,23,183,false,true,28,-1,false,-56,-34,10
angela,1,2,24,180,false,true,-16,5,false,17,30,11
angela,1,2,25,196,false,false,13,12,false,52,5,12
angela,1,2,26,249,true,false,33,14,false,65,24,10
angela,1,2,27,201,true,false,16,11,false,47,-85,11
angela,1,2,28,233,true,false,-12,-2,false,4,-81,4
angela,1,2,29,177,true,true,7,3,false,74,41,11
angela,1,2,30,180,true,false,2,7,false,-62,-57,12
angela,1,2,31,230,true,true,-18,15,false,-83,-40,13
angela,2,1,0,212,true,true,19,52,false,-26,-7,4
angela,2,1,1,219,false,true,-8,51,false,96,39,7
angela,2,1,2,174,true,false,-14,36,false,-60,-8,5
angela,2,1,3,181,true,false,27,41,false,-99,-5,9
angela,2,1,4,233,true,false,-5,30,false,93,-83,6
angela,2,1,5,183,true,false,-8,24,false,-69,-63,10
angela,2,1,6,239,true,true,25,39,false,67,-26,8
angela,2,1,7,202,false,false,25,53,false,-68,1,8
angela,2,1,8,241,false,false,-21,38,false,-68,-61,8
angela,2,1,9,228,true,true,15,38,false,49,21,7
angela,2,1,10,185,false,true,19,16,false,53,-31,10
angela,2,1,11,195,false,true,-23,34,false,59,90,13
angela,2,1,12,217,false,false,1,10,false,31,-71,12
angela,2,1,13,223,false,false,27,37,false,-32,44,13
angela,2,1,14,216,true,false,15,36,false,-61,26,11
angela,2,1,15,248,true,false,28,52,false,77,-31,11
angela,2,1,16,242,false,false,-26,7,false,-12,13,10
angela,2,1,17,158,true,true,0,26,false,40,-27,10
angela,2,1,18,172,false,false,19,31,false,54,-9,12
angela,2,1,19,208,true,false,-6,33,false,16,-42,9
angela,2,1,20,193,true,true,2,26,false,-96,38,11
angela,2,1,21,224,false,true,-3,28,false,-57,70,12
angela,2,1,22,218,false,false,5,23,false,-12,-15,12
angela,2,1,23,161,false,true,15,27,false,68,-73,8
angela,2,1,24,213,false,true,12,26,false,32,-43,8
angela,2,1,25,172,true,true,-26,40,false,40,-20,12
angela,2,1,26,247,true,true,35,40,false,-14,74,5
angela,2,1,27,195,true,false,15,52,false,25,13,8
angela,2,1,28,171,false,false,12,33,false,-93,16,9
angela,2,1,29,175,true,true,22,33,false,-62,97,9
angela,2,1,30,221,false,true,23,24,false,-99,85,8
angela,2,1,31,220,false,true,-19,32,false,66,4,7
angela,2,NaN,0,141,true,false,14,27,true,-30,90,15
angela,2,NaN,1,114,true,false,5,11,true,57,-37,15
angela,2,NaN,2,148,true,false,0,8,true,75,71,15
angela,2,NaN,3,100,true,false,6,12,true,-23,-1,15
angela,2,NaN,4,151,true,false,-16,-14,true,-15,65,15
angela,2,NaN,5,179,true,false,-19,0,true,-43,-2,15
angela,2,NaN,6,165,true,false,2,12,true,-29,43,15
angela,2,NaN,7,127,true,false,-16,-10,true,-26,65,15
angela,2,NaN,8,180,true,false,-24,0,true,-55,99,15
angela,2,NaN,9,149,true,false,5,18,true,-36,97,15
angela,2,NaN,10,194,true,false,16,20,true,-74,-56,15
angela,2,NaN,11,103,true,false,-3,1,true,-41,19,15
angela,2,NaN,12,117,true,false,11,14,true,-21,-50,15
angela,2,NaN,13,130,true,false,-21,-12,true,-23,6,15
angela,2,NaN,14,156,true,false,9,20,true,41,-7,15
angela,2,NaN,15,125,true,false,14,17,true,-99,43,15
angela,2,2,0,200,true,true,-19,22,false,-89,-100,13
angela,2,2,1,173,false,false,22,23,false,88,66,14
angela,2,2,2,166,false,true,23,-4,false,59,20,12
angela,2,2,3,101,true,true,-13,15,false,4,-49,13
angela,2,2,4,148,false,false,-17,-18,false,46,-100,13
angela,2,2,5,161,true,false,-11,-1,false,98,-77,13
angela,2,2,6,113,true,true,-14,15,false,-65,40,14
angela,2,2,7,156,true,false,2,7,false,-10,-45,14
angela,2,2,8,186,true,false,-10,-1,false,-38,-15,12
angela,2,2,9,140,false,false,-6,1,false,57,-72,13
angela,2,2,10,112,false,false,9,11,false,70,79,12
angela,2,2,11,134,true,false,9,14,false,-11,13,13
angela,2,2,12,172,false,true,-5,8,false,-52,96,13
angela,2,2,13,108,false,false,-13,-10,false,64,20,13
angela,2,2,14,177,true,false,-5,5,false,52,40,12
angela,2,2,15,138,true,true,-6,16,false,-10,5,12
angela,2,2,16,172,true,true,-24,24,false,-58,58,14
angela,2,2,17,164,false,true,26,-12,false,-29,-24,13
angela,2,2,18,193,true,false,0,16,false,-91,65,10
angela,2,2,19,195,true,true,5,7,false,56,11,13
angela,2,2,20,140,true,true,-19,21,false,-95,-21,13
angela,2,2,21,171,false,true,-10,12,false,65,-66,13
angela,2,2,22,107,false,true,4,1,false,89,4,13
angela,2,2,23,119,false,true,-2,7,false,-77,87,13
angela,2,2,24,131,false,true,-11,9,false,75,-56,14
angela,2,2,25,136,false,true,-17,13,false,46,43,13
angela,2,2,26,194,true,false,0,13,false,34,98,11
angela,2,2,27,142,true,false,-15,2,false,-5,-9,12
angela,2,2,28,166,false,false,-5,3,false,-14,-53,13
angela,2,2,29,111,false,false,-10,-4,false,74,68,12
angela,2,2,30,175,false,false,-13,-1,false,22,-95,13
angela,2,2,31,111,true,true,-6,9,false,27,-93,14
