partip,task,round,trial,width,hor,flip,start,bias,train,jit_x,jit_y,time
houman,1,1,0,306,false,false,-20,22,false,-84,75,10
houman,1,1,1,321,true,false,-38,37,false,12,83,10
houman,1,1,2,323,true,true,-53,26,false,-64,44,10
houman,1,1,3,377,false,true,-14,23,false,-67,26,11
houman,1,NaN,0,334,true,false,-36,15,true,27,-78,NaN
houman,1,NaN,1,377,true,false,36,24,true,67,-76,NaN
houman,1,2,0,335,false,true,53,4,false,-65,17,12
houman,1,2,1,379,true,false,7,37,false,2,78,8
houman,1,2,2,385,true,true,64,14,false,-74,79,10
houman,1,2,3,381,false,false,-9,24,false,-58,62,13
houman,2,1,0,316,true,false,44,83,false,29,-80,9
houman,2,1,1,356,false,true,43,-7,false,46,-44,7
houman,2,1,2,363,true,true,-12,78,false,78,-91,8
houman,2,1,3,339,false,false,-30,15,false,82,-15,12
houman,2,NaN,0,363,true,false,-14,37,true,-60,92,15
houman,2,NaN,1,367,true,false,0,18,true,-14,-75,15
houman,2,2,0,351,true,false,-47,-23,false,-90,-44,14
houman,2,2,1,353,false,false,-26,4,false,15,-18,12
houman,2,2,2,329,false,true,-27,48,false,-4,-67,13
houman,2,2,3,378,true,true,57,-3,false,82,57,10
