partip,task,round,trial,width,hor,flip,start,bias,train,jit_x,jit_y,time
noct,1,NaN,0,151,true,false,23,9,true,-85,99,NaN
noct,1,NaN,1,146,true,false,13,3,true,41,38,NaN
noct,1,NaN,2,170,true,false,-28,-8,true,3,13,NaN
noct,1,NaN,3,193,true,false,11,8,true,-49,-19,NaN
noct,1,NaN,4,161,true,false,9,8,true,-25,92,NaN
noct,1,NaN,5,113,true,false,7,-2,true,74,67,NaN
noct,1,NaN,6,116,true,false,9,0,true,76,-21,NaN
noct,1,NaN,7,123,true,false,11,0,true,-91,100,NaN
noct,1,NaN,8,132,true,false,-19,-8,true,3,-90,NaN
noct,1,NaN,9,111,true,false,-5,0,true,79,-73,NaN
noct,1,NaN,10,196,true,false,18,1,true,-60,-16,NaN
noct,1,NaN,11,106,true,false,-4,-2,true,86,43,NaN
noct,1,NaN,12,142,true,false,10,4,true,40,-98,NaN
noct,1,NaN,13,163,true,false,15,0,true,100,12,NaN
noct,1,NaN,14,160,true,false,4,0,true,-83,67,NaN
noct,1,NaN,15,129,true,false,17,0,true,69,66,NaN
noct,1,2,0,192,false,true,24,-1,false,-94,-82,11
noct,1,2,1,161,true,false,-23,-6,false,15,91,12
noct,1,2,2,139,false,false,-13,7,false,-23,-2,10
noct,1,2,3,176,false,false,5,2,false,57,27,13
noct,1,2,4,111,false,true,15,-1,false,-63,5,12
noct,1,2,5,176,false,true,17,-4,false,-79,-90,13
noct,1,2,6,127,false,true,16,-2,false,-6,83,11
noct,1,2,7,129,false,false,-12,1,false,-87,-50,11
noct,1,2,8,151,false,false,-1,2,false,37,4,13
noct,1,2,9,153,true,true,-7,11,false,-47,72,11
noct,1,2,10,122,true,false,20,10,false,50,0,13
noct,1,2,11,184,true,true,4,8,false,15,57,11
noct,1,2,12,133,true,false,21,13,false,-92,84,10
noct,1,2,13,113,true,true,13,-3,false,-66,-55,12
noct,1,2,14,191,true,false,-22,-3,false,-58,-85,11
noct,1,2,15,187,true,true,14,4,false,-73,-20,12
noct,2,1,0,186,true,true,-15,34,false,65,15,2
noct,2,1,1,108,false,true,10,2,false,9,-21,7
noct,2,1,2,128,false,false,-12,-1,false,52,44,12
noct,2,1,3,111,true,true,-2,15,false,0,-53,11
noct,2,1,4,158,true,false,-12,8,false,63,36,11
noct,2,1,5,200,false,true,-25,42,false,-92,91,12
noct,2,1,6,196,false,true,-1,19,false,94,24,11
noct,2,1,7,141,false,false,-9,4,false,-17,-35,12
noct,2,1,8,181,false,false,-13,-16,false,-96,17,13
noct,2,1,9,132,true,true,-22,20,false,22,-26,12
noct,2,1,10,136,true,false,5,16,false,-96,-26,12
noct,2,1,11,115,true,true,-4,9,false,80,-1,13
noct,2,1,12,179,true,false,-2,12,false,73,-82,9
noct,2,1,13,160,false,true,-6,11,false,64,-25,9
noct,2,1,14,148,true,false,15,9,false,45,-100,10
noct,2,1,15,171,false,false,23,17,false,17,87,13
noct,2,NaN,0,137,true,false,-1,-6,true,59,-46,15
noct,2,NaN,1,160,true,false,-10,6,true,15,-5,15
noct,2,NaN,2,139,true,false,1,16,true,-33,43,15
noct,2,NaN,3,150,true,false,8,7,true,13,45,15
noct,2,NaN,4,177,true,false,-11,0,true,-2,4,15
noct,2,NaN,5,197,true,false,18,5,true,-59,-74,15
noct,2,NaN,6,119,true,false,17,11,true,57,-7,15
noct,2,NaN,7,108,true,false,2,3,true,46,99,15
noct,2,NaN,8,130,true,false,8,2,true,-96,-84,15
noct,2,NaN,9,198,true,false,-9,-8,true,-80,-21,15
noct,2,NaN,10,158,true,false,3,-2,true,-56,63,15
noct,2,NaN,11,166,true,false,28,20,true,-72,4,15
noct,2,NaN,12,187,true,false,29,24,true,62,61,15
noct,2,NaN,13,185,true,false,15,4,true,-30,-4,15
noct,2,NaN,14,108,true,false,5,-1,true,76,-58,15
noct,2,NaN,15,173,true,false,-17,-13,true,52,-38,15
noct,2,2,0,183,true,false,-30,-8,false,50,52,10
noct,2,2,1,110,true,true,-18,10,false,87,92,12
noct,2,2,2,145,true,true,14,0,false,-7,-58,10
noct,2,2,3,121,false,true,16,-9,false,92,-53,10
noct,2,2,4,174,true,true,20,14,false,-53,-83,3
noct,2,2,5,174,false,false,14,-5,false,10,89,9
noct,2,2,6,121,true,false,0,6,false,-4,-38,10
noct,2,2,7,105,false,false,9,0,false,-82,42,9
noct,2,2,8,139,true,false,-8,1,false,-96,-91,10
noct,2,2,9,111,false,true,10,-4,false,53,-22,10
noct,2,2,10,197,false,false,14,-3,false,94,42,9
noct,2,2,11,183,false,false,-26,-19,false,-98,-82,8
noct,2,2,12,177,false,true,-9,-30,false,26,-54,8
noct,2,2,13,187,true,true,12,11,false,23,-84,10
noct,2,2,14,112,true,false,10,4,false,-46,-98,8
noct,2,2,15,172,false,true,-15,-29,false,79,10,7
