"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","block","event","trial_type","trial_index","time_elapsed","internal_node_id","resp","target","pid","sid"
"26146","key"," "," ","16.713030690537085","736","200","no_feedback","trial","psychophysics","0","26158","0.0-0.0-0.0","67","61","2","3"
"8953","key"," "," ","16.68089552238806","736","200","no_feedback","trial","psychophysics","1","35122","0.0-0.0-0.1","39","34","2","3"
"8852","key"," "," ","16.68116760828625","736","200","no_feedback","trial","psychophysics","2","43988","0.0-0.0-0.2","83","68","2","3"
"6866","key"," "," ","16.681070559610703","736","200","no_feedback","trial","psychophysics","3","50861","0.0-0.0-0.3","71","60","2","3"
"10179","key"," "," ","16.68101806239737","736","200","no_feedback","trial","psychophysics","4","61046","0.0-0.0-0.4","50","41","2","3"
"5560","key"," "," ","16.680960960960988","736","200","no_feedback","trial","psychophysics","5","66617","0.0-0.0-0.5","78","65","2","3"
"6020","key"," "," ","16.680775623268683","736","200","no_feedback","trial","psychophysics","6","72652","0.0-0.0-0.6","39","34","2","3"
"10312","key"," "," ","16.681003236245957","736","200","no_feedback","trial","psychophysics","7","82971","0.0-0.0-0.7","44","38","2","3"
"11494","key"," "," ","16.70526928675401","736","200","no_feedback","trial","psychophysics","8","94474","0.0-0.0-0.8","80","69","2","3"
"16706","key"," "," ","16.680999000998995","736","200","no_feedback","trial","psychophysics","9","111192","0.0-0.0-0.9","52","45","2","3"
"7450","key"," "," ","16.680984340044763","736","200","feedback","trial","psychophysics","10","118653","0.0-1.0-0.0","66","56","2","3"
"8547","key"," "," ","16.71358121330724","736","250","feedback","feedback","psychophysics","11","127208","0.0-1.0-1.0","","","2","3"
"5239","key"," "," ","16.680958466453625","736","200","feedback","trial","psychophysics","12","132455","0.0-1.0-0.1","26","23","2","3"
"1656","key"," "," ","16.68080808080802","736","250","feedback","feedback","psychophysics","13","134122","0.0-1.0-1.1","","","2","3"
"3106","key"," "," ","16.680967741935504","736","200","feedback","trial","psychophysics","14","137234","0.0-1.0-0.2","28","30","2","3"
"1523","key"," "," ","16.680888888888877","736","250","feedback","feedback","psychophysics","15","138765","0.0-1.0-1.2","","","2","3"
"3810","key"," "," ","16.681140350877143","736","200","feedback","trial","psychophysics","16","142583","0.0-1.0-0.3","30","32","2","3"
"2839","key"," "," ","16.680941176470643","736","250","feedback","feedback","psychophysics","17","145433","0.0-1.0-1.3","","","2","3"
"3001","key"," "," ","16.680777777777823","736","200","feedback","trial","psychophysics","18","148445","0.0-1.0-0.4","35","33","2","3"
"2094","key"," "," ","16.680959999999963","736","250","feedback","feedback","psychophysics","19","150546","0.0-1.0-1.4","","","2","3"
"7448","key"," "," ","16.718471910112363","736","200","feedback","trial","psychophysics","20","158003","0.0-1.0-0.5","38","38","2","3"
"2671","key"," "," ","16.680880503144714","736","250","feedback","feedback","psychophysics","21","160681","0.0-1.0-1.5","","","2","3"
"6219","key"," "," ","16.680965147453083","736","200","feedback","trial","psychophysics","22","166910","0.0-1.0-0.6","43","45","2","3"
"1197","key"," "," ","16.680845070422485","736","250","feedback","feedback","psychophysics","23","168114","0.0-1.0-1.6","","","2","3"
"7878","key"," "," ","16.680976645435223","736","200","feedback","trial","psychophysics","24","175998","0.0-1.0-0.7","40","39","2","3"
"1701","key"," "," ","16.680784313725514","736","250","feedback","feedback","psychophysics","25","177709","0.0-1.0-1.7","","","2","3"
"5982","key"," "," ","16.681005586592146","736","200","feedback","trial","psychophysics","26","183697","0.0-1.0-0.8","30","27","2","3"
"1518","key"," "," ","16.68087912087935","736","250","feedback","feedback","psychophysics","27","185226","0.0-1.0-1.8","","","2","3"
"4890","key"," "," ","16.68102389078491","736","200","feedback","trial","psychophysics","28","190129","0.0-1.0-0.9","27","28","2","3"
"1267","key"," "," ","16.68079999999997","736","250","feedback","feedback","psychophysics","29","191405","0.0-1.0-1.9","","","2","3"
