"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","response_type","key_press","avg_frame_time","center_x","center_y","block","event","resp","target"
"6754.100000143051","Set You Browser to Full Screen Please.<br><br>","0","html-button-response","0","6757","0.0-0.0","9","9","","","","","","","","",""
"13799.200000047684","You will see two horizontal lines, an upper line and a lower line.<br> Your job is to adjust the lower line so it is the <strong>same length</strong> as the upper line","0","html-button-response","1","20558","0.0-1.0","9","9","","","","","","","","",""
"8636.700000047684","Use the left arrow to shorten the bottom line <br> Use the right arrow to lengthen it.","0","html-button-response","2","29197","0.0-2.0","9","9","","","","","","","","",""
"2353","When the line is best adjusted, use the space bar to continue!","0","html-button-response","3","31551","0.0-3.0","9","9","","","","","","","","",""
"3738.7999999523163","We Are Going To Run 20 Trials Now","0","html-button-response","4","35291","0.0-4.0","9","9","","","","","","","","",""
"21412",""," ","psychophysics","5","56724","0.0-5.0-0.0","9","9","key"," ","16.68257120622568","640","200","no_feedback","trial","30","27"
"20858.599999904633",""," ","psychophysics","6","77586","0.0-5.0-0.1","9","9","key"," ","16.701251602564106","640","200","no_feedback","trial","69","61"
"11224.5",""," ","psychophysics","7","88814","0.0-5.0-0.2","9","9","key"," ","16.674441964285702","640","200","no_feedback","trial","52","48"
"11332.5",""," ","psychophysics","8","100150","0.0-5.0-0.3","9","9","key"," ","16.674586156111943","640","200","no_feedback","trial","51","50"
"16219.5",""," ","psychophysics","9","116372","0.0-5.0-0.4","9","9","key"," ","16.691887744593206","640","200","no_feedback","trial","32","30"
"28896.200000047684",""," ","psychophysics","10","145272","0.0-5.0-0.5","9","9","key"," ","16.674594110854503","640","200","no_feedback","trial","73","66"
"5999.800000190735",""," ","psychophysics","11","151274","0.0-5.0-0.6","9","9","key"," ","16.674980501392756","640","200","no_feedback","trial","25","24"
"19703.39999985695",""," ","psychophysics","12","170980","0.0-5.0-0.7","9","9","key"," ","16.674287891617276","640","200","no_feedback","trial","77","70"
"17809.299999952316",""," ","psychophysics","13","188793","0.0-5.0-0.8","9","9","key"," ","16.721657894736854","640","200","no_feedback","trial","29","26"
"19888.599999904633",""," ","psychophysics","14","208700","0.0-5.0-0.9","9","9","key"," ","16.674580050293358","640","200","no_feedback","trial","35","34"
"17074.5",""," ","psychophysics","15","225778","0.0-5.0-0.10","9","9","key"," ","16.674668621700896","640","200","no_feedback","trial","49","45"
"11686.200000047684",""," ","psychophysics","16","237466","0.0-5.0-0.11","9","9","key"," ","16.67440571428572","640","200","no_feedback","trial","37","35"
"20790.400000095367",""," ","psychophysics","17","258259","0.0-5.0-0.12","9","9","key"," ","16.674599518459075","640","200","no_feedback","trial","37","35"
"29561.10000014305",""," ","psychophysics","18","287824","0.0-5.0-0.13","9","9","key"," ","16.702823063877894","640","200","no_feedback","trial","78","66"
"8672",""," ","psychophysics","19","296498","0.0-5.0-0.14","9","9","key"," ","16.674782273603082","640","200","no_feedback","trial","52","51"
"15973.700000047684",""," ","psychophysics","20","312475","0.0-5.0-0.15","9","9","key"," ","16.674722048066847","640","200","no_feedback","trial","75","69"
"9176.399999856949",""," ","psychophysics","21","321658","0.0-5.0-0.16","9","9","key"," ","16.674652727272743","640","200","no_feedback","trial","23","20"
"12742.100000143051",""," ","psychophysics","22","334403","0.0-5.0-0.17","9","9","key"," ","16.674419397116637","640","200","no_feedback","trial","76","67"
"8593.099999904633",""," ","psychophysics","23","342999","0.0-5.0-0.18","9","9","key"," ","16.707118677042864","640","200","no_feedback","trial","35","34"
"10470",""," ","psychophysics","24","353472","0.0-5.0-0.19","9","9","key"," ","16.674543859649145","640","200","no_feedback","trial","46","42"
"35528.10000014305","Great.  We Are Going To Run A Final 20 Trials With Feedback.<br>Use the Feedback To Improve Your Adjustments.","0","html-button-response","25","389002","0.0-6.0","9","9","","","","","","","","",""
"21521",""," ","psychophysics","26","410529","0.0-7.0-0.0","9","9","key"," ","16.688201550387575","640","200","feedback","trial","77","67"
"6267.5",""," ","psychophysics","27","416801","0.0-7.0-1.0","9","9","key"," ","16.674","640","250","feedback","feedback","",""
"13505.299999952316",""," ","psychophysics","28","430315","0.0-7.0-0.1","9","9","key"," ","16.674854140914704","640","200","feedback","trial","31","32"
"3055.5",""," ","psychophysics","29","433377","0.0-7.0-1.1","9","9","key"," ","16.674000000000028","640","250","feedback","feedback","",""
"17276.900000095367",""," ","psychophysics","30","450673","0.0-7.0-0.2","9","9","key"," ","16.674671814671836","640","200","feedback","trial","74","68"
"3651.399999856949",""," ","psychophysics","31","454328","0.0-7.0-1.2","9","9","key"," ","16.673999999999868","640","250","feedback","feedback","",""
"13506.5",""," ","psychophysics","32","467840","0.0-7.0-0.3","9","9","key"," ","16.67436711990114","640","200","feedback","trial","34","36"
"1350",""," ","psychophysics","33","469192","0.0-7.0-1.3","9","9","key"," ","16.678062499999943","640","250","feedback","feedback","",""
"11150.099999904633",""," ","psychophysics","34","480360","0.0-7.0-0.4","9","9","key"," ","16.67460986547087","640","200","feedback","trial","38","39"
"1552.4000000953674",""," ","psychophysics","35","481914","0.0-7.0-1.4","9","9","key"," ","16.6739999999997","640","250","feedback","feedback","",""
"22855.799999952316",""," ","psychophysics","36","504773","0.0-7.0-0.5","9","9","key"," ","16.674490510948925","640","200","feedback","trial","55","56"
"1165.6000001430511",""," ","psychophysics","37","505941","0.0-7.0-1.5","9","9","key"," ","16.67399999999991","640","250","feedback","feedback","",""
"10185.300000190735",""," ","psychophysics","38","516129","0.0-7.0-0.6","9","9","key"," ","16.674480327868885","640","200","feedback","trial","25","26"
"1249.7999999523163",""," ","psychophysics","39","517381","0.0-7.0-1.6","9","9","key"," ","16.673999999999854","640","250","feedback","feedback","",""
"12572",""," ","psychophysics","40","529956","0.0-7.0-0.7","9","9","key"," ","16.67498671978746","640","200","feedback","trial","72","70"
"1102.2000000476837",""," ","psychophysics","41","531061","0.0-7.0-1.7","9","9","key"," ","16.67400000000086","640","250","feedback","feedback","",""
"13884.5",""," ","psychophysics","42","544947","0.0-7.0-0.8","9","9","key"," ","16.674412259615426","640","200","feedback","trial","54","47"
