"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","response_type","key_press","avg_frame_time","center_x","center_y","phase","guide","targ","resp"
"2845.2999999523163","Set You Browser to Full Screen Please.<br><br>","0","html-button-response","0","2848","0.0-0.0","12","19","","","","","","","","",""
"2460",""," ","psychophysics","1","5347","0.0-1.0","12","19","key"," ","16.77176510067114","500","250","","","",""
"5711.5",""," ","psychophysics","2","11064","0.0-2.0","12","19","key"," ","16.665999999999997","500","250","","","",""
"3732",""," ","psychophysics","3","14799","0.0-3.0","12","19","key"," ","16.65237668161435","500","250","","","",""
"6102.600000023842",""," ","psychophysics","4","20904","0.0-4.0","12","19","key"," ","16.666","500","250","","","",""
"3525.899999976158",""," ","psychophysics","5","24432","0.0-5.0","12","19","key"," ","16.66757345971564","500","250","","","",""
"3531.600000023842",""," ","psychophysics","6","27966","0.0-6.0","12","19","key"," ","16.666000000000007","500","250","","","",""
"3164.7999999523163",""," ","psychophysics","7","31134","0.0-7.0","12","19","key"," ","16.666","500","250","","","",""
"3431.399999976158",""," ","psychophysics","8","34568","0.0-8.0","12","19","key"," ","16.998995024875633","500","250","","","",""
"6379.5",""," ","psychophysics","9","40950","0.0-9.0","12","19","key"," ","16.66600000000001","500","250","1","0","25","29"
"6222.699999928474",""," ","psychophysics","10","47175","0.0-10.0","12","19","key"," ","16.71161185983828","500","250","1","5","41","39"
"4671.099999904633",""," ","psychophysics","11","51848","0.0-11.0","12","19","key"," ","16.725734767025102","500","250","1","0","27","30"
"4546",""," ","psychophysics","12","56396","0.0-12.0","12","19","key"," ","16.666893382352928","500","250","1","5","41","40"
"8082.700000047684",""," ","psychophysics","13","64481","0.0-13.0","12","19","key"," ","16.666611570247934","500","250","1","0","58","59"
"4982.299999952316",""," ","psychophysics","14","69465","0.0-14.0","12","19","key"," ","16.666000000000025","500","250","1","5","48","51"
"6787",""," ","psychophysics","15","76254","0.0-15.0","12","19","key"," ","16.666662561576338","500","250","1","0","52","62"
"3261.100000023842",""," ","psychophysics","16","79518","0.0-16.0","12","19","key"," ","16.66600000000005","500","250","1","5","21","22"
"5577.600000023842",""," ","psychophysics","17","85097","0.0-17.0","12","19","key"," ","16.66675748502994","500","250","1","0","40","46"
"3105.5",""," ","psychophysics","18","88205","0.0-18.0","12","19","key"," ","16.666000000000036","500","250","1","5","30","29"
"3989.3000000715256",""," ","psychophysics","19","92200","0.0-19.0","12","19","key"," ","16.665999999999997","500","250","1","0","24","28"
"4269.600000023842",""," ","psychophysics","20","96471","0.0-20.0","12","19","key"," ","16.732480314960643","500","250","1","5","35","40"
"4801.700000047684",""," ","psychophysics","21","101278","0.0-21.0","12","19","key"," ","16.666000000000015","500","250","1","0","60","53"
"6034.700000047684",""," ","psychophysics","22","107314","0.0-22.0","12","19","key"," ","16.666886426592797","500","250","1","5","59","64"
"5361.600000023842",""," ","psychophysics","23","112678","0.0-23.0","12","19","key"," ","16.666828660436124","500","250","1","0","56","62"
"4966.299999952316",""," ","psychophysics","24","117646","0.0-24.0","12","19","key"," ","16.666000000000036","500","250","1","5","49","51"
"6279.899999976158",""," ","psychophysics","25","123928","0.0-25.0","12","19","key"," ","16.666744680851053","500","250","1","0","57","62"
"4277.900000095367",""," ","psychophysics","26","128208","0.0-26.0","12","19","key"," ","16.665999999999997","500","250","1","5","38","41"
"6679.900000095367",""," ","psychophysics","27","134891","0.0-27.0","12","19","key"," ","17.226317829457383","500","250","1","0","55","68"
"3235.600000023842",""," ","psychophysics","28","138129","0.0-28.0","12","19","key"," ","16.666000000000004","500","250","1","5","32","35"
"2321.2000000476837",""," ","psychophysics","29","140454","0.0-29.0","12","19","key"," ","16.66599999999997","500","250","","","",""
"2252.2000000476837",""," ","psychophysics","30","142710","0.0-30.0","12","19","key"," ","16.668459259259247","500","250","","","",""
"893.2000000476837",""," ","psychophysics","31","143605","0.0-31.0","12","19","key"," ","16.66600000000024","500","250","","","",""
"3849.2999999523163",""," ","psychophysics","32","147466","0.0-32.0","12","19","key"," ","16.665999999999958","500","250","2","0","30","29"
"2908.1999999284744",""," ","psychophysics","33","150379","0.0-33.0","12","19","key"," ","16.665999999999947","500","250","","","",""
"3732.100000023842",""," ","psychophysics","34","154113","0.0-34.0","12","19","key"," ","16.66718385650214","500","250","2","0","21","28"
"2748.7999999523163",""," ","psychophysics","35","156864","0.0-35.0","12","19","key"," ","16.6660000000001","500","250","","","",""
"3810",""," ","psychophysics","36","160676","0.0-36.0","12","19","key"," ","16.665999999999993","500","250","2","0","23","23"
"3183.2999999523163",""," ","psychophysics","37","163862","0.0-37.0","12","19","key"," ","16.667421052631568","500","250","","","",""
"4878.399999976158",""," ","psychophysics","38","168742","0.0-38.0","12","19","key"," ","16.66600000000003","500","250","2","0","26","27"
"2745.4000000953674",""," ","psychophysics","39","171489","0.0-39.0","12","19","key"," ","16.66599999999994","500","250","","","",""
"7466.100000023842",""," ","psychophysics","40","178958","0.0-40.0","12","19","key"," ","16.70374049216999","500","250","2","0","53","70"
"1090.3999999761581",""," ","psychophysics","41","180052","0.0-41.0","12","19","key"," ","16.666000000000167","500","250","","","",""
"4189.899999976158",""," ","psychophysics","42","184244","0.0-42.0","12","19","key"," ","16.66730677290839","500","250","2","0","39","38"
"2783",""," ","psychophysics","43","187029","0.0-43.0","12","19","key"," ","16.665999999999894","500","250","","","",""
"628.5999999046326",""," ","psychophysics","44","187660","0.0-44.0","12","19","key"," ","16.666000000000587","500","250","2","0","34","10"
"3056.399999976158",""," ","psychophysics","45","190727","0.0-45.0","12","19","key"," ","16.665999999999983","500","250","","","",""
"4513.5",""," ","psychophysics","46","195243","0.0-46.0","12","19","key"," ","16.666988888888888","500","250","2","0","43","47"
"1766.6999999284744",""," ","psychophysics","47","197012","0.0-47.0","12","19","key"," ","16.665999999999933","500","250","","","",""
"6422",""," ","psychophysics","48","203446","0.0-48.0","12","19","key"," ","16.666685714285713","500","250","2","0","43","52"
"1252.1000000238419",""," ","psychophysics","49","204700","0.0-49.0","12","19","key"," ","16.666000000000192","500","250","","","",""
"4342.100000023842",""," ","psychophysics","50","209046","0.0-50.0","12","19","key"," ","16.666000000000015","500","250","2","0","35","42"
"617.7000000476837",""," ","psychophysics","51","209665","0.0-51.0","12","19","key"," ","16.665999999999865","500","250","","","",""
"8323.299999952316",""," ","psychophysics","52","217991","0.0-52.0","12","19","key"," ","16.66652905811623","500","250","2","0","42","52"
"1631",""," ","psychophysics","53","219624","0.0-53.0","12","19","key"," ","16.66600000000014","500","250","","","",""
"6432.5",""," ","psychophysics","54","226059","0.0-54.0","12","19","key"," ","16.66669610389614","500","250","2","0","54","63"
"3335.2999999523163",""," ","psychophysics","55","229396","0.0-55.0","12","19","key"," ","16.665999999999926","500","250","","","",""
"3812.2000000476837",""," ","psychophysics","56","233211","0.0-56.0","12","19","key"," ","16.667157894736814","500","250","2","0","22","21"
"716.3999999761581",""," ","psychophysics","57","233930","0.0-57.0","12","19","key"," ","16.665999999999517","500","250","","","",""
"6117.200000047684",""," ","psychophysics","58","240049","0.0-58.0","12","19","key"," ","16.666000000000064","500","250","2","0","46","50"
"712.9000000953674",""," ","psychophysics","59","240764","0.0-59.0","12","19","key"," ","16.665999999999517","500","250","","","",""
"5445.900000095367",""," ","psychophysics","60","246212","0.0-60.0","12","19","key"," ","16.666815950920284","500","250","2","0","21","24"
"668.1000000238419",""," ","psychophysics","61","246882","0.0-61.0","12","19","key"," ","16.666000000000423","500","250","","","",""
"1889.8000000715256",""," ","psychophysics","62","248778","0.0-62.0","12","19","key"," ","16.666000000000015","500","250","","","",""
"1261.3999999761581",""," ","psychophysics","63","250041","0.0-63.0","12","19","key"," ","16.665999999999766","500","250","","","",""
"6248.800000071526",""," ","psychophysics","64","256292","0.0-64.0","12","19","key"," ","16.66670855614978","500","250","3","5","39","39"
"2856.7999999523163",""," ","psychophysics","65","259151","0.0-65.0","12","19","key"," ","16.666000000000007","500","250","3","0","20","19"
"8302.700000047684",""," ","psychophysics","66","267458","0.0-66.0","12","19","key"," ","16.666542168674745","500","250","3","5","57","59"
"9617.899999976158",""," ","psychophysics","67","277077","0.0-67.0","12","19","key"," ","16.666454861111156","500","250","3","0","50","57"
"5744.600000023842",""," ","psychophysics","68","282825","0.0-68.0","12","19","key"," ","16.665999999999976","500","250","3","5","21","19"
"4695.700000047684",""," ","psychophysics","69","287522","0.0-69.0","12","19","key"," ","16.666939501779268","500","250","3","0","41","49"
"4733.300000071526",""," ","psychophysics","70","292259","0.0-70.0","12","19","key"," ","16.66600000000001","500","250","3","5","31","31"
"4256.5",""," ","psychophysics","71","296517","0.0-71.0","12","19","key"," ","16.666803149606366","500","250","3","0","33","36"
"4197.799999952316",""," ","psychophysics","72","300720","0.0-72.0","12","19","key"," ","16.66599999999998","500","250","3","5","28","30"
"5834.900000095367",""," ","psychophysics","73","306556","0.0-73.0","12","19","key"," ","16.66675931232098","500","250","3","0","56","63"
"6186.100000023842",""," ","psychophysics","74","312744","0.0-74.0","12","19","key"," ","16.802234332425183","500","250","3","5","57","62"
"3698.7999999523163",""," ","psychophysics","75","316445","0.0-75.0","12","19","key"," ","16.667488687782868","500","250","3","0","34","34"
"4422.399999976158",""," ","psychophysics","76","320870","0.0-76.0","12","19","key"," ","16.792737642585514","500","250","3","5","41","45"
"4300.799999952316",""," ","psychophysics","77","325173","0.0-77.0","12","19","key"," ","16.66701167315183","500","250","3","0","35","40"
"2815.5",""," ","psychophysics","78","327991","0.0-78.0","12","19","key"," ","16.66600000000021","500","250","3","5","25","30"
