"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","phase","guide","targ","resp","stimulus","is5","stim"
"true","false","[]","[]","[]","preload","0","44","0.0-0.0","1","1","","","","","","","","","","","","","",""
"","","","","","psychophysics","1","376410","0.0-1.0","1","1","376284","key"," "," ","16.731362852316174","500","250","","","","","","",""
"","","","","","psychophysics","2","384355","0.0-2.0","1","1","7942","key"," "," ","16.71099999999993","500","250","","","","","","",""
"","","","","","psychophysics","3","384684","0.0-3.0","1","1","326","key"," "," ","16.711000000001054","500","250","","","","","","",""
"","","","","","psychophysics","4","384925","0.0-4.0","1","1","238","key"," "," ","16.711000000001288","500","250","","","","","","",""
"","","","","","psychophysics","5","385182","0.0-5.0","1","1","240","key"," "," ","16.710999999998602","500","250","","","","","","",""
"","","","","","psychophysics","6","385619","0.0-6.0","1","1","433","key"," "," ","16.71807999999961","500","250","","","","","","",""
"","","","","","psychophysics","7","385889","0.0-7.0","1","1","266","key"," "," ","16.710999999998602","500","250","","","","","","",""
"","","","","","psychophysics","8","386114","0.0-8.0","1","1","221","key"," "," ","16.711000000000542","500","250","","","","","","",""
"","","","","","psychophysics","9","386339","0.0-9.0","1","1","220","key"," "," ","16.711000000001288","500","250","","","","","","",""
"","","","","","psychophysics","10","465282","0.0-10.0","1","1","78937","key"," "," ","16.711244759686632","500","250","","","","","","",""
"","","","","","psychophysics","11","465503","0.0-11.0","1","1","219","key"," "," ","16.72599999999996","500","250","","","","","","",""
"","","","","","psychophysics","12","465686","0.0-12.0","1","1","181","key"," "," ","16.710999999998602","500","250","","","","","","",""
"","","","","","psychophysics","13","465877","0.0-13.0","1","1","189","key"," "," ","16.710999999998602","500","250","1","0","40","10","","",""
"","","","","","psychophysics","14","466060","0.0-14.0","1","1","180","key"," "," ","16.710999999998602","500","250","1","5","48","10","","",""
"","","","","","psychophysics","15","466283","0.0-15.0","1","1","220","key"," "," ","16.711000000001288","500","250","","","","","","",""
"","","","","","psychophysics","16","466535","0.0-16.0","1","1","249","key"," "," ","16.711000000001928","500","250","","","","","","",""
"","","","","","psychophysics","17","466775","0.0-17.0","1","1","238","key"," "," ","16.71099999999681","500","250","","","","","","",""
"","","","","","psychophysics","18","467001","0.0-18.0","1","1","224","key"," "," ","16.711000000001288","500","250","2","0","51","10","","",""
"","","","","","psychophysics","19","467214","0.0-19.0","1","1","204","key"," "," ","16.71099999999966","500","250","","","","","","",""
"","","","","","psychophysics","20","467432","0.0-20.0","1","1","215","key"," "," ","16.711000000000542","500","250","2","0","43","10","","",""
"","","","","","psychophysics","21","467613","0.0-21.0","1","1","178","key"," "," ","16.711000000004425","500","250","","","","","","",""
"","","","","","psychophysics","22","467791","0.0-22.0","1","1","176","key"," "," ","16.710999999998602","500","250","","","","","","",""
"","","","","","psychophysics","23","467958","0.0-23.0","1","1","165","key"," "," ","16.71099999999731","500","250","","","","","","",""
"","","","","","psychophysics","24","468152","0.0-24.0","1","1","191","key"," "," ","16.710999999998602","500","250","3","5","50","10","","",""
"","","","","","psychophysics","25","468329","0.0-25.0","1","1","173","key"," "," ","16.710999999998602","500","250","3","0","48","10","","",""
"","","","","","psychophysics","26","468522","0.0-26.0","1","1","192","key"," "," ","16.71099999999966","500","250","","","","","","",""
"","","","","","html-keyboard-response","27","469619","0.0-27.0","1","1","1096","","","v","","","","","","","","<p> In this part of the experiment, we are going present digits 2, 3, 4, 6, 7, and 8.  Your job is to say whether the digit is less than or greater than 5.  For example, 3 is less than 5 and 7 is greater than 5.  If the digit is less than 5, press to v key; if it is greater than 5, press the n key. We are going to do 200 of these in total, but only 50 righ now. They go real fast.</p>  <br><br>  Ready? (press v or n)","",""
"","","","","","psychophysics","28","469811","0.0-28.0","1","1","187","key","v","v","16.710999999995693","500","250","4","","","","","1","3"
"","","","","","audio-keyboard-response","29","470313","0.0-29.0","1","1","null","","","null","","","","","","","","media/correct.m4a","",""
"","","","","","psychophysics","30","470421","0.0-30.0","1","1","105","key","v","v","16.711000000000542","500","250","4","","","","","1","4"
"","","","","","audio-keyboard-response","31","470923","0.0-31.0","1","1","null","","","null","","","","","","","","media/correct.m4a","",""
"","","","","","psychophysics","32","471135","0.0-32.0","1","1","209","key","v","v","16.711000000001288","500","250","4","","","","","1","6"
"","","","","","audio-keyboard-response","33","471639","0.0-33.0","1","1","null","","","null","","","","","","","","media/error.m4a","",""
