"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","phase","guide","targ","resp","stimulus","is5","stim"
"2579","key"," "," ","16.699883116883118","500","250","psychophysics","0","2603","0.0-0.0","5ee8fdbb6b0e1325a483f9fa","61fd928f2aab9a4440b535ba","","","","","","",""
"2082","key"," "," ","16.699879999999997","500","250","psychophysics","1","4696","0.0-1.0","5ee8fdbb6b0e1325a483f9fa","61fd928f2aab9a4440b535ba","","","","","","",""
"13606","key"," "," ","16.698818181818183","500","250","psychophysics","2","18306","0.0-2.0","5ee8fdbb6b0e1325a483f9fa","61fd928f2aab9a4440b535ba","","","","","","",""
"2948","key"," "," ","16.69929545454546","500","250","psychophysics","3","21257","0.0-3.0","5ee8fdbb6b0e1325a483f9fa","61fd928f2aab9a4440b535ba","","","","","","",""
"1657","key"," "," ","16.698520408163283","500","250","psychophysics","4","22922","0.0-4.0","5ee8fdbb6b0e1325a483f9fa","61fd928f2aab9a4440b535ba","","","","","","",""
"2855","key"," "," ","16.69882456140351","500","250","psychophysics","5","25786","0.0-5.0","5ee8fdbb6b0e1325a483f9fa","61fd928f2aab9a4440b535ba","","","","","","",""
"3332","key"," "," ","16.69956281407035","500","250","psychophysics","6","29123","0.0-6.0","5ee8fdbb6b0e1325a483f9fa","61fd928f2aab9a4440b535ba","","","","","","",""
"8812","key"," "," ","16.698815939278933","500","250","psychophysics","7","37939","0.0-7.0","5ee8fdbb6b0e1325a483f9fa","61fd928f2aab9a4440b535ba","","","","","","",""
"6213","key"," "," ","16.698849056603777","500","250","psychophysics","8","44156","0.0-8.0","5ee8fdbb6b0e1325a483f9fa","61fd928f2aab9a4440b535ba","","","","","","",""
"2459","key"," "," ","16.699054421768697","500","250","psychophysics","9","46620","0.0-9.0","5ee8fdbb6b0e1325a483f9fa","61fd928f2aab9a4440b535ba","","","","","","",""
"2836","key"," "," ","16.699213017751486","500","250","psychophysics","10","49461","0.0-10.0","5ee8fdbb6b0e1325a483f9fa","61fd928f2aab9a4440b535ba","","","","","","",""
"1660","key"," "," ","16.69748979591836","500","250","psychophysics","11","51125","0.0-11.0","5ee8fdbb6b0e1325a483f9fa","61fd928f2aab9a4440b535ba","","","","","","",""
"5585","key"," "," ","16.69914071856287","500","250","psychophysics","12","56717","0.0-12.0","5ee8fdbb6b0e1325a483f9fa","61fd928f2aab9a4440b535ba","1","0","24","27","","",""
"7833","key"," "," ","16.699068230277195","500","250","psychophysics","13","64558","0.0-13.0","5ee8fdbb6b0e1325a483f9fa","61fd928f2aab9a4440b535ba","1","5","52","56","","",""
"4789","key"," "," ","16.698625874125902","500","250","psychophysics","14","69351","0.0-14.0","5ee8fdbb6b0e1325a483f9fa","61fd928f2aab9a4440b535ba","1","0","38","46","","",""
