"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","phase","guide","targ","resp","stimulus","is5","stim"
"9782","key"," "," ","16.768486348122863","500","250","psychophysics","0","9843","0.0-0.0","Jeff","Jeff","","","","","","",""
"5618","key"," "," ","16.71150447761194","500","250","psychophysics","1","15464","0.0-1.0","Jeff","Jeff","","","","","","",""
"4302","key"," "," ","16.711000000000002","500","250","psychophysics","2","19772","0.0-2.0","Jeff","Jeff","","","","","","",""
"5518","key"," "," ","16.711617021276595","500","250","psychophysics","3","25293","0.0-3.0","Jeff","Jeff","","","","","","",""
"1473","key"," "," ","16.71099999999999","500","250","psychophysics","4","26770","0.0-4.0","Jeff","Jeff","","","","","","",""
"1423","key"," "," ","16.71099999999998","500","250","psychophysics","5","28197","0.0-5.0","Jeff","Jeff","","","","","","",""
"2917","key"," "," ","16.711","500","250","psychophysics","6","31121","0.0-6.0","Jeff","Jeff","","","","","","",""
"6241","key"," "," ","16.71144772117963","500","250","psychophysics","7","37367","0.0-7.0","Jeff","Jeff","","","","","","",""
"2847","key"," "," ","16.711","500","250","psychophysics","8","40216","0.0-8.0","Jeff","Jeff","","","","","","",""
"1628","key"," "," ","16.710999999999967","500","250","psychophysics","9","41849","0.0-9.0","Jeff","Jeff","","","","","","",""
"2933","key"," "," ","16.712102857142828","500","250","psychophysics","10","44785","0.0-10.0","Jeff","Jeff","","","","","","",""
"2070","key"," "," ","16.71100000000001","500","250","psychophysics","11","46858","0.0-11.0","Jeff","Jeff","","","","","","",""
"5209","key"," "," ","16.71100000000002","500","250","psychophysics","12","52070","0.0-12.0","Jeff","Jeff","1","0","27","37","","",""
"4192","key"," "," ","16.71160800000001","500","250","psychophysics","13","56265","0.0-13.0","Jeff","Jeff","1","5","27","35","","",""
"11956","key"," "," ","16.734698457222997","500","250","psychophysics","14","68224","0.0-14.0","Jeff","Jeff","1","0","56","80","","",""
"7050","key"," "," ","16.711452606635053","500","250","psychophysics","15","75281","0.0-15.0","Jeff","Jeff","1","5","38","52","","",""
"6021","key"," "," ","16.710999999999988","500","250","psychophysics","16","81305","0.0-16.0","Jeff","Jeff","1","0","38","50","","",""
"5963","key"," "," ","16.71141011235956","500","250","psychophysics","17","87273","0.0-17.0","Jeff","Jeff","1","5","45","56","","",""
"9228","key"," "," ","16.71135144927536","500","250","psychophysics","18","96507","0.0-18.0","Jeff","Jeff","1","0","45","68","","",""
"7024","key"," "," ","16.711","500","250","psychophysics","19","103534","0.0-19.0","Jeff","Jeff","1","5","60","75","","",""
"8824","key"," "," ","16.71136742424242","500","250","psychophysics","20","112365","0.0-20.0","Jeff","Jeff","1","0","43","62","","",""
"5985","key"," "," ","16.71149579831933","500","250","psychophysics","21","118353","0.0-21.0","Jeff","Jeff","1","5","41","60","","",""
"7836","key"," "," ","16.71132264957263","500","250","psychophysics","22","126193","0.0-22.0","Jeff","Jeff","1","0","39","57","","",""
"4760","key"," "," ","16.710999999999995","500","250","psychophysics","23","130957","0.0-23.0","Jeff","Jeff","1","5","29","43","","",""
"5713","key"," "," ","16.711580645161305","500","250","psychophysics","24","136673","0.0-24.0","Jeff","Jeff","1","0","25","42","","",""
"8008","key"," "," ","16.711425887265108","500","250","psychophysics","25","144690","0.0-25.0","Jeff","Jeff","1","5","50","60","","",""
"9731","key"," "," ","16.71130292598966","500","250","psychophysics","26","154424","0.0-26.0","Jeff","Jeff","1","0","58","65","","",""
"6485","key"," "," ","16.710999999999967","500","250","psychophysics","27","160915","0.0-27.0","Jeff","Jeff","1","5","41","48","","",""
"12503","key"," "," ","16.711232931726904","500","250","psychophysics","28","173421","0.0-28.0","Jeff","Jeff","1","0","51","74","","",""
"6785","key"," "," ","16.7113061728395","500","250","psychophysics","29","180211","0.0-29.0","Jeff","Jeff","1","5","49","62","","",""
"6370","key"," "," ","16.71167454068238","500","250","psychophysics","30","186586","0.0-30.0","Jeff","Jeff","1","0","36","50","","",""
"7307","key"," "," ","16.710999999999963","500","250","psychophysics","31","193896","0.0-31.0","Jeff","Jeff","1","5","40","57","","",""
"1794","key"," "," ","16.712355140186727","500","250","psychophysics","32","195696","0.0-32.0","Jeff","Jeff","","","","","","",""
"2908","key"," "," ","16.71099999999998","500","250","psychophysics","33","198607","0.0-33.0","Jeff","Jeff","","","","","","",""
"2383","key"," "," ","16.710999999999995","500","250","psychophysics","34","200994","0.0-34.0","Jeff","Jeff","","","","","","",""
"19462","key"," "," ","16.72569045571795","500","250","psychophysics","35","220460","0.0-35.0","Jeff","Jeff","2","0","60","86","","",""
"1726","key"," "," ","16.710999999999974","500","250","psychophysics","36","222189","0.0-36.0","Jeff","Jeff","","","","","","",""
"15041","key"," "," ","16.71129111111109","500","250","psychophysics","37","237236","0.0-37.0","Jeff","Jeff","2","0","51","63","","",""
"1984","key"," "," ","16.711000000000134","500","250","psychophysics","38","239223","0.0-38.0","Jeff","Jeff","","","","","","",""
"13554","key"," "," ","16.71135555555556","500","250","psychophysics","39","252780","0.0-39.0","Jeff","Jeff","2","0","55","62","","",""
"3038","key"," "," ","16.711950276243","500","250","psychophysics","40","255821","0.0-40.0","Jeff","Jeff","","","","","","",""
"10685","key"," "," ","16.711296238244515","500","250","psychophysics","41","266507","0.0-41.0","Jeff","Jeff","2","0","48","54","","",""
"1393","key"," "," ","16.710999999999725","500","250","psychophysics","42","267904","0.0-42.0","Jeff","Jeff","","","","","","",""
"5400","key"," "," ","16.71099999999994","500","250","psychophysics","43","273307","0.0-43.0","Jeff","Jeff","2","0","41","41","","",""
"2142","key"," "," ","16.71244094488174","500","250","psychophysics","44","275451","0.0-44.0","Jeff","Jeff","","","","","","",""
"9677","key"," "," ","16.711300518134703","500","250","psychophysics","45","285133","0.0-45.0","Jeff","Jeff","2","0","45","47","","",""
"1703","key"," "," ","16.71099999999987","500","250","psychophysics","46","286839","0.0-46.0","Jeff","Jeff","","","","","","",""
"9061","key"," "," ","16.711354898336403","500","250","psychophysics","47","295902","0.0-47.0","Jeff","Jeff","2","0","56","58","","",""
"1677","key"," "," ","16.71100000000035","500","250","psychophysics","48","297582","0.0-48.0","Jeff","Jeff","","","","","","",""
"7305","key"," "," ","16.711369266055062","500","250","psychophysics","49","304890","0.0-49.0","Jeff","Jeff","2","0","28","31","","",""
"1460","key"," "," ","16.711000000000208","500","250","psychophysics","50","306354","0.0-50.0","Jeff","Jeff","","","","","","",""
"9029","key"," "," ","16.711278293135358","500","250","psychophysics","51","315386","0.0-51.0","Jeff","Jeff","2","0","41","41","","",""
"1283","key"," "," ","16.711000000000286","500","250","psychophysics","52","316671","0.0-52.0","Jeff","Jeff","","","","","","",""
"8824","key"," "," ","16.711316888045545","500","250","psychophysics","53","325498","0.0-53.0","Jeff","Jeff","2","0","34","31","","",""
"2848","key"," "," ","16.711000000000315","500","250","psychophysics","54","328348","0.0-54.0","Jeff","Jeff","","","","","","",""
"9975","key"," "," ","16.711357382550403","500","250","psychophysics","55","338324","0.0-55.0","Jeff","Jeff","2","0","22","25","","",""
"1542","key"," "," ","16.71099999999937","500","250","psychophysics","56","339869","0.0-56.0","Jeff","Jeff","","","","","","",""
"7150","key"," "," ","16.71147072599534","500","250","psychophysics","57","347023","0.0-57.0","Jeff","Jeff","2","0","31","28","","",""
"1698","key"," "," ","16.71099999999987","500","250","psychophysics","58","348724","0.0-58.0","Jeff","Jeff","","","","","","",""
"15219","key"," "," ","16.71119340659339","500","250","psychophysics","59","363946","0.0-59.0","Jeff","Jeff","2","0","56","48","","",""
"1122","key"," "," ","16.71366666666687","500","250","psychophysics","60","365071","0.0-60.0","Jeff","Jeff","","","","","","",""
"13316","key"," "," ","16.711232412060305","500","250","psychophysics","61","378390","0.0-61.0","Jeff","Jeff","2","0","48","49","","",""
"1329","key"," "," ","16.711000000000666","500","250","psychophysics","62","379722","0.0-62.0","Jeff","Jeff","","","","","","",""
"9085","key"," "," ","16.711303867403338","500","250","psychophysics","63","388810","0.0-63.0","Jeff","Jeff","2","0","42","41","","",""
"1144","key"," "," ","16.71099999999982","500","250","psychophysics","64","389958","0.0-64.0","Jeff","Jeff","","","","","","",""
"1963","key"," "," ","16.710999999999796","500","250","psychophysics","65","391927","0.0-65.0","Jeff","Jeff","","","","","","",""
"1530","key"," "," ","16.71100000000001","500","250","psychophysics","66","393459","0.0-66.0","Jeff","Jeff","","","","","","",""
"10635","key"," "," ","16.711297637795273","500","250","psychophysics","67","404097","0.0-67.0","Jeff","Jeff","3","5","42","35","","",""
"8551","key"," "," ","16.71137181996086","500","250","psychophysics","68","412654","0.0-68.0","Jeff","Jeff","3","0","23","24","","",""
"11983","key"," "," ","16.711255230125484","500","250","psychophysics","69","424644","0.0-69.0","Jeff","Jeff","3","5","46","34","","",""
"11042","key"," "," ","16.711533333333367","500","250","psychophysics","70","435690","0.0-70.0","Jeff","Jeff","3","0","37","33","","",""
"5312","key"," "," ","16.711000000000144","500","250","psychophysics","71","441004","0.0-71.0","Jeff","Jeff","3","5","21","26","","",""
"16621","key"," "," ","16.71136217303827","500","250","psychophysics","72","457629","0.0-72.0","Jeff","Jeff","3","0","54","63","","",""
"4576","key"," "," ","16.71100000000001","500","250","psychophysics","73","462208","0.0-73.0","Jeff","Jeff","3","5","32","27","","",""
"7701","key"," "," ","16.711400000000012","500","250","psychophysics","74","469913","0.0-74.0","Jeff","Jeff","3","0","23","24","","",""
"6927","key"," "," ","16.711394673123444","500","250","psychophysics","75","476843","0.0-75.0","Jeff","Jeff","3","5","34","27","","",""
"15874","key"," "," ","16.711190526315782","500","250","psychophysics","76","492724","0.0-76.0","Jeff","Jeff","3","0","49","42","","",""
"5324","key"," "," ","16.71143217665626","500","250","psychophysics","77","498051","0.0-77.0","Jeff","Jeff","3","5","30","21","","",""
"5083","key"," "," ","16.711000000000098","500","250","psychophysics","78","503140","0.0-78.0","Jeff","Jeff","3","0","23","23","","",""
"7499","key"," "," ","17.210995402298842","500","250","psychophysics","79","510641","0.0-79.0","Jeff","Jeff","3","5","44","29","","",""
"9814","key"," "," ","16.71115529010233","500","250","psychophysics","80","520458","0.0-80.0","Jeff","Jeff","3","0","49","49","","",""
"7692","key"," "," ","16.711382608695597","500","250","psychophysics","81","528153","0.0-81.0","Jeff","Jeff","3","5","45","33","","",""
"12840","key"," "," ","16.711237288135557","500","250","psychophysics","82","540997","0.0-82.0","Jeff","Jeff","3","0","48","52","","",""
"8462","key"," "," ","16.711511857707556","500","250","psychophysics","83","549464","0.0-83.0","Jeff","Jeff","3","5","31","23","","",""
"5671","key"," "," ","16.711547337278184","500","250","psychophysics","84","555138","0.0-84.0","Jeff","Jeff","3","0","29","38","","",""
"6176","key"," "," ","16.710999999999835","500","250","psychophysics","85","561318","0.0-85.0","Jeff","Jeff","3","5","40","26","","",""
"8126","key"," "," ","16.7113333333333","500","250","psychophysics","86","569447","0.0-86.0","Jeff","Jeff","3","0","33","44","","",""
"1604","key"," "," ","16.711000000000443","500","250","psychophysics","87","571055","0.0-87.0","Jeff","Jeff","","","","","","",""
"3626","","","v","","","","html-keyboard-response","88","574683","0.0-88.0","Jeff","Jeff","","","","","<p> In this part of the experiment, we are going present digits 2, 3, 4, 6, 7, and 8.  Your job is to say whether the digit is less than or greater than 5.  For example, 3 is less than 5 and 7 is greater than 5.  If the digit is less than 5, press to v key; if it is greater than 5, press the n key. We are going to do 200 of these in total, but only 50 righ now. They go real fast.</p>  <br><br>  Ready? (press v or n)","",""
"2916","key","n","n","16.712011428571174","500","250","psychophysics","89","577606","0.0-89.0","Jeff","Jeff","4","","","","","1","6"
"null","","","null","","","","html-keyboard-response","90","578108","0.0-90.0","Jeff","Jeff","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2526","key","v","v","16.711000000000222","500","250","psychophysics","91","580638","0.0-91.0","Jeff","Jeff","4","","","","","1","2"
"null","","","null","","","","html-keyboard-response","92","581140","0.0-92.0","Jeff","Jeff","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2729","key","v","v","16.710999999999597","500","250","psychophysics","93","583873","0.0-93.0","Jeff","Jeff","4","","","","","1","4"
"null","","","null","","","","html-keyboard-response","94","584378","0.0-94.0","Jeff","Jeff","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2825","key","v","v","16.712142011834743","500","250","psychophysics","95","587207","0.0-95.0","Jeff","Jeff","4","","","","","1","2"
