"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","stimulus","phase","is5","stim"
"6353","key"," "," ","16.76952380952381","500","250","psychophysics","0","6366","0.0-0.0","null","null","","","",""
"8878","","","v","","","","html-keyboard-response","1","15248","0.0-1.0","null","null","<p> In this part of the experiment, we are going present digits 2, 3, 4, 6, 7, and 8.  Your job is to say whether the digit is less than or greater than 5.  For example, 3 is less than 5 and 7 is greater than 5.  If the digit is less than 5, press to v key; if it is greater than 5, press the n key. We are going to do 200 of these in total, but only 50 righ now. They go real fast.</p>  <br><br>  Ready? (press v or n)","","",""
"2620","key","n","n","16.63772151898733","500","250","psychophysics","2","17890","0.0-2.0","null","null","","4","1","8"
"null","","","null","","","","html-keyboard-response","3","18394","0.0-3.0","null","null","<p style=""color:darkgreen;"">Correct :)</p>","","",""
"3123","key","v","v","16.67475935828877","500","250","psychophysics","4","21523","0.0-4.0","null","null","","4","1","3"
"null","","","null","","","","html-keyboard-response","5","22026","0.0-5.0","null","null","<p style=""color:darkgreen;"">Correct :)</p>","","",""
"2628","key","v","v","16.595696202531638","500","250","psychophysics","6","24661","0.0-6.0","null","null","","4","1","2"
"null","","","null","","","","html-keyboard-response","7","25163","0.0-7.0","null","null","<p style=""color:darkgreen;"">Correct :)</p>","","",""
"825","","","v","","","","html-keyboard-response","8","25990","0.0-8.0","null","null","<p> Ok, now we are going present the same digits as before.  Your job is to say whether the digit is even or odd  If the digit is even, press to v key; if it is odd, press the n key. </p>  <br><br>  Ready? (press v or n)","","",""
"2515","key","n","n","16.63364238410596","500","250","psychophysics","9","28508","0.0-9.0","null","null","","5","0","8"
"null","","","null","","","","html-keyboard-response","10","29011","0.0-10.0","null","null","<p style=""color:darkgreen;"">Correct :)</p>","","",""
"2800","key","n","n","16.627261904761887","500","250","psychophysics","11","31817","0.0-11.0","null","null","","5","0","6"
"null","","","null","","","","html-keyboard-response","12","32319","0.0-12.0","null","null","<p style=""color:darkgreen;"">Correct :)</p>","","",""
"2618","key","v","v","16.591392405063306","500","250","psychophysics","13","34944","0.0-13.0","null","null","","5","0","3"
"null","","","null","","","","html-keyboard-response","14","35446","0.0-14.0","null","null","<p style=""color:darkgreen;"">Correct :)</p>","","",""
"1212","","","n","","","","html-keyboard-response","15","36660","0.0-15.0","null","null","<p> Last part of the experiment. Here, the tasks are going to switch.  For some trials, your job is to decide if the digit is less than or greater than 5.  For others, it is to decide if the digit is even or odd.  You will be told which type of trial the current one is.  But, pay attention, the type of trial changes too.</p>  <br><br>  Ready? (press v or n)","","",""
"2895","key","v","v","16.6750289017341","500","250","psychophysics","16","39561","0.0-16.0","null","null","","6","1","8"
"null","","","null","","","","html-keyboard-response","17","40063","0.0-17.0","null","null","<p style=""color:red;"">Error :(</p>","","",""
"2811","key","n","n","16.670833333333317","500","250","psychophysics","18","42881","0.0-18.0","null","null","","6","1","8"
"null","","","null","","","","html-keyboard-response","19","43382","0.0-19.0","null","null","<p style=""color:darkgreen;"">Correct :)</p>","","",""
"2878","key","n","n","16.672093023255805","500","250","psychophysics","20","46266","0.0-20.0","null","null","","6","1","7"
"null","","","null","","","","html-keyboard-response","21","46767","0.0-21.0","null","null","<p style=""color:darkgreen;"">Correct :)</p>","","",""
