"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","phase","guide","targ","resp","stimulus","is5","stim"
"3961","key"," "," ","16.680255319148937","500","250","psychophysics","0","3963","0.0-0.0","5f467b0a0d1aef037515c8c9","62014e0904f12d7fa5489ecf","","","","","","",""
"2404","key"," "," ","16.68027777777778","500","250","psychophysics","1","6369","0.0-1.0","5f467b0a0d1aef037515c8c9","62014e0904f12d7fa5489ecf","","","","","","",""
"3045","key"," "," ","16.680331491712703","500","250","psychophysics","2","9415","0.0-2.0","5f467b0a0d1aef037515c8c9","62014e0904f12d7fa5489ecf","","","","","","",""
"1341","key"," "," ","16.68025","500","250","psychophysics","3","10756","0.0-3.0","5f467b0a0d1aef037515c8c9","62014e0904f12d7fa5489ecf","","","","","","",""
"4042","key"," "," ","16.680331950207464","500","250","psychophysics","4","14800","0.0-4.0","5f467b0a0d1aef037515c8c9","62014e0904f12d7fa5489ecf","","","","","","",""
"4810","key"," "," ","16.680278745644603","500","250","psychophysics","5","19610","0.0-5.0","5f467b0a0d1aef037515c8c9","62014e0904f12d7fa5489ecf","","","","","","",""
"3227","key"," "," ","16.680207253886003","500","250","psychophysics","6","22837","0.0-6.0","5f467b0a0d1aef037515c8c9","62014e0904f12d7fa5489ecf","","","","","","",""
"3560","key"," "," ","16.680377358490556","500","250","psychophysics","7","26398","0.0-7.0","5f467b0a0d1aef037515c8c9","62014e0904f12d7fa5489ecf","","","","","","",""
"2924","key"," "," ","16.680228571428575","500","250","psychophysics","8","29325","0.0-8.0","5f467b0a0d1aef037515c8c9","62014e0904f12d7fa5489ecf","0","0","49","51","","",""
"3287","key"," "," ","16.68030612244898","500","250","psychophysics","9","32612","0.0-9.0","5f467b0a0d1aef037515c8c9","62014e0904f12d7fa5489ecf","","","","","","",""
"3633","key"," "," ","16.680276497695864","500","250","psychophysics","10","36245","0.0-10.0","5f467b0a0d1aef037515c8c9","62014e0904f12d7fa5489ecf","","","","","","",""
"4016","key"," "," ","16.68033333333333","500","250","psychophysics","11","40263","0.0-11.0","5f467b0a0d1aef037515c8c9","62014e0904f12d7fa5489ecf","","","","","","",""
"3802","key"," "," ","16.680264317180608","500","250","psychophysics","12","44065","0.0-12.0","5f467b0a0d1aef037515c8c9","62014e0904f12d7fa5489ecf","","","","","","",""
"2260","key"," "," ","16.68029850746266","500","250","psychophysics","13","46327","0.0-13.0","5f467b0a0d1aef037515c8c9","62014e0904f12d7fa5489ecf","","","","","","",""
"3227","key"," "," ","16.68031088082903","500","250","psychophysics","14","49554","0.0-14.0","5f467b0a0d1aef037515c8c9","62014e0904f12d7fa5489ecf","","","","","","",""
"3484","key"," "," ","16.68028846153846","500","250","psychophysics","15","53039","0.0-15.0","5f467b0a0d1aef037515c8c9","62014e0904f12d7fa5489ecf","","","","","","",""
"1527","key"," "," ","16.680222222222234","500","250","psychophysics","16","54567","0.0-16.0","5f467b0a0d1aef037515c8c9","62014e0904f12d7fa5489ecf","","","","","","",""
"3023","key"," "," ","16.680222222222195","500","250","psychophysics","17","57590","0.0-17.0","5f467b0a0d1aef037515c8c9","62014e0904f12d7fa5489ecf","1","0","59","59","","",""
"763","key"," "," ","16.680444444444504","500","250","psychophysics","18","58356","0.0-18.0","5f467b0a0d1aef037515c8c9","62014e0904f12d7fa5489ecf","1","5","32","10","","",""
"4165","key"," "," ","16.680321285140568","500","250","psychophysics","19","62523","0.0-19.0","5f467b0a0d1aef037515c8c9","62014e0904f12d7fa5489ecf","1","0","24","21","","",""
"2822","key"," "," ","16.68023809523809","500","250","psychophysics","20","65344","0.0-20.0","5f467b0a0d1aef037515c8c9","62014e0904f12d7fa5489ecf","1","5","45","38","","",""
"4945","key"," "," ","16.680270270270274","500","250","psychophysics","21","70292","0.0-21.0","5f467b0a0d1aef037515c8c9","62014e0904f12d7fa5489ecf","1","0","57","75","","",""
"2997","key"," "," ","16.68033519553072","500","250","psychophysics","22","73292","0.0-22.0","5f467b0a0d1aef037515c8c9","62014e0904f12d7fa5489ecf","1","5","58","63","","",""
"2611","key"," "," ","16.680258064516146","500","250","psychophysics","23","75904","0.0-23.0","5f467b0a0d1aef037515c8c9","62014e0904f12d7fa5489ecf","1","0","34","39","","",""
