"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","phase","guide","targ","resp","stimulus","is5","stim"
"6159","key"," "," ","16.756330623306233","500","250","psychophysics","0","6202","0.0-0.0","55895b93fdf99b6bd06017c4","6213cbf3306309c3662060a6","","","","","","",""
"4495","key"," "," ","16.665999999999997","500","250","psychophysics","1","10708","0.0-1.0","55895b93fdf99b6bd06017c4","6213cbf3306309c3662060a6","","","","","","",""
"6143","key"," "," ","16.71141144414169","500","250","psychophysics","2","16859","0.0-2.0","55895b93fdf99b6bd06017c4","6213cbf3306309c3662060a6","","","","","","",""
"14437","key"," "," ","16.666","500","250","psychophysics","3","31307","0.0-3.0","55895b93fdf99b6bd06017c4","6213cbf3306309c3662060a6","","","","","","",""
"7223","key"," "," ","16.665999999999993","500","250","psychophysics","4","38542","0.0-4.0","55895b93fdf99b6bd06017c4","6213cbf3306309c3662060a6","","","","","","",""
"22953","key"," "," ","16.666","500","250","psychophysics","5","61505","0.0-5.0","55895b93fdf99b6bd06017c4","6213cbf3306309c3662060a6","","","","","","",""
"8056","key"," "," ","16.665999999999986","500","250","psychophysics","6","69572","0.0-6.0","55895b93fdf99b6bd06017c4","6213cbf3306309c3662060a6","","","","","","",""
"5023","key"," "," ","16.666","500","250","psychophysics","7","74603","0.0-7.0","55895b93fdf99b6bd06017c4","6213cbf3306309c3662060a6","","","","","","",""
"11361","key"," "," ","16.666","500","250","psychophysics","8","85976","0.0-8.0","55895b93fdf99b6bd06017c4","6213cbf3306309c3662060a6","0","0","50","44","","",""
"10378","key"," "," ","16.692837359098217","500","250","psychophysics","9","96359","0.0-9.0","55895b93fdf99b6bd06017c4","6213cbf3306309c3662060a6","","","","","","",""
"36234","key"," "," ","16.681353293413178","500","250","psychophysics","10","132601","0.0-10.0","55895b93fdf99b6bd06017c4","6213cbf3306309c3662060a6","","","","","","",""
"4735","key"," "," ","16.666","500","250","psychophysics","11","137341","0.0-11.0","55895b93fdf99b6bd06017c4","6213cbf3306309c3662060a6","","","","","","",""
"4406","key"," "," ","16.729610687022884","500","250","psychophysics","12","141751","0.0-12.0","55895b93fdf99b6bd06017c4","6213cbf3306309c3662060a6","","","","","","",""
"2871","key"," "," ","16.665999999999976","500","250","psychophysics","13","144633","0.0-13.0","55895b93fdf99b6bd06017c4","6213cbf3306309c3662060a6","","","","","","",""
"4608","key"," "," ","16.66599999999997","500","250","psychophysics","14","149245","0.0-14.0","55895b93fdf99b6bd06017c4","6213cbf3306309c3662060a6","","","","","","",""
