"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","phase","guide","targ","resp","stimulus","is5","stim"
"4305","key"," "," ","8.415762645914395","500","250","psychophysics","0","4330","0.0-0.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"129923","key"," "," ","21.008922056921087","500","250","psychophysics","1","134255","0.0-1.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"1440","key"," "," ","8.318447674418525","500","250","psychophysics","2","135699","0.0-2.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"643","key"," "," ","8.31863636363641","500","250","psychophysics","3","136348","0.0-3.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"709","key"," "," ","8.317399999999907","500","250","psychophysics","4","137061","0.0-4.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"7327","key"," "," ","8.318589772727268","500","250","psychophysics","5","144391","0.0-5.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"7114","key"," "," ","8.318532786885248","500","250","psychophysics","6","151507","0.0-6.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"3585","key"," "," ","8.318635730858524","500","250","psychophysics","7","155097","0.0-7.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"13039","key"," "," ","8.318491071428571","500","250","psychophysics","8","168148","0.0-8.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","0","0","52","58","","",""
"1516","key"," "," ","8.318686813186915","500","250","psychophysics","9","169667","0.0-9.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"1145","key"," "," ","8.379198529411738","500","250","psychophysics","10","170817","0.0-10.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"817","key"," "," ","8.318278350515385","500","250","psychophysics","11","171637","0.0-11.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"1783","key"," "," ","8.318551401869218","500","250","psychophysics","12","173425","0.0-12.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"884","key"," "," ","8.396626168224149","500","250","psychophysics","13","174331","0.0-13.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"1536","key"," "," ","8.318266304347755","500","250","psychophysics","14","175871","0.0-14.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"2612","key"," "," ","8.3185350318471","500","250","psychophysics","15","178489","0.0-15.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"1092","key"," "," ","8.31744274809154","500","250","psychophysics","16","179583","0.0-16.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"3816","key"," "," ","8.318417030567668","500","250","psychophysics","17","183402","0.0-17.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","1","0","39","40","","",""
"3368","key"," "," ","8.318393564356422","500","250","psychophysics","18","186772","0.0-18.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","1","5","22","22","","",""
"5107","key"," "," ","8.31853344208809","500","250","psychophysics","19","191882","0.0-19.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","1","0","50","55","","",""
"2688","key"," "," ","8.317829721362273","500","250","psychophysics","20","194574","0.0-20.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","1","5","27","26","","",""
"4859","key"," "," ","8.318571183533422","500","250","psychophysics","21","199436","0.0-21.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","1","0","59","57","","",""
"3803","key"," "," ","8.31864770240701","500","250","psychophysics","22","203244","0.0-22.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","1","5","49","47","","",""
"2440","key"," "," ","8.318313993174073","500","250","psychophysics","23","205687","0.0-23.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","1","0","41","38","","",""
"3921","key"," "," ","8.3184425531915","500","250","psychophysics","24","209610","0.0-24.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","1","5","25","30","","",""
"2787","key"," "," ","8.318483582089582","500","250","psychophysics","25","212401","0.0-25.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","1","0","36","38","","",""
"3461","key"," "," ","8.318568674698808","500","250","psychophysics","26","215864","0.0-26.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","1","5","24","25","","",""
"4760","key"," "," ","8.318465034965055","500","250","psychophysics","27","220627","0.0-27.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","1","0","58","63","","",""
"3697","key"," "," ","8.318909706546279","500","250","psychophysics","28","224327","0.0-28.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","1","5","46","50","","",""
"3725","key"," "," ","8.318377232142861","500","250","psychophysics","29","228056","0.0-29.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","1","0","52","55","","",""
"7567","key"," "," ","8.318514851485148","500","250","psychophysics","30","235626","0.0-30.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","1","5","49","55","","",""
"4294","key"," "," ","8.318782524271864","500","250","psychophysics","31","239923","0.0-31.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","1","0","32","35","","",""
"4274","key"," "," ","8.318266536964995","500","250","psychophysics","32","244203","0.0-32.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","1","5","53","52","","",""
"3338","key"," "," ","8.318480000000054","500","250","psychophysics","33","247544","0.0-33.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","1","0","31","36","","",""
"2347","key"," "," ","8.31876241134753","500","250","psychophysics","34","249895","0.0-34.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","1","5","26","30","","",""
"4203","key"," "," ","8.318493069306944","500","250","psychophysics","35","254101","0.0-35.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","1","0","54","64","","",""
"4909","key"," "," ","8.318478777589139","500","250","psychophysics","36","259013","0.0-36.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","1","5","54","59","","",""
"1649","key"," "," ","8.318712121212174","500","250","psychophysics","37","260665","0.0-37.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"2818","key"," "," ","8.317893491124359","500","250","psychophysics","38","263485","0.0-38.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"633","key"," "," ","8.317933333333738","500","250","psychophysics","39","264120","0.0-39.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"2506","key"," "," ","8.317794019933611","500","250","psychophysics","40","266629","0.0-40.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","2","0","31","38","","",""
"1490","key"," "," ","8.318722222222195","500","250","psychophysics","41","268135","0.0-41.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"2239","key"," "," ","8.318317164179136","500","250","psychophysics","42","270376","0.0-42.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","2","0","36","37","","",""
"1214","key"," "," ","8.318324137931079","500","250","psychophysics","43","271592","0.0-43.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"5945","key"," "," ","8.318475524475472","500","250","psychophysics","44","277543","0.0-44.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","2","0","45","45","","",""
"1046","key"," "," ","8.317535999999848","500","250","psychophysics","45","278591","0.0-45.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"5947","key"," "," ","8.31851960784315","500","250","psychophysics","46","284540","0.0-46.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","2","0","59","61","","",""
"920","key"," "," ","8.318500000000297","500","250","psychophysics","47","285463","0.0-47.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"3216","key"," "," ","8.31875906735758","500","250","psychophysics","48","288681","0.0-48.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","2","0","31","34","","",""
"783","key"," "," ","8.31792473118259","500","250","psychophysics","49","289467","0.0-49.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"6727","key"," "," ","8.328628252788079","500","250","psychophysics","50","296196","0.0-50.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","2","0","57","56","","",""
"948","key"," "," ","8.319061946902687","500","250","psychophysics","51","297146","0.0-51.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"1678","key"," "," ","8.318123762376231","500","250","psychophysics","52","298835","0.0-52.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","2","0","34","25","","",""
"770","key"," "," ","8.318532608695577","500","250","psychophysics","53","299608","0.0-53.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"2721","key"," "," ","8.318519877675715","500","250","psychophysics","54","302333","0.0-54.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","2","0","26","30","","",""
"712","key"," "," ","8.318729411764755","500","250","psychophysics","55","303048","0.0-55.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"4281","key"," "," ","8.318507782101145","500","250","psychophysics","56","307333","0.0-56.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","2","0","42","44","","",""
"823","key"," "," ","8.319071428571133","500","250","psychophysics","57","308158","0.0-57.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"2286","key"," "," ","8.318467153284706","500","250","psychophysics","58","310446","0.0-58.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","2","0","46","44","","",""
"867","key"," "," ","8.317576923077398","500","250","psychophysics","59","311316","0.0-59.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"2038","key"," "," ","8.318385245901586","500","250","psychophysics","60","313358","0.0-60.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","2","0","33","35","","",""
"578","key"," "," ","8.31908695652163","500","250","psychophysics","61","313938","0.0-61.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"1551","key"," "," ","8.318403225806442","500","250","psychophysics","62","315492","0.0-62.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","2","0","35","31","","",""
"651","key"," "," ","8.31854545454534","500","250","psychophysics","63","316146","0.0-63.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"1497","key"," "," ","8.318516666666579","500","250","psychophysics","64","317646","0.0-64.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","2","0","36","33","","",""
"555","key"," "," ","8.318530303030098","500","250","psychophysics","65","318204","0.0-65.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"1219","key"," "," ","8.318465753424553","500","250","psychophysics","66","319426","0.0-66.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","2","0","26","28","","",""
"596","key"," "," ","8.319323943661441","500","250","psychophysics","67","320025","0.0-67.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"1192","key"," "," ","8.318154929577156","500","250","psychophysics","68","321220","0.0-68.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","2","0","28","29","","",""
"595","key"," "," ","8.31819718309865","500","250","psychophysics","69","321819","0.0-69.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"1016","key"," "," ","8.318295081967172","500","250","psychophysics","70","322839","0.0-70.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"1242","key"," "," ","8.318731543624027","500","250","psychophysics","71","324085","0.0-71.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","","","","","","",""
"3990","key"," "," ","8.318484342379966","500","250","psychophysics","72","328077","0.0-72.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","3","5","53","56","","",""
"2776","key"," "," ","8.318627627627636","500","250","psychophysics","73","330855","0.0-73.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","3","0","47","60","","",""
"2012","key"," "," ","8.318742738589133","500","250","psychophysics","74","332871","0.0-74.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","3","5","53","49","","",""
"2274","key"," "," ","8.31875091575081","500","250","psychophysics","75","335149","0.0-75.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","3","0","39","55","","",""
"1695","key"," "," ","8.318522167487846","500","250","psychophysics","76","336847","0.0-76.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","3","5","35","35","","",""
"2102","key"," "," ","8.318484126984249","500","250","psychophysics","77","338952","0.0-77.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","3","0","54","46","","",""
"1937","key"," "," ","8.31853017241369","500","250","psychophysics","78","340893","0.0-78.0","59306fc35f170a00014358da","6213d4965183f52faaa88798","3","5","37","41","","",""
