"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","phase","guide","targ","resp","stimulus","is5","stim"
"4120","key"," "," ","16.961697580645158","500","250","psychophysics","0","4202","0.0-0.0","5b101f7830d562000155a139","6213d213cf47f5c80707b383","","","","","","",""
"4686","key"," "," ","17.30639033457249","500","250","psychophysics","1","8892","0.0-1.0","5b101f7830d562000155a139","6213d213cf47f5c80707b383","","","","","","",""
"2902","key"," "," ","16.626359999999995","500","250","psychophysics","2","11801","0.0-2.0","5b101f7830d562000155a139","6213d213cf47f5c80707b383","","","","","","",""
"1398","key"," "," ","16.626433734939745","500","250","psychophysics","3","13201","0.0-3.0","5b101f7830d562000155a139","6213d213cf47f5c80707b383","","","","","","",""
"4066","key"," "," ","16.6263975409836","500","250","psychophysics","4","17273","0.0-4.0","5b101f7830d562000155a139","6213d213cf47f5c80707b383","","","","","","",""
"4317","key"," "," ","16.626416988416995","500","250","psychophysics","5","21592","0.0-5.0","5b101f7830d562000155a139","6213d213cf47f5c80707b383","","","","","","",""
"3445","key"," "," ","16.626572815533983","500","250","psychophysics","6","25041","0.0-6.0","5b101f7830d562000155a139","6213d213cf47f5c80707b383","","","","","","",""
"4051","key"," "," ","16.62632098765432","500","250","psychophysics","7","29096","0.0-7.0","5b101f7830d562000155a139","6213d213cf47f5c80707b383","","","","","","",""
"9411","key"," "," ","16.626351590106","500","250","psychophysics","8","38513","0.0-8.0","5b101f7830d562000155a139","6213d213cf47f5c80707b383","0","0","45","44","","",""
"5502","key"," "," ","16.6263878787879","500","250","psychophysics","9","44016","0.0-9.0","5b101f7830d562000155a139","6213d213cf47f5c80707b383","","","","","","",""
"5268","key"," "," ","16.6263924050633","500","250","psychophysics","10","49289","0.0-10.0","5b101f7830d562000155a139","6213d213cf47f5c80707b383","","","","","","",""
"6125","key"," "," ","16.62626158038146","500","250","psychophysics","11","55416","0.0-11.0","5b101f7830d562000155a139","6213d213cf47f5c80707b383","","","","","","",""
"3233","key"," "," ","16.626613402061867","500","250","psychophysics","12","58656","0.0-12.0","5b101f7830d562000155a139","6213d213cf47f5c80707b383","","","","","","",""
"2964","key"," "," ","16.626646067415717","500","250","psychophysics","13","61624","0.0-13.0","5b101f7830d562000155a139","6213d213cf47f5c80707b383","","","","","","",""
"3524","key"," "," ","16.626047393364885","500","250","psychophysics","14","65152","0.0-14.0","5b101f7830d562000155a139","6213d213cf47f5c80707b383","","","","","","",""
"3589","key"," "," ","16.626274418604673","500","250","psychophysics","15","68744","0.0-15.0","5b101f7830d562000155a139","6213d213cf47f5c80707b383","","","","","","",""
"2958","key"," "," ","16.626418079096066","500","250","psychophysics","16","71703","0.0-16.0","5b101f7830d562000155a139","6213d213cf47f5c80707b383","","","","","","",""
"10684","key"," "," ","16.62642523364485","500","250","psychophysics","17","82391","0.0-17.0","5b101f7830d562000155a139","6213d213cf47f5c80707b383","1","0","22","38","","",""
