"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","phase","guide","targ","resp","stimulus","is5","stim"
"8760","key"," "," ","17.18783170254403","500","250","psychophysics","0","8794","0.0-0.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"6093","key"," "," ","17.367942857142854","500","250","psychophysics","1","14890","0.0-1.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"4108","key"," "," ","16.665999999999997","500","250","psychophysics","2","19001","0.0-2.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"2668","key"," "," ","17.203612903225793","500","250","psychophysics","3","21686","0.0-3.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"3303","key"," "," ","16.751030612244904","500","250","psychophysics","4","24995","0.0-4.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"7850","key"," "," ","16.772833333333345","500","250","psychophysics","5","32849","0.0-5.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"3905","key"," "," ","16.666","500","250","psychophysics","6","36757","0.0-6.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"3492","key"," "," ","16.666000000000015","500","250","psychophysics","7","40252","0.0-7.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"13183","key"," "," ","16.666000000000004","500","250","psychophysics","8","53450","0.0-8.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","0","0","43","39","","",""
"4027","key"," "," ","16.666000000000004","500","250","psychophysics","9","57480","0.0-9.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"4239","key"," "," ","16.665999999999997","500","250","psychophysics","10","61725","0.0-10.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"4310","key"," "," ","16.666000000000004","500","250","psychophysics","11","66042","0.0-11.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"4554","key"," "," ","16.665999999999997","500","250","psychophysics","12","70601","0.0-12.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"3186","key"," "," ","16.666000000000043","500","250","psychophysics","13","73792","0.0-13.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"2830","key"," "," ","16.666000000000007","500","250","psychophysics","14","76629","0.0-14.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"3030","key"," "," ","16.66600000000001","500","250","psychophysics","15","79662","0.0-15.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"3344","key"," "," ","16.665999999999997","500","250","psychophysics","16","83008","0.0-16.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"15587","key"," "," ","16.666000000000007","500","250","psychophysics","17","98610","0.0-17.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","1","0","53","50","","",""
"12342","key"," "," ","16.665999999999997","500","250","psychophysics","18","110957","0.0-18.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","1","5","28","34","","",""
"12153","key"," "," ","16.665999999999993","500","250","psychophysics","19","123113","0.0-19.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","1","0","45","46","","",""
"9932","key"," "," ","16.665999999999983","500","250","psychophysics","20","133048","0.0-20.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","1","5","23","33","","",""
"12508","key"," "," ","16.666000000000004","500","250","psychophysics","21","145559","0.0-21.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","1","0","56","62","","",""
"10819","key"," "," ","16.665999999999993","500","250","psychophysics","22","156383","0.0-22.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","1","5","38","54","","",""
"6500","key"," "," ","16.666000000000057","500","250","psychophysics","23","162886","0.0-23.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","1","0","42","48","","",""
"8757","key"," "," ","16.66599999999999","500","250","psychophysics","24","171647","0.0-24.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","1","5","37","50","","",""
"5946","key"," "," ","16.76015819209037","500","250","psychophysics","25","177597","0.0-25.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","1","0","37","48","","",""
"8699","key"," "," ","16.666000000000007","500","250","psychophysics","26","186299","0.0-26.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","1","5","58","69","","",""
"6098","key"," "," ","16.66600000000007","500","250","psychophysics","27","192400","0.0-27.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","1","0","36","48","","",""
"10139","key"," "," ","16.66599999999998","500","250","psychophysics","28","202542","0.0-28.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","1","5","49","62","","",""
"5791","key"," "," ","16.66600000000004","500","250","psychophysics","29","208339","0.0-29.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","1","0","32","39","","",""
"7331","key"," "," ","16.66599999999995","500","250","psychophysics","30","215676","0.0-30.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","1","5","25","33","","",""
"6709","key"," "," ","16.66599999999998","500","250","psychophysics","31","222388","0.0-31.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","1","0","33","39","","",""
"10065","key"," "," ","16.665999999999993","500","250","psychophysics","32","232460","0.0-32.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","1","5","59","69","","",""
"4416","key"," "," ","16.665999999999976","500","250","psychophysics","33","236878","0.0-33.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","1","0","28","32","","",""
"9161","key"," "," ","16.665999999999983","500","250","psychophysics","34","246043","0.0-34.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","1","5","46","62","","",""
"7388","key"," "," ","16.666000000000007","500","250","psychophysics","35","253434","0.0-35.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","1","0","29","36","","",""
"8835","key"," "," ","16.66599999999997","500","250","psychophysics","36","262272","0.0-36.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","1","5","49","63","","",""
"3991","key"," "," ","16.949676595744677","500","250","psychophysics","37","266269","0.0-37.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"4420","key"," "," ","16.666000000000086","500","250","psychophysics","38","270693","0.0-38.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"2772","key"," "," ","16.666000000000246","500","250","psychophysics","39","273469","0.0-39.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"7108","key"," "," ","16.705214117647095","500","250","psychophysics","40","280589","0.0-40.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","2","0","24","26","","",""
"4533","key"," "," ","16.666000000000007","500","250","psychophysics","41","285125","0.0-41.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"10503","key"," "," ","16.665999999999983","500","250","psychophysics","42","295631","0.0-42.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","2","0","49","54","","",""
"3054","key"," "," ","16.665999999999997","500","250","psychophysics","43","298687","0.0-43.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"7915","key"," "," ","16.666000000000075","500","250","psychophysics","44","306608","0.0-44.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","2","0","37","39","","",""
"3268","key"," "," ","16.665999999999976","500","250","psychophysics","45","309879","0.0-45.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"5581","key"," "," ","16.666000000000054","500","250","psychophysics","46","315457","0.0-46.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","2","0","30","35","","",""
"3165","key"," "," ","16.666000000000057","500","250","psychophysics","47","318619","0.0-47.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"4445","key"," "," ","16.665999999999848","500","250","psychophysics","48","323061","0.0-48.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","2","0","24","28","","",""
"2833","key"," "," ","16.66600000000002","500","250","psychophysics","49","325894","0.0-49.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"3971","key"," "," ","16.666000000000018","500","250","psychophysics","50","329864","0.0-50.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","2","0","21","27","","",""
"3695","key"," "," ","16.66599999999994","500","250","psychophysics","51","333561","0.0-51.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"4540","key"," "," ","16.666000000000007","500","250","psychophysics","52","338100","0.0-52.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","2","0","44","46","","",""
"1446","key"," "," ","16.666000000000146","500","250","psychophysics","53","339556","0.0-53.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"4666","key"," "," ","16.666000000000047","500","250","psychophysics","54","344224","0.0-54.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","2","0","43","47","","",""
"1463","key"," "," ","16.66599999999978","500","250","psychophysics","55","345688","0.0-55.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"3497","key"," "," ","16.665999999999933","500","250","psychophysics","56","349197","0.0-56.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","2","0","24","33","","",""
"1498","key"," "," ","16.66600000000038","500","250","psychophysics","57","350698","0.0-57.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"6293","key"," "," ","16.665999999999986","500","250","psychophysics","58","356993","0.0-58.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","2","0","58","61","","",""
"1372","key"," "," ","16.665999999999954","500","250","psychophysics","59","358367","0.0-59.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"5185","key"," "," ","16.719935275080786","500","250","psychophysics","60","363554","0.0-60.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","2","0","52","52","","",""
"1019","key"," "," ","16.665999999999823","500","250","psychophysics","61","364579","0.0-61.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"4035","key"," "," ","16.666000000000217","500","250","psychophysics","62","368617","0.0-62.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","2","0","29","38","","",""
"1262","key"," "," ","16.666000000000157","500","250","psychophysics","63","369882","0.0-63.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"5893","key"," "," ","16.665999999999993","500","250","psychophysics","64","375777","0.0-64.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","2","0","54","54","","",""
"928","key"," "," ","16.666000000000086","500","250","psychophysics","65","376707","0.0-65.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"3811","key"," "," ","16.665999999999876","500","250","psychophysics","66","380531","0.0-66.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","2","0","24","30","","",""
"961","key"," "," ","16.665999999999446","500","250","psychophysics","67","381495","0.0-67.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"5060","key"," "," ","16.66599999999984","500","250","psychophysics","68","386558","0.0-68.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","2","0","43","46","","",""
"1153","key"," "," ","16.666000000000007","500","250","psychophysics","69","387714","0.0-69.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"3547","key"," "," ","16.66599999999991","500","250","psychophysics","70","391264","0.0-70.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"3066","key"," "," ","16.666000000000142","500","250","psychophysics","71","394332","0.0-71.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"7548","key"," "," ","16.665999999999887","500","250","psychophysics","72","401882","0.0-72.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","3","5","32","34","","",""
"4090","key"," "," ","16.734303278688458","500","250","psychophysics","73","405976","0.0-73.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","3","0","24","29","","",""
"4415","key"," "," ","16.665999999999865","500","250","psychophysics","74","410394","0.0-74.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","3","5","32","37","","",""
"6401","key"," "," ","16.665999999999947","500","250","psychophysics","75","416799","0.0-75.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","3","0","49","56","","",""
"6082","key"," "," ","16.66599999999991","500","250","psychophysics","76","422895","0.0-76.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","3","5","56","55","","",""
"7695","key"," "," ","16.66600000000003","500","250","psychophysics","77","430593","0.0-77.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","3","0","58","63","","",""
"5855","key"," "," ","16.761781609195502","500","250","psychophysics","78","436451","0.0-78.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","3","5","50","56","","",""
"7724","key"," "," ","16.666000000000015","500","250","psychophysics","79","444178","0.0-79.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","3","0","20","27","","",""
"6726","key"," "," ","16.665999999999965","500","250","psychophysics","80","450907","0.0-80.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","3","5","46","54","","",""
"5966","key"," "," ","16.66600000000013","500","250","psychophysics","81","456876","0.0-81.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","3","0","54","53","","",""
"4404","key"," "," ","16.665999999999983","500","250","psychophysics","82","461284","0.0-82.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","3","5","29","31","","",""
"6921","key"," "," ","16.666000000000032","500","250","psychophysics","83","468208","0.0-83.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","3","0","51","54","","",""
"10509","key"," "," ","16.666000000000025","500","250","psychophysics","84","478721","0.0-84.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","3","5","51","50","","",""
"6035","key"," "," ","16.6660000000001","500","250","psychophysics","85","484761","0.0-85.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","3","0","30","35","","",""
"5758","key"," "," ","16.666000000000054","500","250","psychophysics","86","490523","0.0-86.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","3","5","24","28","","",""
"4403","key"," "," ","16.92338996139017","500","250","psychophysics","87","494929","0.0-87.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","3","0","26","27","","",""
"8025","key"," "," ","16.700720833333374","500","250","psychophysics","88","502957","0.0-88.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","3","5","52","50","","",""
"5815","key"," "," ","16.81092173913055","500","250","psychophysics","89","508776","0.0-89.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","3","0","40","42","","",""
"7400","key"," "," ","16.666","500","250","psychophysics","90","516178","0.0-90.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","3","5","54","55","","",""
"3735","key"," "," ","16.66599999999992","500","250","psychophysics","91","519916","0.0-91.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","3","0","21","22","","",""
"3463","key"," "," ","16.66599999999983","500","250","psychophysics","92","523381","0.0-92.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","","",""
"21327","","","v","","","","html-keyboard-response","93","544710","0.0-93.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","<p> In this part of the experiment, we are going present digits 1, 2, 3, 4, 6, 7, 8, and 9.  Notice that 5 is missing.  Your job is to say whether the presented digit is less than or greater than 5.  For example, 3 is less than 5 and 7 is greater than 5.  If the digit is less than 5, press the v key; if it is greater than 5, press the n key. We are going to do 200 of these in total, but only 50 righ now. They go real fast.</p>  <br><br>  Ready? (press v or n)","",""
"3688","key","n","n","16.666000000000324","500","250","psychophysics","94","548404","0.0-94.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","4","","","","","1","8"
"null","","","null","","","","html-keyboard-response","95","548908","0.0-95.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"3237","key","n","n","16.66600000000014","500","250","psychophysics","96","552149","0.0-96.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","4","","","","","1","6"
"null","","","null","","","","html-keyboard-response","97","552653","0.0-97.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2606","key","n","n","16.665999999999677","500","250","psychophysics","98","555264","0.0-98.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","4","","","","","1","7"
"null","","","null","","","","html-keyboard-response","99","555767","0.0-99.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2615","key","n","n","16.66600000000022","500","250","psychophysics","100","558387","0.0-100.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","4","","","","","1","9"
"null","","","null","","","","html-keyboard-response","101","558889","0.0-101.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2507","key","v","v","16.666000000000157","500","250","psychophysics","102","561399","0.0-102.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","4","","","","","1","4"
"null","","","null","","","","html-keyboard-response","103","561901","0.0-103.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2468","key","n","n","16.665999999999798","500","250","psychophysics","104","564374","0.0-104.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","4","","","","","1","9"
"null","","","null","","","","html-keyboard-response","105","564877","0.0-105.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2561","key","v","v","16.666000000000086","500","250","psychophysics","106","567442","0.0-106.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","4","","","","","1","1"
"null","","","null","","","","html-keyboard-response","107","567944","0.0-107.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2452","key","n","n","17.618342857143475","500","250","psychophysics","108","570411","0.0-108.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","4","","","","","1","8"
"null","","","null","","","","html-keyboard-response","109","570914","0.0-109.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2460","key","n","n","16.665999999999798","500","250","psychophysics","110","573380","0.0-110.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","4","","","","","1","8"
"null","","","null","","","","html-keyboard-response","111","573882","0.0-111.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2521","key","v","v","16.6660000000005","500","250","psychophysics","112","576408","0.0-112.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","4","","","","","1","4"
"null","","","null","","","","html-keyboard-response","113","576910","0.0-113.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2386","key","n","n","16.666000000000086","500","250","psychophysics","114","579301","0.0-114.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","4","","","","","1","6"
"null","","","null","","","","html-keyboard-response","115","579805","0.0-115.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2446","key","v","v","16.66600000000001","500","250","psychophysics","116","582257","0.0-116.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","4","","","","","1","4"
"null","","","null","","","","html-keyboard-response","117","582765","0.0-117.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2528","key","v","v","16.666000000000714","500","250","psychophysics","118","585299","0.0-118.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","4","","","","","1","2"
"null","","","null","","","","html-keyboard-response","119","585804","0.0-119.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2483","key","v","v","16.66600000000037","500","250","psychophysics","120","588291","0.0-120.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","4","","","","","1","2"
"null","","","null","","","","html-keyboard-response","121","588793","0.0-121.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2475","key","n","n","16.66599999999959","500","250","psychophysics","122","591273","0.0-122.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","4","","","","","1","4"
"null","","","null","","","","html-keyboard-response","123","591775","0.0-123.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","","","","","<p style=""color:red;font-size:24px;"">Error :(</p>","",""
"2420","key","n","n","16.666000000000448","500","250","psychophysics","124","594200","0.0-124.0","5b6a87d2cda8590001db8e07","6213ce141f8fb6164227a068","4","","","","","1","7"
