"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","phase","guide","targ","resp","stimulus","is5","stim"
"4654","key"," "," ","19.80942213114754","500","250","psychophysics","0","4876","0.0-0.0","5d57f9cdedef630016280505","620a6771185659b2469ee154","","","","","","",""
"1938","key"," "," ","17.6828695652174","500","250","psychophysics","1","6879","0.0-1.0","5d57f9cdedef630016280505","620a6771185659b2469ee154","","","","","","",""
"2423","key"," "," ","16.89708965517241","500","250","psychophysics","2","9341","0.0-2.0","5d57f9cdedef630016280505","620a6771185659b2469ee154","","","","","","",""
"1342","key"," "," ","16.872567901234568","500","250","psychophysics","3","10725","0.0-3.0","5d57f9cdedef630016280505","620a6771185659b2469ee154","","","","","","",""
"2625","key"," "," ","17.429503267973857","500","250","psychophysics","4","13413","0.0-4.0","5d57f9cdedef630016280505","620a6771185659b2469ee154","","","","","","",""
"10179","key"," "," ","16.916034825870646","500","250","psychophysics","5","23623","0.0-5.0","5d57f9cdedef630016280505","620a6771185659b2469ee154","","","","","","",""
"7224","key"," "," ","16.74418244803694","500","250","psychophysics","6","30889","0.0-6.0","5d57f9cdedef630016280505","620a6771185659b2469ee154","","","","","","",""
"4389","key"," "," ","16.79388593155894","500","250","psychophysics","7","35324","0.0-7.0","5d57f9cdedef630016280505","620a6771185659b2469ee154","","","","","","",""
"11597","key"," "," ","16.81202026049204","500","250","psychophysics","8","46964","0.0-8.0","5d57f9cdedef630016280505","620a6771185659b2469ee154","0","0","51","54","","",""
"4485","key"," "," ","16.729104089219334","500","250","psychophysics","9","51473","0.0-9.0","5d57f9cdedef630016280505","620a6771185659b2469ee154","","","","","","",""
"2035","key"," "," ","17.67255172413796","500","250","psychophysics","10","53551","0.0-10.0","5d57f9cdedef630016280505","620a6771185659b2469ee154","","","","","","",""
"3593","key"," "," ","16.900925233644873","500","250","psychophysics","11","57178","0.0-11.0","5d57f9cdedef630016280505","620a6771185659b2469ee154","","","","","","",""
"4237","key"," "," ","17.068831325301186","500","250","psychophysics","12","61453","0.0-12.0","5d57f9cdedef630016280505","620a6771185659b2469ee154","","","","","","",""
"1400","key"," "," ","17.491209876543216","500","250","psychophysics","13","62885","0.0-13.0","5d57f9cdedef630016280505","620a6771185659b2469ee154","","","","","","",""
"3104","key"," "," ","17.125098901098923","500","250","psychophysics","14","66013","0.0-14.0","5d57f9cdedef630016280505","620a6771185659b2469ee154","","","","","","",""
