"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","phase","guide","targ","resp","stimulus","is5","stim"
"2246","key"," "," ","16.78971111111111","500","250","psychophysics","0","2292","0.0-0.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"1148","key"," "," ","16.66601428571428","500","250","psychophysics","1","3459","0.0-1.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"1805","key"," "," ","16.665102803738318","500","250","psychophysics","2","5269","0.0-2.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"664","key"," "," ","16.667124999999988","500","250","psychophysics","3","5944","0.0-3.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"1873","key"," "," ","16.66600892857142","500","250","psychophysics","4","7824","0.0-4.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"13519","key"," "," ","16.66564938271605","500","250","psychophysics","5","21350","0.0-5.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"5711","key"," "," ","16.66563848396501","500","250","psychophysics","6","27077","0.0-6.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"1951","key"," "," ","16.665827586206873","500","250","psychophysics","7","29033","0.0-7.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"7924","key"," "," ","16.665616842105266","500","250","psychophysics","8","36969","0.0-8.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","0","0","22","21","","",""
"2126","key"," "," ","16.666015625","500","250","psychophysics","9","39110","0.0-9.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"1847","key"," "," ","17.120490909090915","500","250","psychophysics","10","41007","0.0-10.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"4067","key"," "," ","16.665967078189308","500","250","psychophysics","11","45084","0.0-11.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"2348","key"," "," ","16.665697183098555","500","250","psychophysics","12","47456","0.0-12.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"1834","key"," "," ","16.665972477064223","500","250","psychophysics","13","49302","0.0-13.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"2323","key"," "," ","16.66556428571426","500","250","psychophysics","14","51640","0.0-14.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"2148","key"," "," ","16.666039062499976","500","250","psychophysics","15","53794","0.0-15.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"913","key"," "," ","16.665763636363607","500","250","psychophysics","16","54722","0.0-16.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"4995","key"," "," ","16.665772575250855","500","250","psychophysics","17","59723","0.0-17.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","1","0","28","27","","",""
"5372","key"," "," ","16.665866459627352","500","250","psychophysics","18","65105","0.0-18.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","1","5","60","54","","",""
"3871","key"," "," ","16.665705627705588","500","250","psychophysics","19","68983","0.0-19.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","1","0","30","26","","",""
"4737","key"," "," ","16.66570070422533","500","250","psychophysics","20","73731","0.0-20.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","1","5","33","30","","",""
"6330","key"," "," ","16.66573684210529","500","250","psychophysics","21","80073","0.0-21.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","1","0","43","40","","",""
"4567","key"," "," ","16.66595620437954","500","250","psychophysics","22","84653","0.0-22.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","1","5","22","21","","",""
"4057","key"," "," ","16.665991735537183","500","250","psychophysics","23","88717","0.0-23.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","1","0","34","31","","",""
"2011","key"," "," ","16.666049586776893","500","250","psychophysics","24","90739","0.0-24.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","1","5","20","19","","",""
"2241","key"," "," ","16.66620895522386","500","250","psychophysics","25","92987","0.0-25.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","1","0","27","22","","",""
"2891","key"," "," ","16.66605202312138","500","250","psychophysics","26","95887","0.0-26.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","1","5","37","39","","",""
"4270","key"," "," ","16.665937254901955","500","250","psychophysics","27","100164","0.0-27.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","1","0","54","47","","",""
"3861","key"," "," ","16.665767241379307","500","250","psychophysics","28","104036","0.0-28.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","1","5","56","54","","",""
"3065","key"," "," ","16.665923497267766","500","250","psychophysics","29","107111","0.0-29.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","1","0","44","39","","",""
"2593","key"," "," ","16.665941935483808","500","250","psychophysics","30","109716","0.0-30.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","1","5","51","50","","",""
"2580","key"," "," ","16.665806451612884","500","250","psychophysics","31","112305","0.0-31.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","1","0","32","31","","",""
"2133","key"," "," ","16.66616535433073","500","250","psychophysics","32","114444","0.0-32.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","1","5","27","26","","",""
"5045","key"," "," ","16.72081788079472","500","250","psychophysics","33","119500","0.0-33.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","1","0","40","41","","",""
"3183","key"," "," ","16.665821052631625","500","250","psychophysics","34","122690","0.0-34.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","1","5","33","34","","",""
"5809","key"," "," ","16.66558045977008","500","250","psychophysics","35","128506","0.0-35.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","1","0","22","22","","",""
"10805","key"," "," ","16.665624999999995","500","250","psychophysics","36","139317","0.0-36.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","1","5","35","36","","",""
"1808","key"," "," ","16.664981481481476","500","250","psychophysics","37","141132","0.0-37.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"1187","key"," "," ","16.666942857142672","500","250","psychophysics","38","142326","0.0-38.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"596","key"," "," ","16.665972222222383","500","250","psychophysics","39","142934","0.0-39.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"3298","key"," "," ","16.66538578680206","500","250","psychophysics","40","146240","0.0-40.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","2","0","41","35","","",""
"2111","key"," "," ","16.665755905511865","500","250","psychophysics","41","148371","0.0-41.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"3365","key"," "," ","16.66540298507455","500","250","psychophysics","42","151743","0.0-42.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","2","0","56","48","","",""
"954","key"," "," ","16.66658620689624","500","250","psychophysics","43","152716","0.0-43.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"3329","key"," "," ","16.666104999999952","500","250","psychophysics","44","156066","0.0-44.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","2","0","23","24","","",""
"1326","key"," "," ","16.665860759493707","500","250","psychophysics","45","157399","0.0-45.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"3207","key"," "," ","16.665734374999982","500","250","psychophysics","46","160615","0.0-46.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","2","0","20","17","","",""
"856","key"," "," ","16.66576000000001","500","250","psychophysics","47","161477","0.0-47.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"4574","key"," "," ","16.665369565217365","500","250","psychophysics","48","166088","0.0-48.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","2","0","36","30","","",""
"835","key"," "," ","16.668571428571024","500","250","psychophysics","49","166926","0.0-49.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"2489","key"," "," ","16.66546308724819","500","250","psychophysics","50","169425","0.0-50.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","2","0","27","23","","",""
"979","key"," "," ","16.66644067796622","500","250","psychophysics","51","170414","0.0-51.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"3468","key"," "," ","16.665509615384646","500","250","psychophysics","52","173899","0.0-52.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","2","0","26","23","","",""
"944","key"," "," ","16.666464285714028","500","250","psychophysics","53","174846","0.0-53.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"3785","key"," "," ","16.66584070796452","500","250","psychophysics","54","178636","0.0-54.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","2","0","30","28","","",""
"701","key"," "," ","16.666341463414806","500","250","psychophysics","55","179340","0.0-55.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"4321","key"," "," ","16.66619305019303","500","250","psychophysics","56","183671","0.0-56.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","2","0","25","26","","",""
"1174","key"," "," ","16.665999999999933","500","250","psychophysics","57","184854","0.0-57.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"2234","key"," "," ","16.6655820895522","500","250","psychophysics","58","187098","0.0-58.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","2","0","21","16","","",""
"779","key"," "," ","16.666326086956794","500","250","psychophysics","59","187885","0.0-59.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"2247","key"," "," ","16.7897686567164","500","250","psychophysics","60","190147","0.0-60.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","2","0","29","26","","",""
"756","key"," "," ","16.666111111111242","500","250","psychophysics","61","190913","0.0-61.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"3694","key"," "," ","16.665801801801756","500","250","psychophysics","62","194630","0.0-62.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","2","0","38","37","","",""
"1144","key"," "," ","16.66429411764736","500","250","psychophysics","63","195780","0.0-63.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"2660","key"," "," ","16.66567295597487","500","250","psychophysics","64","198446","0.0-64.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","2","0","38","31","","",""
"734","key"," "," ","16.66583720930286","500","250","psychophysics","65","199187","0.0-65.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"2210","key"," "," ","16.66583333333344","500","250","psychophysics","66","201409","0.0-66.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","2","0","49","40","","",""
"718","key"," "," ","16.66674418604613","500","250","psychophysics","67","202137","0.0-67.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"2866","key"," "," ","16.665790697674268","500","250","psychophysics","68","205015","0.0-68.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","2","0","50","51","","",""
"950","key"," "," ","16.667142857143126","500","250","psychophysics","69","205974","0.0-69.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
"2426","key"," "," ","16.665821917808362","500","250","psychophysics","70","208412","0.0-70.0","5f29109240b4f4000bfd5a06","6213d240de1b61594b08e896","","","","","","",""
