"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","phase","guide","targ","resp","stimulus","is5","stim"
"53033","key"," "," ","17.189134664948455","500","250","psychophysics","0","53387","0.0-0.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","","","","","","",""
"14443","key"," "," ","16.828830034924326","500","250","psychophysics","1","67844","0.0-1.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","","","","","","",""
"4609","key"," "," ","16.673826086956502","500","250","psychophysics","2","72458","0.0-2.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","","","","","","",""
"2128","key"," "," ","16.673464566929123","500","250","psychophysics","3","74589","0.0-3.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","","","","","","",""
"5401","key"," "," ","16.673551083591335","500","250","psychophysics","4","79995","0.0-4.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","","","","","","",""
"11181","key"," "," ","16.67350746268657","500","250","psychophysics","5","91179","0.0-5.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","","","","","","",""
"3090","key"," "," ","16.673532608695613","500","250","psychophysics","6","94273","0.0-6.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","","","","","","",""
"4410","key"," "," ","16.67349621212121","500","250","psychophysics","7","98685","0.0-7.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","","","","","","",""
"22913","key"," "," ","16.685595481049553","500","250","psychophysics","8","121600","0.0-8.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","0","0","51","53","","",""
"11025","key"," "," ","16.673503782148263","500","250","psychophysics","9","124812","0.0-9.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","","","","","","",""
"4452","key"," "," ","16.799681818181853","500","250","psychophysics","10","129270","0.0-10.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","","","","","","",""
"5877","key"," "," ","16.673374999999975","500","250","psychophysics","11","135151","0.0-11.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","","","","","","",""
"2546","key"," "," ","16.673723684210447","500","250","psychophysics","12","137702","0.0-12.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","","","","","","",""
"2346","key"," "," ","16.674228571428518","500","250","psychophysics","13","140052","0.0-13.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","","","","","","",""
"3625","key"," "," ","16.673300925926014","500","250","psychophysics","14","143681","0.0-14.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","","","","","","",""
"9669","key"," "," ","16.673179310344857","500","250","psychophysics","15","153357","0.0-15.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","","","","","","",""
"4086","key"," "," ","16.673672131147498","500","250","psychophysics","16","157447","0.0-16.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","","","","","","",""
"14347","key"," "," ","16.67352558139537","500","250","psychophysics","17","171797","0.0-17.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","1","0","50","53","","",""
"11169","key"," "," ","16.673490284005982","500","250","psychophysics","18","182970","0.0-18.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","1","5","29","29","","",""
"14136","key"," "," ","16.673583234946864","500","250","psychophysics","19","197110","0.0-19.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","1","0","60","64","","",""
"11359","key"," "," ","16.673517647058823","500","250","psychophysics","20","208473","0.0-20.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","1","5","31","33","","",""
"8547","key"," "," ","16.673578125000006","500","250","psychophysics","21","217023","0.0-21.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","1","0","20","23","","",""
"25505","key"," "," ","16.783201448321275","500","250","psychophysics","22","242533","0.0-22.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","1","5","43","41","","",""
"17590","key"," "," ","16.673373814041778","500","250","psychophysics","23","260127","0.0-23.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","1","0","40","47","","",""
"10416","key"," "," ","16.673556089743588","500","250","psychophysics","24","270545","0.0-24.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","1","5","31","33","","",""
"20884","key"," "," ","16.673508785942452","500","250","psychophysics","25","291431","0.0-25.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","1","0","55","63","","",""
"11291","key"," "," ","16.67342603550292","500","250","psychophysics","26","302727","0.0-26.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","1","5","34","38","","",""
"16721","key"," "," ","16.673416167664705","500","250","psychophysics","27","319451","0.0-27.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","1","0","59","69","","",""
"8459","key"," "," ","16.673428007889576","500","250","psychophysics","28","327914","0.0-28.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","1","5","34","37","","",""
"5515","key"," "," ","16.673239393939376","500","250","psychophysics","29","333432","0.0-29.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","1","0","22","27","","",""
"18580","key"," "," ","16.673420485175196","500","250","psychophysics","30","352016","0.0-30.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","1","5","60","61","","",""
"8240","key"," "," ","16.673127530364418","500","250","psychophysics","31","360259","0.0-31.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","1","0","53","61","","",""
"11920","key"," "," ","16.673443977591006","500","250","psychophysics","32","372184","0.0-32.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","1","5","33","36","","",""
"18724","key"," "," ","16.673476827094476","500","250","psychophysics","33","390912","0.0-33.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","1","0","57","67","","",""
"7512","key"," "," ","16.673575555555548","500","250","psychophysics","34","398427","0.0-34.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","1","5","27","27","","",""
"11552","key"," "," ","16.67333236994219","500","250","psychophysics","35","409982","0.0-35.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","1","0","55","73","","",""
"8593","key"," "," ","16.673379377431846","500","250","psychophysics","36","418579","0.0-36.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","1","5","22","25","","",""
"3801","key"," "," ","16.673486842105234","500","250","psychophysics","37","422388","0.0-37.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","","","","","","",""
"10757","key"," "," ","16.67338819875778","500","250","psychophysics","38","433150","0.0-38.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","","","","","","",""
"4758","key"," "," ","16.67347719298243","500","250","psychophysics","39","437911","0.0-39.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","","","","","","",""
"12385","key"," "," ","16.67347574123987","500","250","psychophysics","40","450299","0.0-40.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","2","0","33","42","","",""
"5667","key"," "," ","16.673457227138545","500","250","psychophysics","41","455971","0.0-41.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","","","","","","",""
"12850","key"," "," ","16.67342727272726","500","250","psychophysics","42","468823","0.0-42.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","2","0","28","30","","",""
"5307","key"," "," ","16.673441640378456","500","250","psychophysics","43","474132","0.0-43.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","","","","","","",""
"8327","key"," "," ","16.673488977955905","500","250","psychophysics","44","482463","0.0-44.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","2","0","51","57","","",""
"5454","key"," "," ","16.673598159509183","500","250","psychophysics","45","487919","0.0-45.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","","","","","","",""
"17174","key"," "," ","16.673446064139966","500","250","psychophysics","46","505096","0.0-46.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","2","0","54","60","","",""
"4053","key"," "," ","16.67367355371917","500","250","psychophysics","47","509151","0.0-47.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","","","","","","",""
"7872","key"," "," ","16.673584745762774","500","250","psychophysics","48","517032","0.0-48.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","2","0","31","33","","",""
"4449","key"," "," ","16.67346992481218","500","250","psychophysics","49","521483","0.0-49.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","","","","","","",""
"5495","key"," "," ","16.673878419452905","500","250","psychophysics","50","526981","0.0-50.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","2","0","55","51","","",""
"3331","key"," "," ","16.673442211055345","500","250","psychophysics","51","530316","0.0-51.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","","","","","","",""
"6420","key"," "," ","16.673325520833412","500","250","psychophysics","52","536740","0.0-52.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","2","0","52","54","","",""
"2677","key"," "," ","16.67346875000003","500","250","psychophysics","53","539420","0.0-53.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","","","","","","",""
"6938","key"," "," ","16.673431325301035","500","250","psychophysics","54","546364","0.0-54.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","2","0","51","55","","",""
"3310","key"," "," ","16.67356060606056","500","250","psychophysics","55","549677","0.0-55.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","","","","","","",""
"5504","key"," "," ","16.673212765957693","500","250","psychophysics","56","555183","0.0-56.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","2","0","56","54","","",""
"4312","key"," "," ","16.673546511627997","500","250","psychophysics","57","559498","0.0-57.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","","","","","","",""
"7869","key"," "," ","16.67355838641198","500","250","psychophysics","58","567370","0.0-58.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","2","0","45","50","","",""
"4906","key"," "," ","16.673590443686283","500","250","psychophysics","59","572280","0.0-59.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","","","","","","",""
"6603","key"," "," ","16.673565656565554","500","250","psychophysics","60","578893","0.0-60.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","2","0","47","47","","",""
"4242","key"," "," ","16.67366929133844","500","250","psychophysics","61","583138","0.0-61.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","","","","","","",""
"4518","key"," "," ","16.673640740740854","500","250","psychophysics","62","587660","0.0-62.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","2","0","30","29","","",""
"7441","key"," "," ","16.67352808988758","500","250","psychophysics","63","595104","0.0-63.0","5f4d40ca75b5258bf5af8cca","6213cd978ea0123540d0fc0f","","","","","","",""
