"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","phase","guide","targ","resp","stimulus","is5","stim"
"3198","key"," "," ","7.009287581699346","500","250","psychophysics","0","3209","0.0-0.0","5f765a3c8a6ec010370c9cc1","6213d12a808bd3dd07be6e12","","","","","","",""
"1816","key"," "," ","6.948291187739463","500","250","psychophysics","1","5029","0.0-1.0","5f765a3c8a6ec010370c9cc1","6213d12a808bd3dd07be6e12","","","","","","",""
"4933","key"," "," ","6.948708039492242","500","250","psychophysics","2","9964","0.0-2.0","5f765a3c8a6ec010370c9cc1","6213d12a808bd3dd07be6e12","","","","","","",""
"1484","key"," "," ","6.981276995305167","500","250","psychophysics","3","11456","0.0-3.0","5f765a3c8a6ec010370c9cc1","6213d12a808bd3dd07be6e12","","","","","","",""
"1741","key"," "," ","6.948775999999998","500","250","psychophysics","4","13201","0.0-4.0","5f765a3c8a6ec010370c9cc1","6213d12a808bd3dd07be6e12","","","","","","",""
"18473","key"," "," ","6.951350018818216","500","250","psychophysics","5","31677","0.0-5.0","5f765a3c8a6ec010370c9cc1","6213d12a808bd3dd07be6e12","","","","","","",""
"1852","key"," "," ","6.948672932330833","500","250","psychophysics","6","33532","0.0-6.0","5f765a3c8a6ec010370c9cc1","6213d12a808bd3dd07be6e12","","","","","","",""
"2012","key"," "," ","6.948782006920429","500","250","psychophysics","7","35546","0.0-7.0","5f765a3c8a6ec010370c9cc1","6213d12a808bd3dd07be6e12","","","","","","",""
"11589","key"," "," ","6.948728254349129","500","250","psychophysics","8","47138","0.0-8.0","5f765a3c8a6ec010370c9cc1","6213d12a808bd3dd07be6e12","0","0","29","155","","",""
"8577","key"," "," ","6.948719611021071","500","250","psychophysics","9","55721","0.0-9.0","5f765a3c8a6ec010370c9cc1","6213d12a808bd3dd07be6e12","","","","","","",""
"1538","key"," "," ","6.948850678733048","500","250","psychophysics","10","57263","0.0-10.0","5f765a3c8a6ec010370c9cc1","6213d12a808bd3dd07be6e12","","","","","","",""
"4803","key"," "," ","6.948733719247463","500","250","psychophysics","11","62072","0.0-11.0","5f765a3c8a6ec010370c9cc1","6213d12a808bd3dd07be6e12","","","","","","",""
"4068","key"," "," ","6.948747008547008","500","250","psychophysics","12","66143","0.0-12.0","5f765a3c8a6ec010370c9cc1","6213d12a808bd3dd07be6e12","","","","","","",""
"826","key"," "," ","6.94871186440669","500","250","psychophysics","13","66972","0.0-13.0","5f765a3c8a6ec010370c9cc1","6213d12a808bd3dd07be6e12","","","","","","",""
"1547","key"," "," ","6.948789237668169","500","250","psychophysics","14","68527","0.0-14.0","5f765a3c8a6ec010370c9cc1","6213d12a808bd3dd07be6e12","","","","","","",""
