"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","phase","guide","targ","resp","stimulus","is5","stim"
"2269","key"," "," ","6.945235474006116","500","250","psychophysics","0","2283","0.0-0.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","","","","","","",""
"1459","key"," "," ","6.945357142857145","500","250","psychophysics","1","3745","0.0-1.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","","","","","","",""
"1318","key"," "," ","6.945275132275133","500","250","psychophysics","2","5064","0.0-2.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","","","","","","",""
"865","key"," "," ","6.945379032258064","500","250","psychophysics","3","5933","0.0-3.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","","","","","","",""
"1189","key"," "," ","6.945146198830408","500","250","psychophysics","4","7125","0.0-4.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","","","","","","",""
"2489","key"," "," ","6.9453473389355755","500","250","psychophysics","5","9616","0.0-5.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","","","","","","",""
"2632","key"," "," ","6.945343007915567","500","250","psychophysics","6","12250","0.0-6.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","","","","","","",""
"1758","key"," "," ","6.945253968253967","500","250","psychophysics","7","14010","0.0-7.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","","","","","","",""
"4376","key"," "," ","6.945412698412697","500","250","psychophysics","8","18390","0.0-8.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","0","0","24","20","","",""
"1702","key"," "," ","6.945348360655741","500","250","psychophysics","9","20095","0.0-9.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","","","","","","",""
"430","key"," "," ","6.944967213114754","500","250","psychophysics","10","20527","0.0-10.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","","","","","","",""
"1385","key"," "," ","6.945341708542712","500","250","psychophysics","11","21913","0.0-11.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","","","","","","",""
"443","key"," "," ","6.94525396825396","500","250","psychophysics","12","22358","0.0-12.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","","","","","","",""
"842","key"," "," ","6.945173553718993","500","250","psychophysics","13","23203","0.0-13.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","","","","","","",""
"1236","key"," "," ","6.945265536723153","500","250","psychophysics","14","24441","0.0-14.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","","","","","","",""
"2613","key"," "," ","6.945319999999997","500","250","psychophysics","15","27056","0.0-15.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","","","","","","",""
"1389","key"," "," ","6.945235000000012","500","250","psychophysics","16","28447","0.0-16.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","","","","","","",""
"3253","key"," "," ","6.945312633832975","500","250","psychophysics","17","31702","0.0-17.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","1","0","26","26","","",""
"2460","key"," "," ","6.9453107344632645","500","250","psychophysics","18","34164","0.0-18.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","1","5","42","34","","",""
"2488","key"," "," ","6.945327731092426","500","250","psychophysics","19","36654","0.0-19.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","1","0","29","26","","",""
"2144","key"," "," ","6.945357142857161","500","250","psychophysics","20","38800","0.0-20.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","1","5","42","33","","",""
"3787","key"," "," ","6.9453339449541325","500","250","psychophysics","21","42589","0.0-21.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","1","0","46","35","","",""
"2317","key"," "," ","6.945249249249239","500","250","psychophysics","22","44908","0.0-22.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","1","5","37","30","","",""
"2710","key"," "," ","6.9452287917737685","500","250","psychophysics","23","47619","0.0-23.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","1","0","41","34","","",""
"1914","key"," "," ","6.945309090909087","500","250","psychophysics","24","49535","0.0-24.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","1","5","37","34","","",""
"2208","key"," "," ","6.945252365930589","500","250","psychophysics","25","51744","0.0-25.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","1","0","46","43","","",""
"2241","key"," "," ","6.945307453416135","500","250","psychophysics","26","53987","0.0-26.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","1","5","28","25","","",""
"1760","key"," "," ","6.945272727272736","500","250","psychophysics","27","55749","0.0-27.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","1","0","21","23","","",""
"1874","key"," "," ","6.945323420074354","500","250","psychophysics","28","57625","0.0-28.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","1","5","41","27","","",""
"1722","key"," "," ","6.945295546558695","500","250","psychophysics","29","59349","0.0-29.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","1","0","35","32","","",""
"1689","key"," "," ","6.945288065843599","500","250","psychophysics","30","61041","0.0-30.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","1","5","30","30","","",""
"1542","key"," "," ","6.945339366515862","500","250","psychophysics","31","62586","0.0-31.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","1","0","34","28","","",""
"2020","key"," "," ","6.945293103448283","500","250","psychophysics","32","64607","0.0-32.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","1","5","48","41","","",""
"2603","key"," "," ","6.945318181818199","500","250","psychophysics","33","67212","0.0-33.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","1","0","60","61","","",""
"2209","key"," "," ","6.945349056603771","500","250","psychophysics","34","69424","0.0-34.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","1","5","41","45","","",""
"1845","key"," "," ","6.945328301886802","500","250","psychophysics","35","71271","0.0-35.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","1","0","51","43","","",""
"1792","key"," "," ","6.9452801556420445","500","250","psychophysics","36","73066","0.0-36.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","1","5","35","36","","",""
"1970","key"," "," ","6.945307420494741","500","250","psychophysics","37","75038","0.0-37.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","","","","","","",""
"775","key"," "," ","6.945234234234122","500","250","psychophysics","38","75815","0.0-38.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","","","","","","",""
"4078","key"," "," ","6.945332764505113","500","250","psychophysics","39","79895","0.0-39.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","","","","","","",""
"2094","key"," "," ","6.945342192691014","500","250","psychophysics","40","81991","0.0-40.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","2","0","42","44","","",""
"1257","key"," "," ","6.945327777777776","500","250","psychophysics","41","83250","0.0-41.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","","","","","","",""
"1497","key"," "," ","6.945330232558136","500","250","psychophysics","42","84749","0.0-42.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","2","0","24","25","","",""
"1124","key"," "," ","6.945285714285662","500","250","psychophysics","43","85875","0.0-43.0","5fa012c9da74d501089f07c6","620a732fcedb69707e320889","","","","","","",""
