"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","phase","guide","targ","resp","stimulus","is5","stim"
"5535","key"," "," ","17.142519877675838","500","250","psychophysics","0","5613","0.0-0.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"8744","key"," "," ","16.68330534351145","500","250","psychophysics","1","14369","0.0-1.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"5132","key"," "," ","16.683295454545462","500","250","psychophysics","2","19511","0.0-2.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"2269","key"," "," ","16.683355555555533","500","250","psychophysics","3","21784","0.0-3.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"10104","key"," "," ","16.683337190082646","500","250","psychophysics","4","31894","0.0-4.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"9417","key"," "," ","16.683317375886517","500","250","psychophysics","5","41316","0.0-5.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"8529","key"," "," ","16.683309803921563","500","250","psychophysics","6","49850","0.0-6.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"5980","key"," "," ","16.68330726256984","500","250","psychophysics","7","55833","0.0-7.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"22854","key"," "," ","16.6955182748538","500","250","psychophysics","8","78692","0.0-8.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","0","0","52","50","","",""
"6120","key"," "," ","16.683303278688545","500","250","psychophysics","9","84816","0.0-9.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"4662","key"," "," ","16.683419354838705","500","250","psychophysics","10","89486","0.0-10.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"8558","key"," "," ","16.683328125000003","500","250","psychophysics","11","98052","0.0-11.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"5867","key"," "," ","16.68332386363636","500","250","psychophysics","12","103929","0.0-12.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"4212","key"," "," ","16.683314741035865","500","250","psychophysics","13","108146","0.0-13.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"7332","key"," "," ","16.683334851936245","500","250","psychophysics","14","115485","0.0-14.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"6777","key"," "," ","16.68332512315269","500","250","psychophysics","15","122270","0.0-15.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"4628","key"," "," ","16.683328519855618","500","250","psychophysics","16","126902","0.0-16.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"20601","key"," "," ","16.68332576985412","500","250","psychophysics","17","147507","0.0-17.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","1","0","22","27","","",""
"20959","key"," "," ","16.683304382470112","500","250","psychophysics","18","168471","0.0-18.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","1","5","58","57","","",""
"12144","key"," "," ","16.683288461538474","500","250","psychophysics","19","180623","0.0-19.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","1","0","47","57","","",""
"18983","key"," "," ","16.69802288732394","500","250","psychophysics","20","199611","0.0-20.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","1","5","32","38","","",""
"16024","key"," "," ","16.68331562500001","500","250","psychophysics","21","215639","0.0-21.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","1","0","42","48","","",""
"15341","key"," "," ","16.683297385620907","500","250","psychophysics","22","230985","0.0-22.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","1","5","43","46","","",""
"19786","key"," "," ","16.68330607082632","500","250","psychophysics","23","250779","0.0-23.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","1","0","51","56","","",""
"13210","key"," "," ","16.683340075853348","500","250","psychophysics","24","263993","0.0-24.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","1","5","51","52","","",""
"16717","key"," "," ","16.68328871128872","500","250","psychophysics","25","280715","0.0-25.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","1","0","27","34","","",""
"13530","key"," "," ","16.683290998766996","500","250","psychophysics","26","294253","0.0-26.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","1","5","46","48","","",""
"10858","key"," "," ","16.683278461538542","500","250","psychophysics","27","305115","0.0-27.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","1","0","39","47","","",""
"14449","key"," "," ","16.683295953757266","500","250","psychophysics","28","319569","0.0-28.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","1","5","50","50","","",""
"10187","key"," "," ","16.683267213114764","500","250","psychophysics","29","329763","0.0-29.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","1","0","43","53","","",""
"7643","key"," "," ","16.683268558951912","500","250","psychophysics","30","337411","0.0-30.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","1","5","36","42","","",""
"15358","key"," "," ","16.701498910675344","500","250","psychophysics","31","352773","0.0-31.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","1","0","34","45","","",""
"9137","key"," "," ","16.683233576642355","500","250","psychophysics","32","361919","0.0-32.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","1","5","55","54","","",""
"10096","key"," "," ","16.683284768211966","500","250","psychophysics","33","372019","0.0-33.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","1","0","33","40","","",""
"9798","key"," "," ","16.68326746166957","500","250","psychophysics","34","381821","0.0-34.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","1","5","55","53","","",""
"6303","key"," "," ","16.6832360742706","500","250","psychophysics","35","388130","0.0-35.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","1","0","33","41","","",""
"7463","key"," "," ","16.68327802690576","500","250","psychophysics","36","395597","0.0-36.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","1","5","41","43","","",""
"5106","key"," "," ","16.683202614379077","500","250","psychophysics","37","400715","0.0-37.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"7090","key"," "," ","16.683290094339547","500","250","psychophysics","38","407809","0.0-38.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"3852","key"," "," ","16.683281385281337","500","250","psychophysics","39","411668","0.0-39.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"17688","key"," "," ","16.683331444759194","500","250","psychophysics","40","429361","0.0-40.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","2","0","52","63","","",""
"10658","key"," "," ","16.683250783699044","500","250","psychophysics","41","440025","0.0-41.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"9306","key"," "," ","16.68326523297489","500","250","psychophysics","42","449339","0.0-42.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","2","0","41","42","","",""
"5290","key"," "," ","16.683265822784847","500","250","psychophysics","43","454635","0.0-43.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"20561","key"," "," ","16.68330194805198","500","250","psychophysics","44","475201","0.0-44.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","2","0","38","40","","",""
"3721","key"," "," ","16.6832072072073","500","250","psychophysics","45","478925","0.0-45.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"11650","key"," "," ","16.683276504298032","500","250","psychophysics","46","490580","0.0-46.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","2","0","48","55","","",""
"4126","key"," "," ","16.68326829268282","500","250","psychophysics","47","494711","0.0-47.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"12426","key"," "," ","16.68332661290325","500","250","psychophysics","48","507144","0.0-48.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","2","0","49","49","","",""
"4105","key"," "," ","16.683288617886326","500","250","psychophysics","49","511255","0.0-49.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"11183","key"," "," ","16.683270553064286","500","250","psychophysics","50","522443","0.0-50.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","2","0","57","51","","",""
"2878","key"," "," ","16.68315697674366","500","250","psychophysics","51","525328","0.0-51.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"9684","key"," "," ","16.68332931034484","500","250","psychophysics","52","535019","0.0-52.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","2","0","49","56","","",""
"3711","key"," "," ","16.683162162162212","500","250","psychophysics","53","538734","0.0-53.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"8617","key"," "," ","16.68322093023259","500","250","psychophysics","54","547356","0.0-54.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","2","0","45","43","","",""
"3358","key"," "," ","16.68324500000046","500","250","psychophysics","55","550718","0.0-55.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"7666","key"," "," ","16.683265795206857","500","250","psychophysics","56","558389","0.0-56.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","2","0","34","34","","",""
"3337","key"," "," ","16.683150753769063","500","250","psychophysics","57","561732","0.0-57.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"10766","key"," "," ","16.683283720930223","500","250","psychophysics","58","572505","0.0-58.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","2","0","27","26","","",""
"2966","key"," "," ","16.68318644067796","500","250","psychophysics","59","575475","0.0-59.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"8034","key"," "," ","16.683318087318284","500","250","psychophysics","60","583515","0.0-60.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","2","0","47","42","","",""
"2663","key"," "," ","16.683257861635443","500","250","psychophysics","61","586183","0.0-61.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"9937","key"," "," ","16.683410084033543","500","250","psychophysics","62","596125","0.0-62.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","2","0","30","26","","",""
"2732","key"," "," ","16.683380368097822","500","250","psychophysics","63","598861","0.0-63.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"6797","key"," "," ","16.683253071253148","500","250","psychophysics","64","605663","0.0-64.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","2","0","56","54","","",""
"81316","key"," "," ","16.683320131335936","500","250","psychophysics","65","686985","0.0-65.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"11293","key"," "," ","16.6832781065088","500","250","psychophysics","66","698283","0.0-66.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","2","0","21","20","","",""
"4906","key"," "," ","16.683241496598317","500","250","psychophysics","67","703195","0.0-67.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"13279","key"," "," ","16.683280503144633","500","250","psychophysics","68","716479","0.0-68.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","2","0","40","49","","",""
"2975","key"," "," ","16.682685393257998","500","250","psychophysics","69","719459","0.0-69.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"3933","key"," "," ","16.683421276595958","500","250","psychophysics","70","723397","0.0-70.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"3304","key"," "," ","16.68264974619328","500","250","psychophysics","71","726705","0.0-71.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"8566","key"," "," ","16.683278752436642","500","250","psychophysics","72","735275","0.0-72.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","3","5","31","33","","",""
"8328","key"," "," ","16.68330321285147","500","250","psychophysics","73","743607","0.0-73.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","3","0","30","32","","",""
"13816","key"," "," ","16.683344619105256","500","250","psychophysics","74","757427","0.0-74.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","3","5","44","45","","",""
"9613","key"," "," ","16.68333854166667","500","250","psychophysics","75","767048","0.0-75.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","3","0","33","37","","",""
"14453","key"," "," ","16.683274826789855","500","250","psychophysics","76","781505","0.0-76.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","3","5","54","51","","",""
"9690","key"," "," ","16.68327758620686","500","250","psychophysics","77","791199","0.0-77.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","3","0","32","36","","",""
"9755","key"," "," ","16.683311643835623","500","250","psychophysics","78","800959","0.0-78.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","3","5","38","38","","",""
"14042","key"," "," ","16.683326991676523","500","250","psychophysics","79","815004","0.0-79.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","3","0","57","63","","",""
"10139","key"," "," ","16.68331136738059","500","250","psychophysics","80","825148","0.0-80.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","3","5","41","41","","",""
"6187","key"," "," ","16.683289189189296","500","250","psychophysics","81","831339","0.0-81.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","3","0","37","39","","",""
"14125","key"," "," ","16.68330378250599","500","250","psychophysics","82","845468","0.0-82.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","3","5","20","26","","",""
"7408","key"," "," ","16.683343115123936","500","250","psychophysics","83","852881","0.0-83.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","3","0","21","25","","",""
"6646","key"," "," ","16.683248743718494","500","250","psychophysics","84","859532","0.0-84.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","3","5","24","30","","",""
"18695","key"," "," ","16.683297587131356","500","250","psychophysics","85","878231","0.0-85.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","3","0","55","55","","",""
"7517","key"," "," ","16.68327333333333","500","250","psychophysics","86","885755","0.0-86.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","3","5","25","29","","",""
"8805","key"," "," ","16.683274621212288","500","250","psychophysics","87","894569","0.0-87.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","3","0","41","38","","",""
"20607","key"," "," ","16.68331361426249","500","250","psychophysics","88","915181","0.0-88.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","3","5","53","50","","",""
"8028","key"," "," ","16.683274428274487","500","250","psychophysics","89","923217","0.0-89.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","3","0","36","35","","",""
"6268","key"," "," ","16.683341333333402","500","250","psychophysics","90","929489","0.0-90.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","3","5","30","31","","",""
"9102","key"," "," ","16.68333944954136","500","250","psychophysics","91","938596","0.0-91.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","3","0","55","53","","",""
"5144","key"," "," ","16.68324429967444","500","250","psychophysics","92","943743","0.0-92.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","","",""
"55455","","","v","","","","html-keyboard-response","93","999199","0.0-93.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","<p> In this part of the experiment, we are going present digits 1, 2, 3, 4, 6, 7, 8, and 9.  Notice that 5 is missing.  Your job is to say whether the presented digit is less than or greater than 5.  For example, 3 is less than 5 and 7 is greater than 5.  If the digit is less than 5, press the v key; if it is greater than 5, press the n key. We are going to do 200 of these in total, but only 50 righ now. They go real fast.</p>  <br><br>  Ready? (press v or n)","",""
"3331","key","v","v","16.68923383084559","500","250","psychophysics","94","1002543","0.0-94.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","4","","","","","1","4"
"null","","","null","","","","html-keyboard-response","95","1003045","0.0-95.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"3807","key","v","v","16.68335526315812","500","250","psychophysics","96","1006857","0.0-96.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","4","","","","","1","3"
"null","","","null","","","","html-keyboard-response","97","1007359","0.0-97.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2911","key","n","n","16.77995402298884","500","250","psychophysics","98","1010275","0.0-98.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","4","","","","","1","8"
"null","","","null","","","","html-keyboard-response","99","1010778","0.0-99.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"3156","key","n","n","16.683536842105127","500","250","psychophysics","100","1013939","0.0-100.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","4","","","","","1","9"
"null","","","null","","","","html-keyboard-response","101","1014440","0.0-101.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2968","key","v","v","16.683320224719395","500","250","psychophysics","102","1017413","0.0-102.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","4","","","","","1","1"
"null","","","null","","","","html-keyboard-response","103","1017916","0.0-103.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2775","key","n","n","16.6845688622753","500","250","psychophysics","104","1020697","0.0-104.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","4","","","","","1","3"
"null","","","null","","","","html-keyboard-response","105","1021200","0.0-105.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","<p style=""color:red;font-size:24px;"">Error :(</p>","",""
"3182","key","v","v","16.682869109948026","500","250","psychophysics","106","1024387","0.0-106.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","4","","","","","1","4"
"null","","","null","","","","html-keyboard-response","107","1024890","0.0-107.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"3033","key","n","n","16.68314285714315","500","250","psychophysics","108","1027929","0.0-108.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","4","","","","","1","7"
"null","","","null","","","","html-keyboard-response","109","1028431","0.0-109.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2839","key","n","n","16.683289940828544","500","250","psychophysics","110","1031273","0.0-110.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","4","","","","","1","6"
"null","","","null","","","","html-keyboard-response","111","1031774","0.0-111.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2787","key","v","v","16.683550898203887","500","250","psychophysics","112","1034567","0.0-112.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","4","","","","","1","1"
"null","","","null","","","","html-keyboard-response","113","1035069","0.0-113.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2902","key","v","v","16.684262857143104","500","250","psychophysics","114","1037977","0.0-114.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","4","","","","","1","2"
"null","","","null","","","","html-keyboard-response","115","1038479","0.0-115.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"3050","key","n","n","16.683387978141745","500","250","psychophysics","116","1041535","0.0-116.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","4","","","","","1","6"
"null","","","null","","","","html-keyboard-response","117","1042038","0.0-117.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2868","key","v","v","16.683389534883414","500","250","psychophysics","118","1044911","0.0-118.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","4","","","","","1","2"
"null","","","null","","","","html-keyboard-response","119","1045412","0.0-119.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2770","key","v","v","16.68407185628737","500","250","psychophysics","120","1048187","0.0-120.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","4","","","","","1","3"
"null","","","null","","","","html-keyboard-response","121","1048690","0.0-121.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2997","key","n","n","16.68273888888976","500","250","psychophysics","122","1051693","0.0-122.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","4","","","","","1","8"
"null","","","null","","","","html-keyboard-response","123","1052196","0.0-123.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"3039","key","v","v","16.683269230769127","500","250","psychophysics","124","1055241","0.0-124.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","4","","","","","1","3"
"null","","","null","","","","html-keyboard-response","125","1055743","0.0-125.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"3245","key","v","v","16.682860824742747","500","250","psychophysics","126","1058993","0.0-126.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","4","","","","","1","4"
"null","","","null","","","","html-keyboard-response","127","1059495","0.0-127.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2947","key","v","v","16.779340909091513","500","250","psychophysics","128","1062447","0.0-128.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","4","","","","","1","3"
"null","","","null","","","","html-keyboard-response","129","1062949","0.0-129.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2837","key","n","n","16.683384615385123","500","250","psychophysics","130","1065789","0.0-130.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","4","","","","","1","9"
"null","","","null","","","","html-keyboard-response","131","1066292","0.0-131.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2835","key","v","v","16.683352941176032","500","250","psychophysics","132","1069132","0.0-132.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","4","","","","","1","1"
"null","","","null","","","","html-keyboard-response","133","1069635","0.0-133.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"3473","key","v","v","16.683985645932918","500","250","psychophysics","134","1073114","0.0-134.0","5facc4201f33582f15dcf9bf","6213cda7f5052ba7b6e88c29","4","","","","","1","3"
