"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","phase","guide","targ","resp","stimulus","is5","stim"
"3436","key"," "," ","16.668743961352654","500","250","psychophysics","0","3477","0.0-0.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","","","","","","",""
"8006","key"," "," ","16.666","500","250","psychophysics","1","11487","0.0-1.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","","","","","","",""
"2741","key"," "," ","16.669463414634144","500","250","psychophysics","2","14230","0.0-2.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","","","","","","",""
"1488","key"," "," ","16.665999999999983","500","250","psychophysics","3","15722","0.0-3.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","","","","","","",""
"3407","key"," "," ","16.666000000000007","500","250","psychophysics","4","19136","0.0-4.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","","","","","","",""
"12599","key"," "," ","16.666917880794703","500","250","psychophysics","5","31739","0.0-5.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","","","","","","",""
"5143","key"," "," ","16.667844155844143","500","250","psychophysics","6","36885","0.0-6.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","","","","","","",""
"4332","key"," "," ","16.665999999999997","500","250","psychophysics","7","41220","0.0-7.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","","","","","","",""
"12403","key"," "," ","16.66769717362046","500","250","psychophysics","8","53627","0.0-8.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","0","0","29","29","","",""
"4111","key"," "," ","16.66600000000001","500","250","psychophysics","9","57741","0.0-9.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","","","","","","",""
"4603","key"," "," ","16.665999999999997","500","250","psychophysics","10","62352","0.0-10.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","","","","","","",""
"14038","key"," "," ","16.667349168646084","500","250","psychophysics","11","76400","0.0-11.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","","","","","","",""
"4598","key"," "," ","16.66599999999998","500","250","psychophysics","12","81002","0.0-12.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","","","","","","",""
"2336","key"," "," ","16.670086330935302","500","250","psychophysics","13","83343","0.0-13.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","","","","","","",""
"5174","key"," "," ","16.66600000000002","500","250","psychophysics","14","88520","0.0-14.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","","","","","","",""
"4547","key"," "," ","16.66854779411765","500","250","psychophysics","15","93069","0.0-15.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","","","","","","",""
"2803","key"," "," ","16.665999999999965","500","250","psychophysics","16","95875","0.0-16.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","","","","","","",""
"11166","key"," "," ","16.66684902840058","500","250","psychophysics","17","107044","0.0-17.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","1","0","44","48","","",""
"6201","key"," "," ","16.66752688172045","500","250","psychophysics","18","113250","0.0-18.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","1","5","24","27","","",""
"9764","key"," "," ","16.66697094017094","500","250","psychophysics","19","123017","0.0-19.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","1","0","58","69","","",""
"8573","key"," "," ","16.665999999999993","500","250","psychophysics","20","131593","0.0-20.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","1","5","51","57","","",""
"10788","key"," "," ","16.66707109737249","500","250","psychophysics","21","142385","0.0-21.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","1","0","59","66","","",""
"7478","key"," "," ","16.667267857142892","500","250","psychophysics","22","149867","0.0-22.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","1","5","40","43","","",""
"4974","key"," "," ","16.667912457912443","500","250","psychophysics","23","154844","0.0-23.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","1","0","20","23","","",""
"4671","key"," "," ","16.666000000000036","500","250","psychophysics","24","159520","0.0-24.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","1","5","31","33","","",""
"8524","key"," "," ","16.667356164383563","500","250","psychophysics","25","168047","0.0-25.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","1","0","54","62","","",""
"5253","key"," "," ","16.667808917197483","500","250","psychophysics","26","173303","0.0-26.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","1","5","28","30","","",""
"5296","key"," "," ","16.66600000000001","500","250","psychophysics","27","178603","0.0-27.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","1","0","46","47","","",""
"3962","key"," "," ","16.666000000000018","500","250","psychophysics","28","182568","0.0-28.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","1","5","32","35","","",""
"4464","key"," "," ","16.668127340823915","500","250","psychophysics","29","187036","0.0-29.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","1","0","24","26","","",""
"5473","key"," "," ","16.66600000000001","500","250","psychophysics","30","192520","0.0-30.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","1","5","47","43","","",""
"6904","key"," "," ","16.667375302663483","500","250","psychophysics","31","199428","0.0-31.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","1","0","56","64","","",""
"6710","key"," "," ","16.667514925373098","500","250","psychophysics","32","206140","0.0-32.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","1","5","48","47","","",""
"6016","key"," "," ","16.666000000000025","500","250","psychophysics","33","212160","0.0-33.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","1","0","52","56","","",""
"4138","key"," "," ","16.668794354838727","500","250","psychophysics","34","216303","0.0-34.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","1","5","23","23","","",""
"6650","key"," "," ","16.665999999999997","500","250","psychophysics","35","222957","0.0-35.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","1","0","57","66","","",""
"6776","key"," "," ","16.667399014778344","500","250","psychophysics","36","229737","0.0-36.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","1","5","58","58","","",""
"3528","key"," "," ","16.66600000000006","500","250","psychophysics","37","233269","0.0-37.0","608ae40ba23632384c8818de","6213ce66826ad99aacd1f534","","","","","","",""
