"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","phase","guide","targ","resp","stimulus","is5","stim"
"5007","key"," "," ","16.82255033557047","500","250","psychophysics","0","5041","0.0-0.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","","","","","","",""
"55676","key"," "," ","16.773520192887283","500","250","psychophysics","1","60720","0.0-1.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","","","","","","",""
"4483","key"," "," ","16.765468164794026","500","250","psychophysics","2","65208","0.0-2.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","","","","","","",""
"1509","key"," "," ","16.764719101123568","500","250","psychophysics","3","66719","0.0-3.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","","","","","","",""
"3317","key"," "," ","16.764670050761417","500","250","psychophysics","4","70039","0.0-4.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","","","","","","",""
"10869","key"," "," ","16.763395061728406","500","250","psychophysics","5","80912","0.0-5.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","","","","","","",""
"5685","key"," "," ","16.76568047337279","500","250","psychophysics","6","86599","0.0-6.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","","","","","","",""
"4910","key"," "," ","16.761712328767118","500","250","psychophysics","7","91511","0.0-7.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","","","","","","",""
"12886","key"," "," ","16.763984375000007","500","250","psychophysics","8","104398","0.0-8.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","0","0","37","35","","",""
"6637","key"," "," ","16.764151898734205","500","250","psychophysics","9","111039","0.0-9.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","","","","","","",""
"3253","key"," "," ","16.756373056994796","500","250","psychophysics","10","114296","0.0-10.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","","","","","","",""
"3869","key"," "," ","16.764869565217385","500","250","psychophysics","11","118167","0.0-11.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","","","","","","",""
"6646","key"," "," ","16.76348484848484","500","250","psychophysics","12","124815","0.0-12.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","","","","","","",""
"2101","key"," "," ","16.76370967741933","500","250","psychophysics","13","126918","0.0-13.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","","","","","","",""
"5126","key"," "," ","16.7643934426229","500","250","psychophysics","14","132046","0.0-14.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","","","","","","",""
"4543","key"," "," ","16.76340740740739","500","250","psychophysics","15","136591","0.0-15.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","","","","","","",""
"3581","key"," "," ","16.764976525821606","500","250","psychophysics","16","140175","0.0-16.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","","","","","","",""
"7694","key"," "," ","16.76537117903932","500","250","psychophysics","17","147870","0.0-17.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","1","0","30","29","","",""
"8549","key"," "," ","16.763339882121766","500","250","psychophysics","18","156423","0.0-18.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","1","5","35","33","","",""
"11975","key"," "," ","16.76224089635857","500","250","psychophysics","19","168399","0.0-19.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","1","0","42","40","","",""
"10893","key"," "," ","16.763543913713374","500","250","psychophysics","20","179294","0.0-20.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","1","5","58","60","","",""
"7213","key"," "," ","16.764522144522168","500","250","psychophysics","21","186510","0.0-21.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","1","0","20","19","","",""
"12295","key"," "," ","16.76450204638469","500","250","psychophysics","22","198807","0.0-22.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","1","5","37","39","","",""
"12044","key"," "," ","16.76443514644352","500","250","psychophysics","23","210854","0.0-23.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","1","0","60","56","","",""
"6533","key"," "," ","16.76128534704374","500","250","psychophysics","24","217390","0.0-24.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","1","5","25","25","","",""
"7846","key"," "," ","16.763169164882278","500","250","psychophysics","25","225238","0.0-25.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","1","0","33","35","","",""
"6458","key"," "," ","16.76197402597399","500","250","psychophysics","26","231701","0.0-26.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","1","5","30","30","","",""
"4175","key"," "," ","16.757741935483924","500","250","psychophysics","27","235878","0.0-27.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","1","0","24","24","","",""
"7166","key"," "," ","16.765526932084253","500","250","psychophysics","28","243046","0.0-28.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","1","5","59","57","","",""
"8565","key"," "," ","16.761803921568607","500","250","psychophysics","29","251614","0.0-29.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","1","0","34","30","","",""
"8269","key"," "," ","16.80048879837069","500","250","psychophysics","30","259886","0.0-30.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","1","5","32","30","","",""
"7434","key"," "," ","16.762121896162583","500","250","psychophysics","31","267326","0.0-31.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","1","0","53","46","","",""
"5189","key"," "," ","16.761359223301","500","250","psychophysics","32","272518","0.0-32.0","60f72f4f1341357926bf94cc","6213c8c8535641bc05c0276a","1","5","52","50","","",""
