"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","phase","guide","targ","resp","stimulus","is5","stim"
"3999","key"," "," ","17.091302127659574","500","250","psychophysics","0","4025","0.0-0.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","","","","","","",""
"1658","key"," "," ","16.66524489795918","500","250","psychophysics","1","5689","0.0-1.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","","","","","","",""
"1604","key"," "," ","16.66644791666667","500","250","psychophysics","2","7301","0.0-2.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","","","","","","",""
"1266","key"," "," ","16.90073333333334","500","250","psychophysics","3","8575","0.0-3.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","","","","","","",""
"3903","key"," "," ","16.884669565217393","500","250","psychophysics","4","12484","0.0-4.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","","","","","","",""
"9668","key"," "," ","16.81133739130435","500","250","psychophysics","5","22158","0.0-5.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","","","","","","",""
"3779","key"," "," ","16.661955555555565","500","250","psychophysics","6","25942","0.0-6.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","","","","","","",""
"4710","key"," "," ","16.72499999999999","500","250","psychophysics","7","30656","0.0-7.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","","","","","","",""
"5829","key"," "," ","16.81091304347827","500","250","psychophysics","8","36490","0.0-8.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","0","0","45","43","","",""
"2961","key"," "," ","16.854625000000024","500","250","psychophysics","9","39456","0.0-9.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","","","","","","",""
"4386","key"," "," ","16.73198467432951","500","250","psychophysics","10","43849","0.0-10.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","","","","","","",""
"4117","key"," "," ","16.733951219512207","500","250","psychophysics","11","47974","0.0-11.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","","","","","","",""
"1590","key"," "," ","16.666074468085075","500","250","psychophysics","12","49569","0.0-12.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","","","","","","",""
"1761","key"," "," ","16.988339805825234","500","250","psychophysics","13","51334","0.0-13.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","","","","","","",""
"3081","key"," "," ","16.66488648648649","500","250","psychophysics","14","54423","0.0-14.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","","","","","","",""
"2679","key"," "," ","16.984378205128216","500","250","psychophysics","15","57106","0.0-15.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","","","","","","",""
"3587","key"," "," ","16.98246445497628","500","250","psychophysics","16","60698","0.0-16.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","","","","","","",""
"8333","key"," "," ","16.86867206477732","500","250","psychophysics","17","69039","0.0-17.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","1","0","49","54","","",""
"5630","key"," "," ","16.91713554216868","500","250","psychophysics","18","74674","0.0-18.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","1","5","60","60","","",""
"3933","key"," "," ","16.954588744588786","500","250","psychophysics","19","78613","0.0-19.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","1","0","26","25","","",""
"5091","key"," "," ","16.83179139072848","500","250","psychophysics","20","83709","0.0-20.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","1","5","34","32","","",""
"5079","key"," "," ","16.666226973684246","500","250","psychophysics","21","88791","0.0-21.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","1","0","31","30","","",""
"3366","key"," "," ","16.664915000000036","500","250","psychophysics","22","92162","0.0-22.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","1","5","48","52","","",""
"3498","key"," "," ","16.988570048309207","500","250","psychophysics","23","95672","0.0-23.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","1","0","26","27","","",""
"3378","key"," "," ","16.750109999999985","500","250","psychophysics","24","99056","0.0-24.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","1","5","30","28","","",""
"5094","key"," "," ","16.72044262295082","500","250","psychophysics","25","104154","0.0-25.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","1","0","41","42","","",""
"4458","key"," "," ","16.72910566037737","500","250","psychophysics","26","108617","0.0-26.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","1","5","45","46","","",""
"4639","key"," "," ","16.78605755395685","500","250","psychophysics","27","113286","0.0-27.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","1","0","42","47","","",""
"4378","key"," "," ","16.72938314176242","500","250","psychophysics","28","117668","0.0-28.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","1","5","25","27","","",""
"3386","key"," "," ","16.74892039801","500","250","psychophysics","29","121059","0.0-29.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","1","0","22","25","","",""
"4959","key"," "," ","16.779142372881335","500","250","psychophysics","30","126028","0.0-30.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","1","5","33","34","","",""
"3630","key"," "," ","16.74292129629632","500","250","psychophysics","31","129662","0.0-31.0","60fe4ee92d2a050caa391eb8","6213c917523e6fed07a1d209","1","0","32","30","","",""
