"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","phase","guide","targ","resp","stimulus","is5","stim"
"3847","key"," "," ","16.674847161572057","500","250","psychophysics","0","3851","0.0-0.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","","","","","","",""
"3231","key"," "," ","16.666735751295327","500","250","psychophysics","1","7082","0.0-1.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","","","","","","",""
"2344","key"," "," ","16.67999999999999","500","250","psychophysics","2","9428","0.0-2.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","","","","","","",""
"1827","key"," "," ","16.821111111111115","500","250","psychophysics","3","11261","0.0-3.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","","","","","","",""
"2546","key"," "," ","16.67934210526316","500","250","psychophysics","4","13813","0.0-4.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","","","","","","",""
"6705","key"," "," ","16.671194029850746","500","250","psychophysics","5","20525","0.0-5.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","","","","","","",""
"5092","key"," "," ","16.672786885245905","500","250","psychophysics","6","25620","0.0-6.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","","","","","","",""
"2597","key"," "," ","16.666709677419355","500","250","psychophysics","7","28220","0.0-7.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","","","","","","",""
"17782","key"," "," ","16.671906103286382","500","250","psychophysics","8","46004","0.0-8.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","0","0","46","42","","",""
"3598","key"," "," ","16.675069767441858","500","250","psychophysics","9","49603","0.0-9.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","","","","","","",""
"4500","key"," "," ","16.728805970149253","500","250","psychophysics","10","54107","0.0-10.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","","","","","","",""
"4139","key"," "," ","16.674274193548392","500","250","psychophysics","11","58252","0.0-11.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","","","","","","",""
"3333","key"," "," ","16.666733668341745","500","250","psychophysics","12","61587","0.0-12.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","","","","","","",""
"2832","key"," "," ","16.677869822485192","500","250","psychophysics","13","64421","0.0-13.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","","","","","","",""
"3474","key"," "," ","16.67548076923077","500","250","psychophysics","14","67908","0.0-14.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","","","","","","",""
"6391","key"," "," ","16.67148825065272","500","250","psychophysics","15","74308","0.0-15.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","","","","","","",""
"4077","key"," "," ","16.66672131147538","500","250","psychophysics","16","78388","0.0-16.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","","","","","","",""
"8741","key"," "," ","16.673804971319328","500","250","psychophysics","17","87132","0.0-17.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","1","0","42","49","","",""
"8614","key"," "," ","16.67027131782946","500","250","psychophysics","18","95755","0.0-18.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","1","5","54","54","","",""
"10269","key"," "," ","16.672792207792213","500","250","psychophysics","19","106027","0.0-19.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","1","0","44","55","","",""
"7245","key"," "," ","16.671131639722844","500","250","psychophysics","20","113276","0.0-20.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","1","5","60","58","","",""
"6025","key"," "," ","16.672022160664834","500","250","psychophysics","21","119307","0.0-21.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","1","0","38","54","","",""
"8391","key"," "," ","16.670337972166983","500","250","psychophysics","22","127700","0.0-22.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","1","5","38","38","","",""
"11618","key"," "," ","16.672068965517255","500","250","psychophysics","23","139321","0.0-23.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","1","0","52","70","","",""
"7302","key"," "," ","16.675011441647623","500","250","psychophysics","24","146626","0.0-24.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","1","5","24","30","","",""
"5807","key"," "," ","16.66662824207495","500","250","psychophysics","25","152435","0.0-25.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","1","0","21","37","","",""
"5413","key"," "," ","16.672469135802483","500","250","psychophysics","26","157851","0.0-26.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","1","5","59","60","","",""
"5725","key"," "," ","16.671953352769624","500","250","psychophysics","27","163578","0.0-27.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","1","0","53","62","","",""
"4112","key"," "," ","16.67436734693878","500","250","psychophysics","28","167691","0.0-28.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","1","5","40","47","","",""
"4618","key"," "," ","16.67509025270758","500","250","psychophysics","29","172316","0.0-29.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","1","0","31","46","","",""
"7051","key"," "," ","16.67104265402849","500","250","psychophysics","30","179371","0.0-30.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","1","5","54","64","","",""
"8206","key"," "," ","16.670590631364522","500","250","psychophysics","31","187579","0.0-31.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","1","0","55","66","","",""
"6718","key"," "," ","16.671364764267985","500","250","psychophysics","32","194315","0.0-32.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","1","5","20","25","","",""
"10582","key"," "," ","16.66958990536276","500","250","psychophysics","33","204899","0.0-33.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","1","0","36","58","","",""
"6126","key"," "," ","16.67188010899179","500","250","psychophysics","34","211027","0.0-34.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","1","5","31","34","","",""
"8758","key"," "," ","16.673969465648863","500","250","psychophysics","35","219787","0.0-35.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","1","0","44","59","","",""
"6173","key"," "," ","16.67172972972975","500","250","psychophysics","36","225963","0.0-36.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","1","5","60","67","","",""
"3830","key"," "," ","16.666666666666668","500","250","psychophysics","37","229795","0.0-37.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","","","","","","",""
"4771","key"," "," ","16.673146853146818","500","250","psychophysics","38","234571","0.0-38.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","","","","","","",""
"2107","key"," "," ","16.681746031745984","500","250","psychophysics","39","236683","0.0-39.0","6100c28ed43a1dea00f08633","6213c41f3954c8a6ca889b3c","","","","","","",""
