"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","phase","guide","targ","resp","stimulus","is5","stim"
"5157","key"," "," ","16.729903536977492","500","250","psychophysics","0","5213","0.0-0.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","","","","","","",""
"2098","key"," "," ","16.58730158730159","500","250","psychophysics","1","7318","0.0-1.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","","","","","","",""
"2436","key"," "," ","16.578231292517007","500","250","psychophysics","2","9767","0.0-2.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","","","","","","",""
"1140","key"," "," ","16.492753623188406","500","250","psychophysics","3","10911","0.0-3.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","","","","","","",""
"1881","key"," "," ","16.61946902654867","500","250","psychophysics","4","12795","0.0-4.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","","","","","","",""
"7985","key"," "," ","16.63883089770355","500","250","psychophysics","5","20791","0.0-5.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","","","","","","",""
"2525","key"," "," ","16.532894736842106","500","250","psychophysics","6","23321","0.0-6.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","","","","","","",""
"5343","key"," "," ","16.61993769470405","500","250","psychophysics","7","28675","0.0-7.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","","","","","","",""
"5999","key"," "," ","16.609418282548475","500","250","psychophysics","8","34678","0.0-8.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","0","0","33","35","","",""
"3083","key"," "," ","16.63243243243243","500","250","psychophysics","9","37770","0.0-9.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","","","","","","",""
"3098","key"," "," ","16.56989247311828","500","250","psychophysics","10","40874","0.0-10.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","","","","","","",""
"3791","key"," "," ","16.55701754385965","500","250","psychophysics","11","44674","0.0-11.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","","","","","","",""
"2945","key"," "," ","16.548022598870055","500","250","psychophysics","12","47624","0.0-12.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","","","","","","",""
"1719","key"," "," ","16.471153846153847","500","250","psychophysics","13","49347","0.0-13.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","","","","","","",""
"1807","key"," "," ","16.574074074074073","500","250","psychophysics","14","51157","0.0-14.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","","","","","","",""
"2510","key"," "," ","16.516556291390728","500","250","psychophysics","15","53675","0.0-15.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","","","","","","",""
"1536","key"," "," ","16.43010752688172","500","250","psychophysics","16","55221","0.0-16.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","","","","","","",""
"9497","key"," "," ","16.635087719298244","500","250","psychophysics","17","64723","0.0-17.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","1","0","42","52","","",""
"4895","key"," "," ","16.591836734693878","500","250","psychophysics","18","69623","0.0-18.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","1","5","24","27","","",""
"5509","key"," "," ","16.60725075528701","500","250","psychophysics","19","75137","0.0-19.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","1","0","32","40","","",""
"8215","key"," "," ","16.63083164300203","500","250","psychophysics","20","83356","0.0-20.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","1","5","51","56","","",""
"7484","key"," "," ","16.61777777777778","500","250","psychophysics","21","90848","0.0-21.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","1","0","53","72","","",""
"4201","key"," "," ","16.59683794466403","500","250","psychophysics","22","95058","0.0-22.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","1","5","27","34","","",""
"6311","key"," "," ","16.65343915343915","500","250","psychophysics","23","101372","0.0-23.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","1","0","32","46","","",""
"11966","key"," "," ","16.638386648122392","500","250","psychophysics","24","113342","0.0-24.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","1","5","49","55","","",""
"5026","key"," "," ","16.642384105960264","500","250","psychophysics","25","118376","0.0-25.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","1","0","39","47","","",""
"3411","key"," "," ","16.62439024390244","500","250","psychophysics","26","121793","0.0-26.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","1","5","30","32","","",""
"5706","key"," "," ","16.646198830409357","500","250","psychophysics","27","127502","0.0-27.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","1","0","47","62","","",""
"5357","key"," "," ","16.611801242236027","500","250","psychophysics","28","132863","0.0-28.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","1","5","43","48","","",""
"3660","key"," "," ","16.613636363636363","500","250","psychophysics","29","136528","0.0-29.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","1","0","21","26","","",""
"9989","key"," "," ","16.649415692821368","500","250","psychophysics","30","146522","0.0-30.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","1","5","59","66","","",""
"10640","key"," "," ","16.634375","500","250","psychophysics","31","157174","0.0-31.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","1","0","43","62","","",""
"5185","key"," "," ","16.64630225080386","500","250","psychophysics","32","162362","0.0-32.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","1","5","30","34","","",""
"4029","key"," "," ","16.619834710743802","500","250","psychophysics","33","166395","0.0-33.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","1","0","22","28","","",""
"4617","key"," "," ","16.620938628158846","500","250","psychophysics","34","171017","0.0-34.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","1","5","36","42","","",""
"7946","key"," "," ","16.631027253668762","500","250","psychophysics","35","178967","0.0-35.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","1","0","59","78","","",""
"8352","key"," "," ","16.633466135458168","500","250","psychophysics","36","187323","0.0-36.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","1","5","53","62","","",""
"5197","key"," "," ","16.647435897435898","500","250","psychophysics","37","192523","0.0-37.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","","","","","","",""
"3510","key"," "," ","16.63809523809524","500","250","psychophysics","38","196037","0.0-38.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","","","","","","",""
"1253","key"," "," ","16.38157894736842","500","250","psychophysics","39","197295","0.0-39.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","","","","","","",""
"9369","key"," "," ","16.644128113879002","500","250","psychophysics","40","206669","0.0-40.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","2","0","55","73","","",""
"4425","key"," "," ","16.586466165413533","500","250","psychophysics","41","211100","0.0-41.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","","","","","","",""
"8420","key"," "," ","16.628458498023715","500","250","psychophysics","42","219526","0.0-42.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","2","0","49","61","","",""
"3339","key"," "," ","16.615","500","250","psychophysics","43","222870","0.0-43.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","","","","","","",""
"8158","key"," "," ","16.622448979591837","500","250","psychophysics","44","231032","0.0-44.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","2","0","57","63","","",""
"2066","key"," "," ","16.54032258064516","500","250","psychophysics","45","233102","0.0-45.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","","","","","","",""
"5840","key"," "," ","16.5982905982906","500","250","psychophysics","46","238949","0.0-46.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","2","0","57","64","","",""
"731","key"," "," ","16.25","500","250","psychophysics","47","239686","0.0-47.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","","","","","","",""
"7537","key"," "," ","16.620309050772626","500","250","psychophysics","48","247227","0.0-48.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","2","0","40","51","","",""
"993","key"," "," ","16.45","500","250","psychophysics","49","248225","0.0-49.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","","","","","","",""
"8027","key"," "," ","16.647302904564317","500","250","psychophysics","50","256256","0.0-50.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","2","0","53","65","","",""
"4105","key"," "," ","16.63821138211382","500","250","psychophysics","51","260364","0.0-51.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","","","","","","",""
"5634","key"," "," ","16.618343195266274","500","250","psychophysics","52","266001","0.0-52.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","2","0","41","46","","",""
"998","key"," "," ","16.327868852459016","500","250","psychophysics","53","267005","0.0-53.0","6107b8ea737fb20c06bb6186","6213cdbf8fdea4543ecf4743","","","","","","",""
